SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
Oc1cnc(c(c1S)/C=C/[C@H](CO)Cl)I;30/000000195;InChI=1S/C9H9ClINO2S/c10-5(4-13)1-2-6-8(15)7(14)3-12-9(6)11/h1-3,5,13-14H,4H2,(H,12,15)/b2-1+/t5-/m1/s1;C9H9NO2SClI;357;2.12;4.21;6.39;3.58;-150
Sc1c(c(I)ncc1O)/C=C/[C@H](NN)Cl;30/000000170;InChI=1S/C8H9ClIN3OS/c9-6(13-11)2-1-4-7(15)5(14)3-12-8(4)10/h1-3,6,13-14H,11H2,(H,12,15)/b2-1+/t6-/m0/s1;C8H9N3OSClI;357;1.91;4.32;5.71;3.58;-150
N[C@H](NCC#CC)Nc1c(I)ncc(c1S)O;30/000000043;InChI=1S/C10H13IN4OS/c1-2-3-4-13-10(12)15-7-8(17)6(16)5-14-9(7)11/h5,10,13,15-16H,4,12H2,1H3,(H,14,17);C10H11N4OSI;362;1.72;4.09;5.58;19.10;-20
Sc1c(c(I)ncc1CN)/C=C/c1nnc([nH]1)[C@H](CC)Cl;30/000000115;InChI=1S/C13H15ClIN5S/c1-2-9(14)13-18-10(19-20-13)4-3-8-11(21)7(5-16)6-17-12(8)15/h3-4,6,9H,2,5,16H2,1H3,(H,17,21)(H,18,19,20)/b4-3+/t9-/m0/s1;C13H15N5SClI;435;3.80;4.22;9.14;23.00;-170
N[C@@H](NCC)Nc1c(I)ncc(c1S)O;30/000000062;InChI=1S/C8H13IN4OS/c1-2-11-8(10)13-5-6(15)4(14)3-12-7(5)9/h3,8,11,13-14H,2,10H2,1H3,(H,12,15);C8H11N4OSI;338;1.49;4.04;5.99;15.10;-20
Oc1cnc(c(c1S)/C=C/c1nnc([nH]1)COCCO)I;30/000000114;InChI=1S/C12H13IN4O3S/c13-12-7(11(21)8(19)5-14-12)1-2-9-15-10(17-16-9)6-20-4-3-18/h1-2,5,18-19H,3-4,6H2,(H,14,21)(H,15,16,17)/b2-1+;C12H13N4O3SI;420;2.16;4.44;6.35;22.90;0
SC[C@H](Cc1nnc([nH]1)/C=C/c1c(I)nccc1S)C;30/000000124;InChI=1S/C13H15IN4S2/c1-8(7-19)6-12-16-11(17-18-12)3-2-9-10(20)4-5-15-13(9)14/h2-5,8,19H,6-7H2,1H3,(H,15,20)(H,16,17,18)/b3-2+/t8-/m0/s1;C13H15N4S2I;418;4.95;4.03;6.88;3.72;-170
Sc1ccnc(c1/C=C/c1nc(c([nH]1)CON)[C@H](C)C=C)I;30/000000136;InChI=1S/C15H17IN4OS/c1-3-9(2)14-11(8-21-17)19-13(20-14)5-4-10-12(22)6-7-18-15(10)16/h3-7,9H,1,8,17H2,2H3,(H,18,22)(H,19,20)/b5-4+/t9-/m1/s1;C15H17N4OSI;428;2.36;4.29;8.73;23.60;-170
Oc1cnc(c(c1S)/C=C/[C@@H]1[NH2+]CCC1)I;30/000000103;InChI=1S/C11H13IN2OS/c12-11-8(10(16)9(15)6-14-11)4-3-7-2-1-5-13-7/h3-4,6-7,13,15H,1-2,5H2,(H,14,16)/p+1/b4-3+/t7-/m1/s1;C11H14N2OSI;349;2.62;4.45;7.24;3.58;-150
Oc1cnc(c(c1S)/C=C/[C@H](n1nccc1)Cl)I;30/000000155;InChI=1S/C11H9ClIN3OS/c12-9(16-5-1-4-15-16)3-2-7-10(18)8(17)6-14-11(7)13/h1-6,9,17H,(H,14,18)/b3-2+/t9-/m0/s1;C11H9N3OSClI;393;3.30;4.40;7.24;3.58;-150
Sc1c(c(I)ncc1CO)/C=C/c1nnc([nH]1)CCC;30/000000162;InChI=1S/C13H15IN4OS/c1-2-3-10-16-11(18-17-10)5-4-9-12(20)8(7-19)6-15-13(9)14/h4-6,19H,2-3,7H2,1H3,(H,15,20)(H,16,17,18)/b5-4+;C13H15N4OSI;402;3.59;4.42;9.30;21.10;-20
Sc1ccnc(c1/C=C/c1nnc([nH]1)C[C@H]([NH3+])C)I;30/000000173;InChI=1S/C12H14IN5S/c1-7(14)6-11-16-10(17-18-11)3-2-8-9(19)4-5-15-12(8)13/h2-5,7H,6,14H2,1H3,(H,15,19)(H,16,17,18)/p+1/b3-2+/t7-/m1/s1;C12H15N5SI;388;3.31;4.39;7.83;3.58;-170
