ID_Control;SMILES_curated;IC50 (nM)
ID_043;O=C(Nc1c(F)c(F)c(-c2ccccc2)c(F)c1F)c1c(O)nn2c(Cl)cccc12;3.4
ID_044;CCn1c(CO)nn(-c2ccc3c(=O)n(-c4c(F)cccc4Cl)cc(C(C)C)c3c2)c1=O;3.46
ID_045;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;3.5
ID_046;Cc1ccccc1-n1ncc2c1CCCC2NC(=O)c1noc2c1CCCC2;3.5
ID_047;Cc1ccnc(Cl)c1NC(=O)c1cc(F)c(-c2cnc(C3CC3)cn2)cc1O[C@@H](C)C(F)(F)F;3.5
ID_048;C[C@H](O)c1nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(Cl)cccc3Cl)cc2F)c(=O)n1C;3.5
ID_049;Cc1cc(C(=O)O)c2nc(-c3c(F)c(F)c(-c4ccccc4F)c(F)c3F)[nH]c2c1;3.5
ID_050;Cc1cnc(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)cn1;3.52
ID_051;CCn1c(CO)nn(-c2cc3c(C(C)C)cn([C@@H]4CCCC[C@@H]4C)c(=O)c3cc2F)c1=O;3.54
ID_052;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4c(C)ccnc4Cl)c(=O)c3cc2F)c1=O;3.57
ID_053;Cc1cnc(-c2cc3c(C(C)C)cn(-c4ccccc4C)c(=O)c3cc2F)cc1N;3.6
ID_054;CCn1c(CO)nn(-c2cc3c(cc2F)C(C)=C(c2ccccc2C)CN3C(C)C)c1=O;3.71
ID_055;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4cnsc4C)c(=O)c3cc2F)c1=O;3.72
ID_056;C[C@H](Oc1cc(-n2nc3ccccn3c2=O)c(F)cc1C(=O)Nc1ccccc1F)c1ccccc1;3.8
ID_057;C[C@H](Oc1cc(-n2nc(C(C)(C)O)n(C)c2=O)ccc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;3.9
ID_058;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2cn3c(n2)[C@](C)(O)CC3)cc1OC(C)C(F)(F)F;3.92
ID_059;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2nc(C(C)(C)O)c(C)s2)cc1OC(C)C(F)(F)F;3.94
ID_060;Cc1c(-c2ccccc2Cl)cc(F)c(Nc2ncccc2C(=O)O)c1F;4.0
ID_061;O=C(O)c1cc(C2CC2)cnc1Nc1c(F)cc(-c2cccc(OC(F)(F)F)c2)cc1F;4.0
ID_062;Cc1cccc(-n2ncc3c2CCCC3NC(=O)c2noc3c2CCCC3)c1C;4.0
ID_063;O=C(O)C1=C(C(=O)Nc2c(F)c(F)c(-c3cccc(OC(F)(F)F)c3)c(F)c2F)CSC1;4.0
ID_064;O=C(O)c1cc(C2CC2)ccc1Nc1ccc(-c2ccccc2Cl)nc1;4.0
ID_065;CCc1nc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)sc1CO;4.01
ID_066;Cc1n[nH]c(C(F)(F)F)c1-c1cc(C(C)C)c2cc(-c3cn(C)c(C(C)(C)O)n3)c(F)cn2c1=O;4.07
ID_067;CCCOc1cccc(-c2c(F)c(F)c(NC(=O)c3c(O)nn4ccccc34)c(F)c2F)c1;4.09
ID_068;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCOC3)c(F)cc1C(=O)Nc1c(Cl)cc(F)cc1Cl)C(F)(F)F;4.1
ID_069;O=C(O)c1[nH]c(=O)[nH]c(=O)c1CCc1cc2ccccc2c2ccccc12;4.1
ID_070;COc1cc(-n2nnc3c2C(=O)c2ccccc2C3=O)ccc1-c1ccccc1;4.1
ID_071;CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O;4.17
ID_072;CCONC(=O)c1c(C)c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc12;4.2
ID_073;Cc1nc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)cnc1CO;4.28
ID_074;CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cc(O)cc3Cl)cc2F)c1=O;4.3
ID_075;Cc1cc(F)cc(C)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C(F)(F)F;4.3
ID_076;Cc1cccc2c(C(=O)Nc3c(F)c(F)c(-c4ccccc4)c(F)c3F)c(O)nn12;4.3
ID_077;C[C@H](Oc1cc(-n2nc(CO)n(C)c2=O)c(F)cc1C(=O)Nc1c(Cl)cccc1Cl)C(F)(F)F;4.33
ID_078;CN(/N=C/c1cc(F)c(F)cc1C(=O)O)c1nc(-c2ccccc2Cl)cs1;4.4
ID_079;C[C@H](Oc1cc(-n2nc(C(C)(C)O)n(C)c2=O)c(F)cc1C(=O)Nc1c(Cl)cccc1Cl)C(F)(F)F;4.5
ID_080;O=C1c2ccccc2C(=O)c2c1nnn2-c1ccc(-c2ccccc2F)cc1;4.5
ID_081;CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(C)cccc3F)cc2F)c1=O;4.5
ID_082;CCC[C@H](C)Oc1cc(-n2nc(C(C)(C)O)n(C)c2=O)c(F)cc1C(=O)Nc1c(F)cccc1Cl;4.5
ID_083;CCC[C@H](C)Oc1cc(-n2nc(C(C)(C)O)n(C)c2=O)c(F)cc1C(=O)Nc1c(C)cccc1F;4.5
ID_084;CCC[C@H](C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccc(F)cc1C;4.5
ID_085;O=C1c2ccccc2C(=O)c2c1nnn2-c1cc(F)c(-c2ccccc2F)c(F)c1;4.5
ID_086;COC(=O)Cc1cccc(-c2c(F)cc(-n3nnc4c3C(=O)c3ccccc3C4=O)cc2F)c1;4.6
ID_087;C[C@H](Oc1cc(-c2nc(C(N)=O)n(C)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;4.73
ID_088;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4cnccc4C)c(=O)c3cc2F)c1=O;4.79
ID_089;C[C@H](Oc1cc(-c2cc([C@@H](C)O)n(C)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;4.83
ID_090;Cc1ccc(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)cn1;4.84
ID_091;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4ccnc(OC)c4Cl)c(=O)c3cc2F)c1=O;4.88
ID_092;CCn1c(CO)nn(-c2ccc3c(=O)n(-c4c(F)cccc4Cl)nc(C(C)C)c3c2)c1=O;4.96
ID_093;Cc1c(-c2ccccc2)cc(F)c(Nc2ncccc2C(=O)O)c1F;5.0
ID_094;O=C(O)c1cc(C2CC2)cnc1Nc1c(F)cc(-c2ccccc2Cl)cc1F;5.0
ID_095;CCC[C@H](C)Oc1cc(-n2nc3ccccn3c2=O)c(F)cc1C(=O)Nc1c(C)cccc1F;5.0
ID_096;Cc1cccc(C(F)(F)F)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCOC3)cc1O[C@@H](C)C(F)(F)F;5.0
ID_097;CCC[C@H](C)Oc1cc(-n2nc([C@H](C)O)n(C)c2=O)c(F)cc1C(=O)Nc1c(F)cccc1Cl;5.0
ID_098;CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(Cl)ccc(O)c3F)cc2F)c1=O;5.0
ID_099;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccc(N)cc1C(F)(F)F)C1CCCCC1;5.0
ID_100;Cc1cc(Nc2ccc(C3CC3)cc2C(=O)O)cnc1-c1cccc(OC(F)(F)F)c1;5.0
ID_101;O=C(O)c1c(O)c(-c2ccc(-c3ccccc3)cc2)nc2ccc(F)cc12;5.0
ID_102;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc(C(C)C)n(C)c2=O)cc1O[C@@H](C)C(F)(F)F;5.0
ID_103;Cc1ccc(Nc2cnc(-c3ccccc3F)c(C)c2)c(C(=O)O)c1;5.0
ID_104;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)c1ccccc1;5.0
ID_105;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cccc1F)c1ccccc1;5.0
ID_106;CC(Oc1cc(-c2cncc(O)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;5.02
ID_107;C=C(C)c1nn(-c2c(F)cccc2Cl)c(=O)c2cc(-n3nc(CO)n(CC)c3=O)c(F)cc12;5.03
ID_108;C[C@H](Oc1cc(-c2nc(CO)c(C(C)(F)F)s2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;5.1
ID_109;CCC[C@H](C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccccc1C(F)F;5.1
ID_110;OC1c2ccccc2C(O)c2c1nnn2-c1cc(F)c(-c2ccccc2F)c(F)c1;5.1
ID_111;C[C@H](O)c1cc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)nn1C;5.16
ID_112;CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)ccc(OC)c3Cl)cc2F)c1=O;5.2
ID_113;CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)ccc(O)c3Cl)cc2F)c1=O;5.2
ID_114;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2ccc(Cl)c(C(C)(C)O)n2)cc1O[C@@H](C)C(F)(F)F;5.26
ID_115;C[C@H](Oc1cc(-n2nc3n(c2=O)CCOC3)c(F)cc1C(=O)Nc1c(Cl)cccc1Cl)C(F)(F)F;5.3
ID_116;CCC[C@H](C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1ccccc1C;5.33
ID_117;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(C4CCCC4)c(=O)c3cc2F)c1=O;5.37
ID_118;CCC[C@H](C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1cccc(N)c1C;5.4
ID_119;CCC[C@H](C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1cccc(N)c1;5.4
ID_120;COc1cc(N)nc(-c2cc(OC(C)C)c(C(=O)Nc3c(C)n[nH]c3Cl)cc2F)c1;5.45
ID_121;C=C(C)c1cn(-c2ccccc2C#N)c(=O)c2ccc(-n3nc(CO)n(CC)c3=O)cc12;5.49
ID_122;Cc1nc2c(C(=O)O)cc(-c3ccc(-c4ccccc4CN4CC[C@@H](F)C4)cc3)cc2[nH]1;5.5
ID_123;Cc1nc2c(C(=O)O)cc(-c3ccc(-n4c(C)ccc4C)cc3)cc2[nH]1;5.5
ID_124;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc(C(C)(C)O)n(C)c2=O)cc1O[C@@H](C)C(F)(F)F;5.5
ID_125;Cc1nc2c(C(=O)O)cc(-c3ccc(OCc4ccccc4)cc3)cc2[nH]1;5.5
ID_126;CCC[C@H](C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1ccc(CC)cc1;5.5
ID_127;Cc1nc2c(C(=O)O)cc(-c3c(F)c(F)c(-n4c(C)ccc4C)c(F)c3F)cc2[nH]1;5.5
ID_128;Cc1nc2c(C(=O)O)cc(-c3c(F)c(F)c(-c4ccc(CN5CCS(=O)(=O)CC5)cc4)c(F)c3F)cc2[nH]1;5.5
ID_129;Cc1nc2c(C(=O)O)cc(-c3c(F)c(F)c(-c4ccc(CN5CCCC(F)(F)C5)cc4)c(F)c3F)cc2[nH]1;5.5
ID_130;Cc1nc2c(C(=O)O)cc(-c3c(F)c(F)c(-c4ccc(CN5CCCCC5)cc4)c(F)c3F)cc2[nH]1;5.5
ID_131;Cc1nc2c(C(=O)O)cc(-c3c(F)c(F)c(-c4cccc(CNC5CC5)c4)c(F)c3F)cc2[nH]1;5.5
ID_132;Cc1nc2c(C(=O)O)cc(-c3c(F)c(F)c(-c4cccc(CO)c4)c(F)c3F)cc2[nH]1;5.5
ID_133;CCn1c(CO)nn(-c2cc3c(cc2F)O[C@H](c2c(F)cccc2Cl)CN3C(C)C)c1=O;5.5
ID_134;Cc1nc2c(C(=O)O)cc(-c3c(F)c(F)c(-c4cccc(CN5CCCCC5)c4)c(F)c3F)cc2[nH]1;5.5
ID_135;Cc1nc2c(C(=O)O)cc(-c3c(F)c(F)c(-c4ccccc4CN4CCCCC4)c(F)c3F)cc2[nH]1;5.5
ID_136;Cc1nc2c(C(=O)O)cc(-c3c(F)c(F)c(-c4ccccc4)c(F)c3F)cc2[nH]1;5.5
ID_137;Cc1nc2c(C(=O)O)cc(-c3ccc(-c4ccccc4CN4CCCC4)cc3)cc2[nH]1;5.5
ID_138;Cc1cccc(-c2ccc(-c3cc(C(=O)O)c4nc(C)[nH]c4c3)cc2)c1;5.5
ID_139;Cc1nc2c(C(=O)O)cc(-c3ccc(-c4c(F)cccc4CN4CCCC4)cc3)cc2[nH]1;5.5
ID_140;CCc1nc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)oc1CO;5.51
ID_141;C[C@H](Oc1cc(-c2nnc(C3CC3)o2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;5.54
ID_142;Cc1cc(C(=O)O)c2[nH]c(-c3c(F)c(F)c(-n4c(C)ccc4C)c(F)c3F)nc2c1;5.6
ID_143;CCn1c(CO)nn(-c2cc3c(cc2F)C(O)C(c2ccccc2C)CN3C(C)C)c1=O;5.62
ID_144;C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc2c(Cl)cccc2Cl)cc1F;5.7
ID_145;Cc1ccc(CCc2c(C(=O)O)[nH]c(=O)[nH]c2=O)cc1;5.8
ID_146;O=C(Nc1c(F)c(F)c(-c2ccccc2)c(F)c1F)c1c(O)nn2c1CCCC2;5.8
ID_147;CCC[C@H](C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(C)ccnc1OC;5.8
ID_148;CCC[C@H](C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1c(C)cccc1F;6.0
ID_149;O=C(O)c1c(O)c(-c2ccc(Oc3ccccc3)cc2)nc2ccc(F)cc12;6.0
ID_150;Cc1cc(Nc2ccc(C3CC3)cc2C(=O)O)cnc1-c1ccccc1;6.0
ID_151;O=C(O)c1cc(C2CC2)cnc1Nc1c(F)cc(-c2cccc(OC3CC3)c2)cc1F;6.0
ID_152;CCC[C@H](C)Oc1cc(-n2nc3ccccn3c2=O)c(F)cc1C(=O)Nc1ccccc1C;6.0
ID_153;Cc1c(-c2cccc(OC(F)(F)F)c2)cc(F)c(Nc2ncccc2C(=O)O)c1F;6.0
ID_154;COc1cccc(C)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C(F)(F)F;6.0
ID_155;CCn1c(CO)nn(-c2ccc(C(=O)Nc3c(F)cccc3Cl)c(O[C@@H](C)C(F)(F)F)c2)c1=O;6.0
ID_156;O=C(O)c1c(O)c(-c2ccc(-c3ccc(O)cc3)cc2)nc2ccccc12;6.0
ID_157;CCn1c(C(=O)O)nn(-c2ccc(C(=O)Nc3c(F)cccc3Cl)c(O[C@@H](C)C(F)(F)F)c2)c1=O;6.0
ID_158;O=C(N[C@@H]1CCCc2c1cnn2-c1ccccc1F)c1ncn2c1CCCC2;6.0
ID_159;CCn1c(C2CC2)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(C)cccc3F)cc2F)c1=O;6.05
ID_160;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4cc(OC)ncc4F)c(=O)c3cc2F)c1=O;6.05
