ID_Control;SMILES_curated;IC50 (nM)
ID_194;O=C(O)C1=C(C(=O)Nc2c(F)c(F)c(-c3cccc(OC(F)(F)F)c3)c(F)c2F)CCC1;7.0
ID_195;COc1cccc(-c2ncc(Nc3ccc(C4CC4)cc3C(=O)O)cc2C(F)(F)F)c1;7.0
ID_196;O=C(O)c1c(O)c(-c2ccc(Oc3ccccc3)cc2)nc2ccccc12;7.0
ID_197;N#CC(C(=O)Nc1ccc(-c2ccccc2)cc1)C(=O)C1CC1;53.0
ID_198;Cc1ccccc1-n1ncc2c1CCC[C@H]2NC(=O)c1onc2c1CCCC2;7.0
ID_199;CCn1c(CO)nn(-c2cc3c(cc2F)C(=O)C(C)(c2ccccc2C)CN3C(C)C)c1=O;7.06
ID_200;Cc1cc(NC(=O)c2c(O)nn3ccccc23)c(C(C)C)cc1Oc1ccccc1;7.2
ID_201;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccccc1C(F)F)C(F)(F)F;7.25
ID_202;C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc2c(Br)cccc2Br)cc1F;7.3
ID_203;CCn1c(CO)nn(-c2cc3c(C(C)C)cn([C@H]4CCCC[C@@H]4C)c(=O)c3cc2F)c1=O;7.41
ID_204;CCn1c(C(=O)O)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c1=O;7.5
ID_205;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc(C3CC3)n(C)c2=O)cc1O[C@@H](C)C(F)(F)F;7.5
ID_206;CCC[C@H](C)Oc1cc(-n2nc(CO)n(C)c2=O)c(F)cc1C(=O)Nc1c(C)cccc1F;7.5
ID_207;Cc1cc(F)cc(C)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCOC3)cc1O[C@@H](C)C(F)(F)F;7.5
ID_208;CCn1c(CO)nn(-c2cc3c(cc2F)c(=O)c(-c2ccccc2C)cn3C(C)C)c1=O;7.59
ID_209;Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)N(C)O;7.7
ID_210;CCc1nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(C)cccc3F)cc2F)c(=O)n1C;7.75
ID_211;CCn1c(CO)nn(-c2cc3c(cc2F)[C@@H](O)[C@@H](c2ccccc2C)CN3C(C)C)c1=O;7.9
ID_212;O=C(O)c1cc(Cl)cnc1Nc1c(F)cc(-c2ccccc2)cc1F;8.0
ID_213;COc1ccccc1-c1c(F)c(F)c(NC(=O)C2=C(C(=O)O)CCC2)c(F)c1F;8.0
ID_214;CCC[C@H](C)Oc1cc(-n2nc(C)n(C(C)C)c2=O)c(F)cc1C(=O)Nc1c(C)cccc1F;8.0
ID_215;O=C(O)c1cc(C2CC2)ccc1Nc1ccc(-c2ccccc2F)nc1;8.0
ID_216;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4ccncc4C)c(=O)c3cc2F)c1=O;8.08
ID_217;Cc1ccc(/C=N/N(C)c2nc(-c3ccccc3Cl)cs2)c(C(=O)O)c1;8.4
ID_218;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cc(F)cc1Cl)C(F)(F)F;8.5
ID_219;CCn1c(C(=O)O)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(C)cccc3F)cc2F)c1=O;8.5
ID_220;CCCN(/N=C/c1ccccc1C(=O)O)c1nc(-c2ccccc2Cl)cs1;8.6
ID_221;Cc1sc(N(C)/N=C/c2ccccc2C(=O)O)nc1-c1ccccc1;8.8
ID_222;CCn1c(CO)nn(-c2cc3c(C4(C)CC4)cn(-c4c(F)cccc4Cl)c(=O)c3cc2F)c1=O;8.81
ID_223;Cc1cc(C(=O)O)c2[nH]c(-c3c(F)c(F)c(-c4cccc(F)c4)c(F)c3F)nc2c1;8.86
ID_224;CCOc1ccccc1-c1cc(F)c(NC(=O)c2ccsc2C(=O)O)c(F)c1;9.0
ID_225;Cc1ccccc1NC(=O)c1cc(F)c(-n2nc(C)n(C(C)C)c2=O)cc1O[C@@H](C)C(F)(F)F;9.0
ID_226;O=C(N[C@@H]1CCCc2c1cnn2-c1ccccc1F)c1noc2c1CCCC2;9.0
ID_227;Cc1cccc(-n2ncc3c2CCCC3NC(=O)c2noc3c2CCCC3)c1;9.0
ID_228;Cc1cc(F)cc(Cl)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCOC3)cc1O[C@@H](C)C(F)(F)F;9.0
ID_229;COc1cccc(C)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCOC3)cc1O[C@@H](C)C(F)(F)F;9.0
ID_230;CCn1c(C(=O)O)nn(-c2ccc(C(=O)Nc3c(F)cccc3F)c(O[C@@H](C)C(F)(F)F)c2)c1=O;9.0
ID_231;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(Cl)ccc(F)c1F)C(F)(F)F;9.0
ID_232;O=C(O)c1cc(C2CC2)ccc1Nc1cnc(-c2ccccc2C(F)(F)F)nc1;9.0
ID_233;O=C(N[C@@H]1CCCc2c1cnn2-c1ccccc1F)c1onc2c1CCCC2;9.0
ID_234;Cc1ccc(Nc2cnc(-c3cccc(C(=O)N4CCCC4)c3)c(C)c2)c(C(=O)O)c1;9.0
ID_235;COc1cccc(-c2c(F)cc(-n3nnc4c3C(=O)c3ccccc3C4=O)cc2F)c1;9.0
ID_236;O=C(O)c1cc(C2CC2)cnc1Nc1ccc2c(ccn2-c2ccccc2)c1;9.0
ID_237;CCC[C@H](C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(C)cccc1N;9.0
ID_238;C[C@H](Oc1cc(-c2nc3c(s2)CCNC3)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;9.36
ID_239;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccccc1C(F)(F)F)C(F)(F)F;9.5
ID_240;Cc1cccnc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C1CCCCC1;9.5
ID_241;CC(Oc1cc(-c2nc([C@H](C)O)n(C3CC3)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;9.54
ID_242;CCC[C@H](C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)NCC(C)(C)C;9.6
ID_243;CN(/N=C/c1ccccc1C(=O)O)c1nc(-c2ccccc2Cl)cs1;9.7
ID_244;Cc1c(-c2ccc(-c3cccnc3Cl)cc2)nc2ccc(F)cc2c1C(=O)O;9.7
ID_245;C[C@H](Oc1cc(-n2nc(CO)n(C)c2=O)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;9.75
ID_246;CC(=N)/C(NC(=O)c1cc(F)c(-c2cc(C(F)(F)F)cc(N)n2)cc1O[C@@H](C)C(F)(F)F)=C(\N)Cl;9.8
ID_247;C=C(C)c1cn(-c2cccc(F)c2)c(=O)c2ccc(-n3nc(CO)n(CC)c3=O)cc12;9.89
ID_248;CCn1c(CO)nn(-c2cc(OC(C)C(C)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O;10.0
ID_249;CCOc1ccccc1-c1cc(F)c(NC(=O)c2cscc2C(=O)O)c(F)c1;10.0
ID_250;O=C(O)c1cscc1C(=O)Nc1c(F)cc(-c2cccc(OC(F)(F)F)c2)cc1F;10.0
ID_251;Cc1ccc(Nc2cnc(-c3cccc(Cl)c3)c(C)c2)c(C(=O)O)c1;10.0
ID_252;Cc1nc2c(C(=O)O)cc(-c3ccc(-c4ccccc4)cc3)cc2[nH]1;10.0
ID_253;Cc1nc2c(C(=O)O)cc(-c3ccc(-c4ccc(O)cc4)cc3)cc2[nH]1;10.0
ID_254;Cc1nc2c(C(=O)O)cc(-c3c(F)c(F)c(-c4ccc(CN5CCOCC5)cc4)c(F)c3F)cc2[nH]1;10.0
ID_255;O=C(O)c1cc(C2CC2)ccc1Nc1cnc(-c2ccccc2)c(-c2ccccc2)c1;10.0
ID_256;O=C(O)c1c(O)c(-c2ccc(-c3ccccc3)cc2)nc2ccccc12;10.0
ID_257;O=C(O)c1cc(C2CC2)ccc1Nc1cnc(-c2ccccc2F)nc1;10.0
ID_258;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCOC3)cc1O[C@@H](C)C(F)(F)F;10.0
ID_259;CCC[C@H](C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cccc1F;10.0
ID_260;CCn1c(CO)nn(-c2cc3c(C(C)C)cn([C@H]4CC[C@@H](OC)C4)c(=O)c3cc2F)c1=O;10.1
ID_261;C[C@H](Oc1cc(-c2cnc(C(C)(C)O)cn2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;10.3
ID_262;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4nccc(OC)c4Cl)c(=O)c3cc2F)c1=O;10.4
ID_263;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4ccnc(O)c4C)c(=O)c3cc2F)c1=O;10.5
ID_264;CN(/N=C/c1ccccc1C(=O)O)c1nc(-c2cccc(Cl)c2)cs1;10.6
ID_265;CCC[C@H](C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1ccccc1CC;11.0
ID_266;O=C(O)c1[nH]c(=O)[nH]c(=O)c1CCc1cc(C(F)(F)F)cc(C(F)(F)F)c1;11.0
ID_267;Cc1ccccc1-c1cc(F)c(Nc2ncccc2C(=O)O)c(F)c1;11.0
ID_268;Cc1ccc(Nc2cnc(-c3cccc(OC(C)C)c3)c(C)c2)c(C(=O)O)c1;11.0
ID_269;Cc1ccccc1NC(=O)c1cc(F)c(-c2ccc(Cl)c(C(C)(C)O)n2)cc1O[C@@H](C)C(F)(F)F;11.0
ID_270;CCC[C@H](C)Oc1cc(-n2nc(C)n(C(C)C)c2=O)c(F)cc1C(=O)Nc1ccccc1C;11.0
ID_271;Cc1cc(F)ccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C(F)(F)F;11.0
ID_272;CC(C)OC(=O)c1cccc(-n2ncc3c2CCC[C@H]3NC(=O)c2noc3c2CCCC3)c1;11.0
ID_273;CC(=O)C(C#N)C(=O)Nc1ccc(-c2ccccc2)cc1;90.0
ID_274;COc1cccc(-c2cc(F)c(NC(=O)C3=C(C(=O)O)CCC3)c(F)c2)c1;11.0
ID_275;CCC[C@H](C)Oc1cc(-n2nc3n(c2=O)CCOC3)c(F)cc1C(=O)Nc1c(F)cccc1Cl;11.0
ID_276;Cc1ccc(F)c(-n2ncc3c2CCC[C@H]3NC(=O)c2onc3c2CCCC3)c1;11.0
ID_277;O=C(O)C1=C(C(=O)Nc2ccc(OCc3c(F)cccc3Cl)c(Cl)c2)CCC1;11.0
ID_278;CCC[C@H](C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccccc1C;11.3
ID_279;C[C@H](Oc1nc(-c2ccc(C3CC3)nc2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;11.4
ID_280;Cc1ccccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C(F)(F)F;11.5
ID_281;CCn1c(CO)nn(-c2ccc3c(=O)n(-c4c(F)cccc4Cl)cc(C4CC4)c3c2)c1=O;11.5
ID_282;CCn1c(CO)nn(-c2cc3c(C(C)C)cn([C@H]4CCCC[C@H]4C)c(=O)c3cc2F)c1=O;11.6
ID_283;COc1cccc(-c2ncc(Nc3ccc(C)cc3C(=O)O)cc2C(F)(F)F)c1;12.0
ID_284;CCc1cnc(Nc2c(F)cc(-c3cccc(OC)c3)cc2F)c(C(=O)O)c1;12.0
ID_285;COc1ccccc1-c1ccc(NC(=O)c2ccsc2C(=O)O)cc1Cl;12.0
ID_286;COc1cccc(-c2cc(F)c(Nc3ncc(C)cc3C(=O)O)c(F)c2)c1;12.0
ID_287;CCC[C@H](C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1cnc(OC)cc1C;12.0
ID_288;Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2cnc(C(F)(F)F)cc2c1C(=O)O;12.0
ID_289;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cccc1F)C1CCCCC1;12.0
ID_290;C[C@H](Oc1cc(-n2nc3n(c2=O)CCOC3)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;12.0
ID_291;Cc1ccc(Nc2cnc(-c3cccc(C(=O)NC4CC4)c3)c(C)c2)c(C(=O)O)c1;12.0
ID_292;Nc1c(-c2ccc(-c3ccccc3)cc2)nc2ccc(F)cc2c1C(=O)O;12.0
ID_293;Cc1ccccc1-c1ncc(Nc2ccc(C3CC3)cc2C(=O)O)cn1;12.0
ID_294;C[C@H](Oc1cc(-c2c[nH]c(C(C)(C)O)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;12.3
ID_295;CCn1c(C2CC2)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c1=O;12.5
ID_296;CC(=O)Nc1ccc(COc2ccc(-c3ccc(-c4nc5c(C(=O)O)cc(C)cc5[nH]4)cc3)cc2)cc1;13.0
ID_297;C[C@H](Oc1cc(-n2nc(C(=O)O)n(C3CCC3)c2=O)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;13.0
ID_298;Oc1nn2ccccc2c1/N=N/c1c(F)c(F)c(-c2ccccc2)c(F)c1F;13.0
ID_299;CCc1cc(=O)n2[nH]c(SCc3cc(Cl)ccc3Cl)nc2n1;13.0
ID_300;C/C(O)=C(\C#N)C(=O)Nc1cc(OC(C)C)c(C(=O)Nc2c(Cl)cccc2Cl)cc1F;13.0
ID_301;COc1ccc2ccc(CCc3c(C(=O)O)[nH]c(=O)[nH]c3=O)cc2c1;13.0
ID_302;Cc1c(Cc2ccccc2F)c(OC(C)C)nn1-c1ncc(C2CC2)cn1;13.0
ID_303;CCc1nn(-c2cc(O[C@@H](C)c3ccccc3)c(C(=O)Nc3c(C)cccc3F)cc2F)c(=O)n1C;13.0
ID_304;CCC[C@H](C)Oc1cc(-n2nc(C(C)(C)O)n(C)c2=O)c(F)cc1C(=O)NC(CC)CC;13.0
ID_305;CC(C)c1nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c(=O)n1C;13.0
ID_306;Cc1ccnc(Cl)c1-c1cc(C(C)C)c2cc(-c3nc(C(C)(C)O)n(C)n3)c(F)cn2c1=O;13.0
ID_307;Cc1ccnc(Cl)c1-c1cc(C(C)C)c2cc(-c3cn(C)c(C(C)(C)O)n3)c(F)cn2c1=O;13.0
ID_308;CCn1c(CO)nn(-c2nc3c(C(C)C)cn(-c4scnc4C)c(=O)c3cc2F)c1=O;13.0
ID_309;C[C@H](Oc1cc(-n2nc(C(C)(C)O)n(C)c2=O)c(F)cc1C(=O)Nc1c(F)cccc1F)C(F)(F)F;13.1
ID_310;Cc1[nH]nc(C(F)(F)F)c1NC(=O)c1cc(F)c(-c2ncn(C)n2)cc1O[C@@H](C)C(F)(F)F;13.1
ID_311;CCC(CC)n1cc(C(C)C)c2cc(-n3nc(CO)n(CC)c3=O)c(F)cc2c1=O;13.4
ID_312;Cc1cc(C(=O)O)c2[nH]c(-c3c(F)c(F)c(-c4cccc(O)c4)c(F)c3F)nc2c1;13.5
ID_313;C[C@H](Oc1cc(-c2ccc3c(n2)CCNC3)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;13.6
ID_314;Cc1cc(C(=O)O)c2[nH]c(-c3c(F)c(F)c(-c4cccc(OCc5ccccc5)c4)c(F)c3F)nc2c1;13.6
ID_315;Cc1ccc(/C=N/N(C)c2nc(-c3ccccc3)c(C)s2)c(C(=O)O)c1;13.6
ID_316;Cc1nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c(=O)n1C(C)C;14.0
ID_317;C[C@H](Oc1cc(-n2nc(C(=O)O)n(C3CC3)c2=O)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;14.0
ID_318;Cc1ccc(Nc2cnc(-c3ccccc3Cl)c(C)c2)c(C(=O)O)c1;14.0
ID_319;Cc1ccnc(C(=O)N[C@@H]2CCCc3c2cnn3-c2ccccc2C)c1;14.0
ID_320;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc(C3CCC3)n(C)c2=O)cc1O[C@@H](C)C(F)(F)F;14.0
ID_321;CCc1ccccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C(F)(F)F;14.0
ID_322;COc1cccc(-c2ccc(Nc3cnccc3C(=O)O)c(OC(F)(F)F)c2)c1;14.0
ID_323;Cc1cn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(C)n[nH]c3Cl)cc2F)nc1[C@H](C)O;0.26
ID_324;CCn1c(CO)nn(-c2cc3c([C@@H](C)C(F)(F)F)cn(-c4ccccc4C)c(=O)c3cc2F)c1=O;0.26
ID_325;C=C(C)c1cn(-c2c(F)cccc2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12;0.265
ID_326;Cc1[nH]nc(Cl)c1NC(=O)c1cc(F)c(-c2cn(C)c(CO)n2)cc1O[C@@H](C)C(F)(F)F;0.266
ID_327;C=C(C)c1cn(-c2c(F)ccc(OC)c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12;0.267
ID_328;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2ccc3c(n2)NC(=O)CO3)cc1O[C@@H](C)C(F)(F)F;0.267
ID_329;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4c(F)ccc(OC)c4Cl)c(=O)c3cc2F)c1=O;0.273
ID_330;Cc1ccc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(C)ccnc3Cl)cc2F)nc1;0.274
ID_331;Cc1ncc(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(C)n[nH]c3Cl)cc2F)nc1O;0.279
ID_332;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2ccc(Cl)c(N)n2)cc1OC(C)C(F)(F)F;0.284
ID_333;C=C(C)c1cn(-c2c(C)n[nH]c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12;0.286
ID_334;Cc1ncc(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)nc1C;0.287
ID_335;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2ccc(Cl)c(N)n2)cc1OC(C)C;0.288
ID_336;C=C(C)c1cn(-c2cc(C)ccc2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12;0.292
ID_337;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2ccc(Cl)c(C(C)O)n2)cc1O[C@@H](C)C(F)(F)F;0.295
ID_338;CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c3c(Oc4c(F)ccc(OC)c4Cl)nccc3c2)c1=O;0.3
ID_339;Cc1cn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)nc1[C@H](C)O;0.3
ID_340;CCn1c(CO)nn(-c2cc3c(cc2F)C(=O)C(c2ccccc2C)CN3C(C)C)c1=O;0.303
ID_341;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2cn(C)c(C(C)(C)O)n2)cc1OC(C)C;0.307
ID_342;CC(O)c1nc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)cn1C;0.309
ID_343;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2ccc(F)c([C@H](C)O)n2)cc1O[C@@H](C)C(F)(F)F;0.309
ID_344;Cc1n[nH]c(C(F)(F)F)c1NC(=O)c1cc(F)c(-c2ccc3c(n2)NC(=O)CO3)cc1OC(C)C(F)(F)F;0.313
ID_345;Cc1ccccc1NC(=O)c1cc(F)c(-c2nc(C(C)(C)O)n(C)n2)cc1O[C@@H](C)C(F)(F)F;0.315
ID_346;C[C@H](Oc1cc(-c2ccc(C3CC3)c(CO)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;0.317
ID_347;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2cn(C)c(C(O)C(F)(F)F)n2)cc1O[C@@H](C)C(F)(F)F;0.319
ID_348;C=C(C)c1nn(-c2c(F)cccc2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12;0.32
ID_349;CC(=N)/C(NC(=O)c1cc(F)c(-c2cn3ccnc3c(N)n2)cc1O[C@@H](C)C(F)(F)F)=C(\N)Cl;0.324
ID_350;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2cn(C)c(C(C)(C)O)n2)cc1O[C@@H](C)C(F)(F)F;0.333
ID_351;Cc1ccc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(C)n[nH]c3Cl)cc2F)nc1N;0.338
ID_352;Cc1ccnc(Cl)c1NC(=O)c1cc(F)c(-c2cn(C)c(C(C)(C)O)n2)cc1O[C@@H](C)C(F)(F)F;0.345
ID_353;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2cn(C)c(C(N)=O)n2)cc1O[C@@H](C)C(F)(F)F;0.352
ID_354;CCn1c(CO)nn(-c2nc3c(C(C)C)cn(-c4c(F)cccc4Cl)c(=O)c3cc2F)c1=O;0.356
ID_355;C[C@H](Oc1cc(-c2nc(C(F)(F)F)n(C)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;0.361
ID_356;Cc1ccnc(Cl)c1NC(=O)c1cc(F)c(-c2ccc(Cl)c(CO)n2)cc1O[C@@H](C)C(F)(F)F;0.365
ID_357;COc1ccc(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(C)n[nH]c3Cl)cc2F)nc1N;0.368
ID_358;CC(Oc1cc(-c2cn(C)c(CO)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;0.37
ID_359;Cc1n[nH]c(C(F)(F)F)c1NC(=O)c1cc(F)c(-c2ccc(F)c(N)n2)cc1OC(C)C(F)(F)F;0.375
ID_360;CCn1c(CO)nn(-c2nc(O[C@@H](C)C(F)(F)F)c3c(Nc4c(F)cccc4Cl)nncc3c2F)c1=O;0.38
ID_361;Cc1cn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(C)n[nH]c3Cl)cc2F)nc1C(C)(C)O;0.38
ID_362;Cc1ccccc1-n1cc(C(C)C)c2cc(-c3cn(C)c(C(C)(C)O)n3)c(F)cc2c1=O;0.38
ID_363;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2cnc(F)c(CO)n2)cc1OC(C)C(F)(F)F;14.2
ID_364;CCc1nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c(=O)n1C;14.3
ID_365;CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c1=O;14.3
ID_366;Cc1cccc(CN)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C1CCCCC1;14.3
ID_367;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4cc(C)ncc4Cl)c(=O)c3cc2F)c1=O;14.8
ID_368;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4ncccc4C)c(=O)c3cc2F)c1=O;14.8
ID_369;COc1cccc(-c2cc(F)c(Nc3ncccc3C(=O)O)c(F)c2)c1;15.0
ID_370;CCCn1c(C)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c1=O;15.0
ID_371;CCC[C@H](C)Oc1cc(-n2nc(C(C)(C)O)n(C)c2=O)c(F)cc1C(=O)Nc1c(C)ccnc1OC;15.0
ID_372;CCc1nn(-c2cc(O[C@@H](C)c3ccccc3)c(C(=O)Nc3c(F)cccc3F)cc2F)c(=O)n1C;15.0
ID_373;Cc1ccnc(Cl)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C(F)(F)F;15.0
ID_374;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCOC3)c(F)cc1C(=O)Nc1c(F)cc(F)cc1Cl)C(F)(F)F;15.0
ID_375;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)ccc(O)c1F)C(F)(F)F;15.0
ID_376;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc(C(F)(F)F)n(C)c2=O)cc1O[C@@H](C)C(F)(F)F;15.0
ID_377;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCCC3)c(F)cc1C(=O)Nc1c(F)cccc1F)C(F)(F)F;15.0
ID_378;CCC[C@H](C)Oc1cc(-n2nc(C(C)(O)O)n(C)c2=O)c(F)cc1C(=O)Nc1c(C)ccnc1OC;15.0
ID_379;CCC[C@H](C)Oc1cc(-n2nc(CO)n(C)c2=O)c(F)cc1C(=O)Nc1c(C)ccnc1OC;15.0
ID_380;C[C@H](O)c1nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c(=O)n1C;15.0
ID_381;O=C(N[C@@H]1CCCc2c1cnn2-c1ccccc1F)c1cc(C(F)(F)F)ccn1;15.0
ID_382;O=C(O)C1=C(C(=O)Nc2c(F)cc(-c3cccc(OC(F)(F)F)c3)cc2F)CSC1;15.0
ID_383;Cc1ccc(F)cc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C(F)(F)F;15.0
ID_384;CCC[C@H](C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1c(C)cc(N)cc1C;15.3
ID_385;CCCC(C)N(/N=C/c1ccccc1C(=O)O)c1nc(-c2ccccc2Cl)c(C)s1;15.4
ID_386;CCn1c(CO)nn(-c2cc3c(C(C)C)cn([C@@H]4CCC[C@@H]4C)c(=O)c3cc2F)c1=O;15.5
ID_387;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3O)c(F)cc1C(=O)Nc1c(F)cccc1F)C(F)(F)F;16.0
ID_388;Cc1cc(C(=O)O)c2[nH]c(-c3c(F)c(F)c(-c4ccc(O)cc4)c(F)c3F)nc2c1;16.0
ID_389;CCC[C@H](C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1ccccc1NC;16.0
ID_390;Cc1ccccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)CN(C)C;16.0
ID_391;Cc1cccc(C(F)(F)F)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCOC3)cc1O[C@@H](C)C(F)(F)F;16.0
