SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OCCN[C@@H](CN)/C=C/c1c(N)ccc(c1)CCl	No_5_175,27/000000023,"InChI=1S/C13H20ClN3O/c14-8-10-1-4-13(16)11(7-10)2-3-12(9-15)17-5-6-18/h1-4,7,12,17-18H,5-6,8-9,15-16H2/b3-2+/t12-/m1/s1",C13H20N3OCl,269,0.4,4.41,7.51,3.58,-150,3.521601266142042,1
Oc1cc(c2n[nH]nc2)cc(c1)CC/C=C/C(=O)N	No_1_606,28/000000239,"InChI=1S/C13H14N4O2/c14-13(19)4-2-1-3-9-5-10(7-11(18)6-9)12-8-15-17-16-12/h2,4-8,18H,1,3H2,(H2,14,19)(H,15,16,17)/b4-2+",C13H14N4O2,258,2.08,4.41,0.54,20.2,-120,2.9377720204475946,1
c1ccc(cc1C#Cc1ccccc1CN)c1cn[nH]c1	No_2_398,3/000000120,"InChI=1S/C18H15N3/c19-11-17-6-2-1-5-15(17)9-8-14-4-3-7-16(10-14)18-12-20-21-13-18/h1-7,10,12-13H,11,19H2,(H,20,21)",C18H15N3,273,4.37,4.41,3.47,18.8,-120,2.4849339430128143,1
OCc1nc([nH]c1C1=COC(=CC1)C(=O)N/C=C\C[NH3+])CC	No_3_99,23/000000521,"InChI=1S/C15H20N4O3/c1-2-13-18-11(8-20)14(19-13)10-4-5-12(22-9-10)15(21)17-7-3-6-16/h3,5,7,9,20H,2,4,6,8,16H2,1H3,(H,17,21)(H,18,19)/p+1/b7-3-",C15H21N4O3,305,-0.25,4.41,4.93,24.3,-140,4.411900776541596,0
Oc1cc(/C=C/CF)cc(c1)c1n[nH]nc1	No_2_514,28/000000465,"InChI=1S/C11H10FN3O/c12-3-1-2-8-4-9(6-10(16)5-8)11-7-13-15-14-11/h1-2,4-7,16H,3H2,(H,13,14,15)/b2-1+",C11H10N3OF,219,3.54,4.41,1.16,18.1,-120,3.1328886091275967,1
C1=C[C@H](NC1=O)/C=C/c1cnc(c(c1)Br)CC[NH3+]	No_4_288,13/000000036,"InChI=1S/C13H14BrN3O/c14-11-7-9(8-16-12(11)5-6-15)1-2-10-3-4-13(18)17-10/h1-4,7-8,10H,5-6,15H2,(H,17,18)/p+1/b2-1+/t10-/m1/s1",C13H15N3OBr,309,0.87,4.41,5.65,3.85,-150,4.579051528585482,0
OCCC1=COC=C(C1)C[C@@H](/C=C/c1ccc(c(c1)Cl)Cl)O	No_2_574,13/000000183,"InChI=1S/C17H18Cl2O3/c18-16-4-2-12(9-17(16)19)1-3-15(21)8-14-7-13(5-6-20)10-22-11-14/h1-4,9-11,15,20-21H,5-8H2/b3-1+/t15-/m1/s1",C17H18O3Cl2,340,2.79,4.41,4.36,4.94,-170,3.7838919367909796,1
OC(=O)/C=C/Cc1nc(c2nnc(o2)CO)c(cc1)N	No_4_172,21/000000200,"InChI=1S/C12H12N4O4/c13-8-5-4-7(2-1-3-10(18)19)14-11(8)12-16-15-9(6-17)20-12/h1,3-5,17H,2,6,13H2,(H,18,19)/b3-1+",C12H12N4O4,276,0.23,4.41,4.97,21.8,-120,3.059541619567261,1
Oc1cc(c2n[nH]nc2)cc(c1)CO	No_1_17,28/000000090,"InChI=1S/C9H9N3O2/c13-5-6-1-7(3-8(14)2-6)9-4-10-12-11-9/h1-4,13-14H,5H2,(H,10,11,12)",C9H9N3O2,191,1.8,4.4,1.52,14.4,-120,2.6493163549229077,1
Oc1ncc(c(n1)C/C=C/CBr)C(=O)O	No_2_280,29/000000111,"InChI=1S/C9H9BrN2O3/c10-4-2-1-3-7-6(8(13)14)5-11-9(15)12-7/h1-2,5H,3-4H2,(H,13,14)(H,11,12,15)/b2-1+",C9H9N2O3Br,273,1.3,4.4,4.48,3.85,0,3.399663325182904,1
