SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OCc1nonc1c1nc(ncc1)C(=O)NCC=C	No_1_388;4/000000034;InChI=1S/C11H11N5O3/c1-2-4-13-11(18)10-12-5-3-7(14-10)9-8(6-17)15-19-16-9/h2-3,5,17H,1,4,6H2,(H,13,18);C11H11N5O3;261;-0.02;4.42;1.91;21.20;-180
OC(=O)c1[nH]c(c(c1)CO)C(=O)C1=CC=C[C@H](O1)CC#CCO	No_5_568;4/000000024;InChI=1S/C16H15NO6/c18-7-2-1-4-11-5-3-6-13(23-11)15(20)14-10(9-19)8-12(17-14)16(21)22/h3,5-6,8,11,17-19H,4,7,9H2,(H,21,22)/t11-/m1/s1;C16H15NO6;317;-0.14;4.22;4.83;4.94;-150
O=C(NCBr)c1nccc(n1)c1nonc1CN	No_1_123;4/000000028;InChI=1S/C9H9BrN6O2/c10-4-13-9(17)8-12-2-1-5(14-8)7-6(3-11)15-18-16-7/h1-2H,3-4,11H2,(H,13,17);C9H9N6O2Br;313;0.04;4.58;1.12;20.90;-160
OC(=O)c1[nH]c(c(c1)CO)C(=O)C1=CC=C[C@H](O1)CC#CCO	No_5_573;4/000000027;InChI=1S/C16H15NO6/c18-7-2-1-4-11-5-3-6-13(23-11)15(20)14-10(9-19)8-12(17-14)16(21)22/h3,5-6,8,11,17-19H,4,7,9H2,(H,21,22)/t11-/m1/s1;C16H15NO6;317;-0.14;4.70;5.25;4.94;-150
OCC1=C(c2oc(=O)[nH]n2)CC(=C1)CC/C=C/C[NH3+]	No_5_368;4/000000004;InChI=1S/C13H17N3O3/c14-5-3-1-2-4-9-6-10(8-17)11(7-9)12-15-16-13(18)19-12/h1,3,6,17H,2,4-5,7-8,14H2,(H,16,18)/p+1/b3-1+;C13H18N3O3;264;-0.33;4.19;3.56;21.60;-80
OC(=O)c1[nH]c(c(c1)CO)C(=O)C1=CC=C[C@H](O1)CC#CCO	No_5_541;4/000000016;InChI=1S/C16H15NO6/c18-7-2-1-4-11-5-3-6-13(23-11)15(20)14-10(9-19)8-12(17-14)16(21)22/h3,5-6,8,11,17-19H,4,7,9H2,(H,21,22)/t11-/m1/s1;C16H15NO6;317;-0.14;4.18;4.47;4.94;-150
OCc1nonc1c1nc(ncc1)C(=O)NCC=C	No_1_386;4/000000032;InChI=1S/C11H11N5O3/c1-2-4-13-11(18)10-12-5-3-7(14-10)9-8(6-17)15-19-16-9/h2-3,5,17H,1,4,6H2,(H,13,18);C11H11N5O3;261;-0.02;4.60;1.72;21.20;-180
OC(=O)c1[nH]c(c(c1)CO)C(=O)C1=CC=C[C@H](O1)CC#CCO	No_5_540;4/000000015;InChI=1S/C16H15NO6/c18-7-2-1-4-11-5-3-6-13(23-11)15(20)14-10(9-19)8-12(17-14)16(21)22/h3,5-6,8,11,17-19H,4,7,9H2,(H,21,22)/t11-/m1/s1;C16H15NO6;317;-0.14;4.68;4.65;4.94;-150
c1nc(nc(c1)c1nonc1C(=O)O)C(=O)NCBr	No_1_611;4/000000035;InChI=1S/C9H6BrN5O4/c10-3-12-8(16)7-11-2-1-4(13-7)5-6(9(17)18)15-19-14-5/h1-2H,3H2,(H,12,16)(H,17,18);C9H5N5O4Br;327;0.09;4.25;2.04;22.90;-160
OC(=O)c1nonc1C1=NNC(=O)C1	No_1_490;4/000000006;InChI=1S/C6H4N4O4/c11-3-1-2(7-8-3)4-5(6(12)13)10-14-9-4/h1H2,(H,8,11)(H,12,13);C6H4N4O4;196;0.24;4.32;4.45;21.20;-80
OC(=O)c1[nH]c(c(c1)CO)C(=O)C1=CC=C[C@H](O1)CC#CCO	No_5_564;4/000000020;InChI=1S/C16H15NO6/c18-7-2-1-4-11-5-3-6-13(23-11)15(20)14-10(9-19)8-12(17-14)16(21)22/h3,5-6,8,11,17-19H,4,7,9H2,(H,21,22)/t11-/m1/s1;C16H15NO6;317;-0.14;4.37;4.98;4.94;-150
OC(=O)c1[nH]c(c(c1)CO)C(=O)C1=CC=C[C@H](O1)CC#CCO	No_5_571;4/000000025;InChI=1S/C16H15NO6/c18-7-2-1-4-11-5-3-6-13(23-11)15(20)14-10(9-19)8-12(17-14)16(21)22/h3,5-6,8,11,17-19H,4,7,9H2,(H,21,22)/t11-/m1/s1;C16H15NO6;317;-0.14;4.50;4.98;4.94;-150
OC(=O)c1[nH]c(c(c1)CO)C(=O)C1=CC=C[C@H](O1)CC#CCO	No_5_566;4/000000022;InChI=1S/C16H15NO6/c18-7-2-1-4-11-5-3-6-13(23-11)15(20)14-10(9-19)8-12(17-14)16(21)22/h3,5-6,8,11,17-19H,4,7,9H2,(H,21,22)/t11-/m1/s1;C16H15NO6;317;-0.14;4.25;5.02;4.94;-150
OCc1nonc1c1nc(ncc1)C(=O)NCC=C	No_1_387;4/000000033;InChI=1S/C11H11N5O3/c1-2-4-13-11(18)10-12-5-3-7(14-10)9-8(6-17)15-19-16-9/h2-3,5,17H,1,4,6H2,(H,13,18);C11H11N5O3;261;-0.02;4.54;1.74;21.20;-180
OC(=O)c1[nH]c(c(c1)CO)C(=O)C1=CC=C[C@H](O1)CC#CCO	No_5_572;4/000000026;InChI=1S/C16H15NO6/c18-7-2-1-4-11-5-3-6-13(23-11)15(20)14-10(9-19)8-12(17-14)16(21)22/h3,5-6,8,11,17-19H,4,7,9H2,(H,21,22)/t11-/m1/s1;C16H15NO6;317;-0.14;4.52;4.87;4.94;-150
OC(=O)c1[nH]c(c(c1)CO)C(=O)C1=CC=C[C@H](O1)CC#CCO	No_5_563;4/000000019;InChI=1S/C16H15NO6/c18-7-2-1-4-11-5-3-6-13(23-11)15(20)14-10(9-19)8-12(17-14)16(21)22/h3,5-6,8,11,17-19H,4,7,9H2,(H,21,22)/t11-/m1/s1;C16H15NO6;317;-0.14;5.12;4.95;4.94;-150
OC(=O)c1nonc1C1=NNC(=O)C1	No_2_44;4/000000007;InChI=1S/C6H4N4O4/c11-3-1-2(7-8-3)4-5(6(12)13)10-14-9-4/h1H2,(H,8,11)(H,12,13);C6H4N4O4;196;0.24;4.32;4.45;21.20;-80
N[C@@H]1Nc2c(N1)ccc(c2)[C@@H](CO)Cl	No_2_156;4/000000001;InChI=1S/C9H12ClN3O/c10-6(4-14)5-1-2-7-8(3-5)13-9(11)12-7/h1-3,6,9,12-14H,4,11H2/t6-,9?/m1/s1;C9H10N3OCl;211;1.45;4.03;0.29;12.40;-190
OC(=O)c1[nH]c(c(c1)CO)C(=O)C1=CC=C[C@H](O1)CC#CCO	No_5_567;4/000000023;InChI=1S/C16H15NO6/c18-7-2-1-4-11-5-3-6-13(23-11)15(20)14-10(9-19)8-12(17-14)16(21)22/h3,5-6,8,11,17-19H,4,7,9H2,(H,21,22)/t11-/m1/s1;C16H15NO6;317;-0.14;4.16;5.01;4.94;-150
OCc1nonc1c1nc(ncc1)C(=O)NCC=C	No_1_382;4/000000031;InChI=1S/C11H11N5O3/c1-2-4-13-11(18)10-12-5-3-7(14-10)9-8(6-17)15-19-16-9/h2-3,5,17H,1,4,6H2,(H,13,18);C11H11N5O3;261;-0.02;4.12;1.85;21.20;-180
