SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1cnc(c(c1O)C#CC(=O)NCCS)CO	No_2_518,1/000000545,"InChI=1S/C11H12N2O4S/c14-6-8-7(11(17)9(15)5-13-8)1-2-10(16)12-3-4-18/h5,14-15,18H,3-4,6H2,(H,12,16)(H,13,17)",C11H12N2O4S,268,-0.03,4.55,5.24,19.1,0,3.5750505908270798,1
Oc1c(C#CC(=O)Nc2cccc(c2)O)cncc1O	No_2_22,1/000000354,"InChI=1S/C14H10N2O4/c17-11-3-1-2-10(6-11)16-13(19)5-4-9-7-15-8-12(18)14(9)20/h1-3,6-8,17-18H,(H,15,20)(H,16,19)",C14H10N2O4,270,1.18,4.54,4.33,17.6,0,2.879924861325504,1
Oc1ccccc1[C@@H](C#Cc1c(N)[nH]nc1CBr)O	No_4_8,30/000000028,"InChI=1S/C13H12BrN3O2/c14-7-10-8(13(15)17-16-10)5-6-12(19)9-3-1-2-4-11(9)18/h1-4,12,18-19H,7H2,(H3,15,16,17)/t12-/m1/s1",C13H12N3O2Br,322,2.12,4.54,5.52,2.22,-150,3.662345918652875,1
Oc1cncc(c1O)c1ccc(c(c1)CO)C=C	No_4_197,1/000000250,"InChI=1S/C14H13NO3/c1-2-9-3-4-10(5-11(9)8-16)12-6-15-7-13(17)14(12)18/h2-7,16-17H,1,8H2,(H,15,18)",C14H13NO3,243,1.6,4.54,4.93,12.2,-160,2.8242065029149916,1
Oc1cccc(c1[C@@H](C#CCN1CCCC1)N=O)OP(=O)(O)O	No_3_302,30/000000012,"InChI=1S/C14H17N2O6P/c17-12-6-3-7-13(22-23(19,20)21)14(12)11(15-18)5-4-10-16-8-1-2-9-16/h3,6-7,11,17H,1-2,8-10H2,(H2,19,20,21)/t11-/m1/s1",C14H17N2O6P,340,0.02,4.53,6.6,24.6,-150,3.7276387573547316,1
Oc1c(O)c(c2nonc2)cc(c1)C(=O)C	No_1_122,3/000000085,"InChI=1S/C10H8N2O4/c1-5(13)6-2-7(8-4-11-16-12-8)10(15)9(14)3-6/h2-4,14-15H,1H3",C10H8N2O4,220,2.0,4.53,1.12,17.0,-140,3.106848125697981,1
Oc1c(C#CC(=O)NCCCOCC)c(ncc1O)C(=O)O	No_2_466,1/000000536,"InChI=1S/C14H16N2O6/c1-2-22-7-3-6-15-11(18)5-4-9-12(14(20)21)16-8-10(17)13(9)19/h8,17H,2-3,6-7H2,1H3,(H,15,18)(H,16,19)(H,20,21)",C14H15N2O6,307,-0.12,4.53,4.87,21.8,-80,3.091308741802141,1
Sc1c(ccc(c1)c1cccc(c1)C(=O)C(=O)O)/C=C/CN	No_3_105,3/000000061,"InChI=1S/C17H15NO3S/c18-8-2-5-11-6-7-13(10-15(11)22)12-3-1-4-14(9-12)16(19)17(20)21/h1-7,9-10,22H,8,18H2,(H,20,21)/b5-2+",C17H14NO3S,312,2.85,4.52,2.21,5.09,-180,2.6886804820291275,1
Oc1cncc(c1O)C#CC(=O)Nc1cccnc1[C@H]1NC1	No_1_204,1/000000128,"InChI=1S/C15H12N4O3/c20-12-8-16-6-9(15(12)22)3-4-13(21)19-10-2-1-5-17-14(10)11-7-18-11/h1-2,5-6,8,11,18,20H,7H2,(H,16,22)(H,19,21)/t11-/m0/s1",C15H12N4O3,296,-0.17,4.52,6.92,20.0,-190,3.7497991328207547,1
Oc1c(C#CC(=O)Nc2ccccc2F)cnc(c1O)C	No_2_517,1/000000544,"InChI=1S/C15H11FN2O3/c1-9-14(20)15(21)10(8-17-9)6-7-13(19)18-12-5-3-2-4-11(12)16/h2-5,8,20H,1H3,(H,17,21)(H,18,19)",C15H11N2O3F,286,2.07,4.52,5.02,19.7,-20,2.7472478644640006,1
