SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
S[C@@H](c1ncncc1)/C=C/NC/C=C\Cc1nnsc1;29/000000159;InChI=1S/C13H15N5S2/c19-13(12-4-7-15-10-16-12)5-8-14-6-2-1-3-11-9-20-18-17-11/h1-2,4-5,7-10,13-14,19H,3,6H2/b2-1-,8-5+/t13-/m1/s1;C13H15N5S2;305;2.54;4.11;1.83;3.58;-170
O=Nc1c2c([nH]/c(=[NH]/CC)/[nH]2)ccc1CC;29/000000122;InChI=1S/C11H15N4O/c1-3-7-5-6-8-10(9(7)15-16)14-11(13-8)12-4-2/h5-6,12-14H,3-4H2,1-2H3/b12-11-;C11H14N4O;218;1.58;4.05;5.05;14.90;-120
Oc1cc(/C=C/CCNN)cc(c1I)O;29/000000044;InChI=1S/C10H13IN2O2/c11-10-8(14)5-7(6-9(10)15)3-1-2-4-13-12/h1,3,5-6,13-15H,2,4,12H2/b3-1+;C10H13N2O2I;320;1.94;4.15;2.49;3.58;-60
O=Nc1ccc2c(c1N(=O)=O)[nH]/c(=[NH]\CCl)/[nH]2;29/000000072;InChI=1S/C8H7ClN5O3/c9-3-10-8-11-4-1-2-5(13-15)7(14(16)17)6(4)12-8/h1-2,10-12H,3H2/b10-8-;C8H6N5O3Cl;255;0.98;4.24;4.81;20.00;-40
OCc1c(O)cc(cc1O)N=O;29/000000055;InChI=1S/C7H7NO4/c9-3-5-6(10)1-4(8-12)2-7(5)11/h1-2,9-11H,3H2;C7H7NO4;169;-0.06;4.07;4.87;1.11;0
OC(=O)c1cc(O)c(c(c1)O)CO;29/000000059;InChI=1S/C8H8O5/c9-3-5-6(10)1-4(8(12)13)2-7(5)11/h1-2,9-11H,3H2,(H,12,13);C8H8O5;184;0.01;4.05;2.75;1.11;0
Oc1cc(/C=C/CN)cc(c1I)O;29/000000037;InChI=1S/C9H10INO2/c10-9-7(12)4-6(2-1-3-11)5-8(9)13/h1-2,4-5,12-13H,3,11H2/b2-1+;C9H10NO2I;291;2.00;4.12;1.91;3.58;-20
Oc1c(I)c(O)cc(c1)N(=O)=O;29/000000057;InChI=1S/C6H4INO4/c7-6-4(9)1-3(8(11)12)2-5(6)10/h1-2,9-10H;C6H4NO4I;281;2.17;4.11;3.30;1.23;0
O=Nc1ccc2c(c1N(=O)=O)[nH]/c(=[NH]\CCF)/[nH]2;29/000000078;InChI=1S/C9H9FN5O3/c10-3-4-11-9-12-5-1-2-6(14-16)8(15(17)18)7(5)13-9/h1-2,11-13H,3-4H2/b11-9-;C9H8N5O3F;253;1.20;4.30;4.30;21.60;-60
c1cc(N(=O)=O)c2c(c1)[nH]/c(=[NH]/C(F)F)/[nH]2;29/000000020;InChI=1S/C8H7F2N4O2/c9-7(10)13-8-11-4-2-1-3-5(14(15)16)6(4)12-8/h1-3,7,11-13H/b13-8-;C8H6N4O2F2;228;1.61;4.08;3.03;19.50;-190
