SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1cc(I)c(cc1[S@@](=O)c1ccc(cc1)CN)O	No_1_225,12/000000137,"InChI=1S/C13H12INO3S/c14-10-5-12(17)13(6-11(10)16)19(18)9-3-1-8(7-15)2-4-9/h1-6,16-17H,7,15H2/t19-/m0/s1",C13H12NO3SI,389,1.57,4.57,3.23,15.3,0,3.3689901801243503,1
SSc1ccc(c(c1O)I)P(=O)(O)O	No_2_510,24/000000005,"InChI=1S/C6H6IO4PS2/c7-5-3(12(9,10)11)1-2-4(14-13)6(5)8/h1-2,8,13H,(H2,9,10,11)",C6H6O4PS2I,364,1.5,4.56,4.1,3.46,0,3.9073190472306,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)[nH]c(=O)c(=O)n2C)O	No_1_119,12/000000085,"InChI=1S/C15H11IN2O5S/c1-18-10-3-2-7(4-9(10)17-14(21)15(18)22)24(23)13-6-11(19)8(16)5-12(13)20/h2-6,19-20H,1H3,(H,17,21)/t24-/m0/s1",C15H11N2O5SI,458,0.57,4.56,4.97,22.7,-100,3.6443195435484306,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc(cc1)Br)O	No_1_470,12/000000257,"InChI=1S/C12H8BrIO3S/c13-7-1-3-8(4-2-7)18(17)12-6-10(15)9(14)5-11(12)16/h1-6,15-16H/t18-/m0/s1",C12H8O3SBrI,439,3.24,4.55,4.47,15.0,0,3.3629549176334077,1
OC(=O)c1ccc(c(c1c1ccc(cc1)C)S)CO	No_2_427,10/000000006,"InChI=1S/C15H14O3S/c1-9-2-4-10(5-3-9)13-12(15(17)18)7-6-11(8-16)14(13)19/h2-7,16,19H,8H2,1H3,(H,17,18)",C15H14O3S,274,3.37,4.53,5.26,14.1,-180,2.3034072275481865,1
OC(=O)c1cc(cc(c1Cl)CCc1cc(O)c(c(c1)F)O)CO	No_5_13,11/000000030,"InChI=1S/C16H14ClFO5/c17-14-10(3-9(7-19)4-11(14)16(22)23)2-1-8-5-12(18)15(21)13(20)6-8/h3-6,19-21H,1-2,7H2,(H,22,23)",C16H14O5FCl,340,2.72,4.53,5.24,3.7,0,2.6339157034949263,1
OC/C=C\Cc1ccc(c(c1I)O)SS	No_1_748,24/000000087,"InChI=1S/C10H11IO2S2/c11-9-7(3-1-2-6-12)4-5-8(15-14)10(9)13/h1-2,4-5,12-14H,3,6H2/b2-1-",C10H11O2S2I,354,3.25,4.53,4.33,2.22,0,3.7401166084849677,1
Oc1cc(/C=C/C(=O)OC)c(c(c1)n1nc(c(c1)Br)CN)CO	No_3_308,12/000000027,"InChI=1S/C15H16BrN3O4/c1-23-15(22)3-2-9-4-10(21)5-14(11(9)8-20)19-7-12(16)13(6-17)18-19/h2-5,7,20-21H,6,8,17H2,1H3/b3-2+",C15H16N3O4Br,382,0.91,4.52,3.13,23.5,-200,3.1389046081386685,1
Oc1cc(c2nnco2)cc(c1)CCCCN1C(=N)CCC1	No_5_277,27/000000012,"InChI=1S/C16H20N4O2/c17-15-5-3-7-20(15)6-2-1-4-12-8-13(10-14(21)9-12)16-19-18-11-22-16/h8-11,17,21H,1-7H2/b17-15-",C16H20N4O2,300,3.97,4.52,2.68,21.1,-120,2.8783192706482943,1
Oc1cc(cc(c1CCl)F)c1[nH]c(nc1CO)CO	No_5_6,10/000000056,"InChI=1S/C12H12ClFN2O3/c13-3-7-8(14)1-6(2-10(7)19)12-9(4-17)15-11(5-18)16-12/h1-2,17-19H,3-5H2,(H,15,16)",C12H12N2O3FCl,286,0.85,4.52,6.73,2.35,-120,3.1632027896783637,1
