SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical
OCc1ccc(c(c1S)c1ccc(cc1)CCNCC(=O)O)C(=O)O	No_4_146,10/000000029,"InChI=1S/C18H19NO5S/c20-10-13-5-6-14(18(23)24)16(17(13)25)12-3-1-11(2-4-12)7-8-19-9-15(21)22/h1-6,19-20,25H,7-10H2,(H,21,22)(H,23,24)",C18H18NO5S,360,1.79,4.75,5.69,20.7,-160
Oc1c(I)cc(c(c1)[S@@](=O)c1ccc(c(c1)n1nnnc1)O)O	No_1_580,12/000000315,"InChI=1S/C13H9IN4O4S/c14-8-4-12(21)13(5-11(8)20)23(22)7-1-2-10(19)9(3-7)18-6-15-16-17-18/h1-6,19-21H/t23-/m0/s1",C13H9N4O4SI,444,0.6,4.75,3.83,24.0,-120
Oc1cc([S@](=O)c2cc(O)c(cc2O)I)cc2c1NCCCN2	No_1_302,12/000000184,"InChI=1S/C15H15IN2O4S/c16-9-6-12(20)14(7-11(9)19)23(22)8-4-10-15(13(21)5-8)18-3-1-2-17-10/h4-7,17-21H,1-3H2/t23-/m0/s1",C15H15N2O4SI,446,1.48,4.74,4.9,19.5,-120
OC(=O)c1ccc(c(c1c1ccc(cc1)CCOC(=O)CC)S)CO	No_4_279,10/000000034,"InChI=1S/C19H20O5S/c1-2-16(21)24-10-9-12-3-5-13(6-4-12)17-15(19(22)23)8-7-14(11-20)18(17)25/h3-8,20,25H,2,9-11H2,1H3,(H,22,23)",C19H20O5S,360,3.48,4.72,6.2,19.9,-180
ON[C@@H](C1=CCCCC1)C#CCOc1cc(Cl)ccc1CN	No_3_204,8/000000053,"InChI=1S/C17H21ClN2O2/c18-15-9-8-14(12-19)17(11-15)22-10-4-7-16(20-21)13-5-2-1-3-6-13/h5,8-9,11,16,20-21H,1-3,6,10,12,19H2/t16-/m1/s1",C17H21N2O2Cl,320,2.38,4.72,4.26,20.1,-150
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)SCC(=O)N2C)O	No_1_239,12/000000146,"InChI=1S/C15H12INO4S2/c1-17-10-3-2-8(4-13(10)22-7-15(17)20)23(21)14-6-11(18)9(16)5-12(14)19/h2-6,18-19H,7H2,1H3/t23-/m0/s1",C15H12NO4S2I,461,1.78,4.71,5.14,21.6,-100
Sc1ccc(c(c1c1sc(=N)[nH]c1)C(=O)N)CO	No_3_38,10/000000069,"InChI=1S/C11H11N3O2S2/c12-10(16)8-5(4-15)1-2-6(17)9(8)7-3-14-11(13)18-7/h1-3,15,17H,4H2,(H2,12,16)(H2,13,14)",C11H11N3O2S2,281,1.23,4.7,8.39,3.58,-120
Sc1c(cc(cc1)N(=O)=O)/C=C/c1nccc2c1nc[nH]2	No_3_119,10/000000076,"InChI=1S/C14H10N4O2S/c19-18(20)10-2-4-13(21)9(7-10)1-3-11-14-12(5-6-15-11)16-8-17-14/h1-8,21H,(H,16,17)/b3-1+",C14H10N4O2S,298,2.64,4.7,6.67,20.2,-40
O[C@@H](C/C=C\Cc1cc(Cl)c(cc1C)NC(=O)CF)N	No_3_281,11/000000023,"InChI=1S/C14H18ClFN2O2/c1-9-6-12(18-14(20)8-16)11(15)7-10(9)4-2-3-5-13(17)19/h2-3,6-7,13,19H,4-5,8,17H2,1H3,(H,18,20)/b3-2-/t13-/m0/s1",C14H18N2O2FCl,300,1.72,4.7,6.3,3.58,-170
Oc1c(I)cc(c(c1)[S@@](=O)c1ccc(c(c1)c1nsnc1)O)O	No_1_277,12/000000166,"InChI=1S/C14H9IN2O4S2/c15-9-4-13(20)14(5-12(9)19)23(21)7-1-2-11(18)8(3-7)10-6-16-22-17-10/h1-6,18-20H/t23-/m0/s1",C14H9N2O4S2I,460,2.41,4.7,4.54,24.6,-120
OCC(/[NH]=c\1/[nH]c2c([nH]1)c(N(=O)=O)ccc2)(F)F	No_3_306,29/000000053,"InChI=1S/C9H9F2N4O3/c10-9(11,4-16)14-8-12-5-2-1-3-6(15(17)18)7(5)13-8/h1-3,12-14,16H,4H2/b14-8-",C9H8N4O3F2,258,0.89,4.69,3.02,21.3,-190
Oc1cc(I)c(cc1[S@@](=O)c1cccc(c1)/C=C/C)O	No_1_25,12/000000049,"InChI=1S/C15H13IO3S/c1-2-4-10-5-3-6-11(7-10)20(19)15-9-13(17)12(16)8-14(15)18/h2-9,17-18H,1H3/b4-2+/t20-/m0/s1",C15H13O3SI,400,3.27,4.69,4.29,16.1,-20
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)CCN=C2CCl)O	No_1_182,12/000000120,"InChI=1S/C16H13ClINO3S/c17-8-13-11-2-1-10(5-9(11)3-4-19-13)23(22)16-7-14(20)12(18)6-15(16)21/h1-2,5-7,20-21H,3-4,8H2/t23-/m0/s1",C16H13NO3SClI,461,2.58,4.69,4.23,20.8,-80
Oc1cc(c2nnco2)cc(c1)CCCCc1ncnc2c1cn[nH]2	No_5_287,27/000000013,"InChI=1S/C17H16N6O2/c24-13-6-11(5-12(7-13)17-23-21-10-25-17)3-1-2-4-15-14-8-20-22-16(14)19-9-18-15/h5-10,24H,1-4H2,(H,18,19,20,22)",C17H16N6O2,336,3.78,4.68,3.57,24.2,-140
Oc1c(I)cc(c(c1)[S@@](=O)c1ccc2c(c1)CNC2)O	No_1_69,12/000000067,"InChI=1S/C14H12INO3S/c15-11-4-13(18)14(5-12(11)17)20(19)10-2-1-8-6-16-7-9(8)3-10/h1-5,16-18H,6-7H2/t20-/m0/s1",C14H12NO3SI,401,1.64,4.68,2.88,16.3,-40
OC(=O)/C=C/c1ccc2c(c1)cc(cc2)S	No_2_506,19/000000007,"InChI=1S/C13H10O2S/c14-13(15)6-2-9-1-3-10-4-5-12(16)8-11(10)7-9/h1-8,16H,(H,14,15)/b6-2+",C13H10O2S,230,3.55,4.68,3.91,3.58,-80
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)CNC2)OC	No_1_241,12/000000148,"InChI=1S/C15H14INO3S/c1-20-14-6-15(13(18)5-12(14)16)21(19)11-3-2-9-7-17-8-10(9)4-11/h2-6,17-18H,7-8H2,1H3/t21-/m0/s1",C15H14NO3SI,415,1.97,4.67,4.72,16.9,-60
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)[C@@H](/C=C\CO)CN2)O	No_1_450,12/000000252,"InChI=1S/C17H16INO4S/c18-13-7-16(22)17(8-15(13)21)24(23)11-3-4-14-12(6-11)10(9-19-14)2-1-5-20/h1-4,6-8,10,19-22H,5,9H2/b2-1-/t10-,24-/m0/s1",C17H16NO4SI,457,1.61,4.67,4.06,20.3,-190
OCc1ccc2c(c1N=O)C(=O)/C(=C\C1NCCN1)/O2	No_3_437,1/000000012,"InChI=1S/C13H13N3O4/c17-6-7-1-2-8-11(12(7)16-19)13(18)9(20-8)5-10-14-3-4-15-10/h1-2,5,10,14-15,17H,3-4,6H2/b9-5+",C13H13N3O4,275,-0.09,4.67,4.82,3.58,-190
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)[C@@H](C=C)CN2)O	No_1_603,12/000000326,"InChI=1S/C16H14INO3S/c1-2-9-8-18-13-4-3-10(5-11(9)13)22(21)16-7-14(19)12(17)6-15(16)20/h2-7,9,18-20H,1,8H2/t9-,22-/m0/s1",C16H14NO3SI,427,2.33,4.67,3.41,18.5,-190
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)[C@@H](C=C)NC2)O	No_1_337,12/000000205,"InChI=1S/C16H14INO3S/c1-2-13-11-5-10(4-3-9(11)8-18-13)22(21)16-7-14(19)12(17)6-15(16)20/h2-7,13,18-20H,1,8H2/t13-,22+/m1/s1",C16H14NO3SI,427,2.12,4.66,3.29,18.5,-190
Oc1c(F)cc(cc1N(=O)=O)[C@@H](Cc1cccc(c1Cl)NC(=O)N)O	No_4_319,11/000000014,"InChI=1S/C15H13ClFN3O5/c16-13-7(2-1-3-10(13)19-15(18)23)6-12(21)8-4-9(17)14(22)11(5-8)20(24)25/h1-5,12,21-22H,6H2,(H3,18,19,23)/t12-/m1/s1",C15H13N3O5FCl,369,1.83,4.64,3.63,4.94,-170
Oc1cccc(c1)NC(=O)c1c(O)c(O)cc(c1)S(=O)=O	No_4_26,21/000000005,"InChI=1S/C13H11NO6S/c15-8-3-1-2-7(4-8)14-13(18)10-5-9(21(19)20)6-11(16)12(10)17/h1-6,15-17,21H,(H,14,18)",C13H11NO6S,309,0.77,4.64,3.31,3.58,0
OC/C(=C(\C=C\N(=O)=O)/C(=O)O)/c1ccc(cc1)C(=O)O	No_1_19,16/000000011,"InChI=1S/C13H11NO7/c15-7-11(10(13(18)19)5-6-14(20)21)8-1-3-9(4-2-8)12(16)17/h1-6,15H,7H2,(H,16,17)(H,18,19)/b6-5+,11-10-",C13H11NO7,293,0.71,4.64,6.93,3.58,-30
OC(=O)c1cc(c(cc1S)S)CNC=C	No_2_706,10/000000049,"InChI=1S/C10H11NO2S2/c1-2-11-5-6-3-7(10(12)13)9(15)4-8(6)14/h2-4,11,14-15H,1,5H2,(H,12,13)",C10H11NO2S2,241,2.64,4.63,6.43,15.6,0
Oc1c(I)cc(c(c1)[S@@](=O)c1ccc(c(c1)c1n[nH]cn1)O)O	No_1_316,12/000000196,"InChI=1S/C14H10IN3O4S/c15-9-4-12(21)13(5-11(9)20)23(22)7-1-2-10(19)8(3-7)14-16-6-17-18-14/h1-6,19-21H,(H,16,17,18)/t23-/m0/s1",C14H10N3O4SI,443,2.21,4.63,4.04,22.6,-120
C#C[C@H](/C=C/CCO)c1ccc(c(c1)Cl)NC(=O)CO	No_3_389,11/000000026,"InChI=1S/C15H16ClNO3/c1-2-11(5-3-4-8-18)12-6-7-14(13(16)9-12)17-15(20)10-19/h1,3,5-7,9,11,18-19H,4,8,10H2,(H,17,20)/b5-3+/t11-/m1/s1",C15H16NO3Cl,293,1.18,4.61,7.34,19.3,-150
