SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC(=O)C/C=C(/c1cccc(c1Cl)Cl)\c1n[nH]nc1	No_4_639,29/000000012,"InChI=1S/C12H9Cl2N3O2/c13-9-3-1-2-8(12(9)14)7(4-5-11(18)19)10-6-15-17-16-10/h1-4,6H,5H2,(H,18,19)(H,15,16,17)/b7-4-",C12H9N3O2Cl2,297,4.21,6.01,6.5,3.58,0,2.9545229638438215,1
OC(=O)[C@H](c1nonc1)C#Cc1cccc(c1O)F	No_4_517,20/000000106,"InChI=1S/C12H7FN2O4/c13-9-3-1-2-7(11(9)16)4-5-8(12(17)18)10-6-14-19-15-10/h1-3,6,8,16H,(H,17,18)/t8-/m0/s1",C12H7N2O4F,262,2.54,5.54,3.76,23.7,-150,3.8935270507283466,1
O=C(Nc1cc(cc(c1)CN)/C=C/CCOc1cc(N)cc(c1)Cl)N	No_4_352,4/000000281,"InChI=1S/C18H21ClN4O2/c19-14-8-15(21)10-17(9-14)25-4-2-1-3-12-5-13(11-20)7-16(6-12)23-18(22)24/h1,3,5-10H,2,4,11,20-21H2,(H3,22,23,24)/b3-1+",C18H21N4O2Cl,360,1.71,5.54,5.31,8.12,0,2.6418035438689493,1
OC(=O)[C@H](c1nonc1)C#Cc1nc2c([nH]1)cccc2	No_4_369,20/000000093,"InChI=1S/C13H8N4O3/c18-13(19)8(11-7-14-20-17-11)5-6-12-15-9-3-1-2-4-10(9)16-12/h1-4,7-8H,(H,15,16)(H,18,19)/t8-/m0/s1",C13H8N4O3,268,2.09,5.49,3.59,24.3,-190,3.8536697946927596,1
OC(=O)c1ccn(c1C#CCO)C[C@H](c1nonc1CCCCC)Cl	No_4_414,6/000000092,"InChI=1S/C17H20ClN3O4/c1-2-3-4-6-14-16(20-25-19-14)13(18)11-21-9-8-12(17(23)24)15(21)7-5-10-22/h8-9,13,22H,2-4,6,10-11H2,1H3,(H,23,24)/t13-/m1/s1",C17H20N3O4Cl,365,3.14,5.47,7.33,8.4,-170,3.9122949664366606,1
OC(=O)[C@@H](CC)c1cc(cc(c1)NC(=O)N)/C=C/CCl	No_4_498,4/000000304,"InChI=1S/C14H17ClN2O3/c1-2-12(13(18)19)10-6-9(4-3-5-15)7-11(8-10)17-14(16)20/h3-4,6-8,12H,2,5H2,1H3,(H,18,19)(H3,16,17,20)/b4-3+/t12-/m0/s1",C14H17N2O3Cl,296,1.46,5.47,7.93,6.2,-170,3.111313738105668,1
OC(=O)Cc1cc(ccc1CCNCc1cn[nH]c1O)NC(=O)N	No_4_103,4/000000257,"InChI=1S/C15H19N5O4/c16-15(24)19-12-2-1-9(10(5-12)6-13(21)22)3-4-17-7-11-8-18-20-14(11)23/h1-2,5,8,17H,3-4,6-7H2,(H,21,22)(H3,16,19,24)(H2,18,20,23)",C15H19N5O4,333,-0.02,5.44,5.18,5.09,0,2.720341874024461,1
OC(=O)c1ccn(c1C#CCO)C[C@H](c1nonc1CCCC)Cl	No_4_89,6/000000076,"InChI=1S/C16H18ClN3O4/c1-2-3-5-13-15(19-24-18-13)12(17)10-20-8-7-11(16(22)23)14(20)6-4-9-21/h7-8,12,21H,2-3,5,9-10H2,1H3,(H,22,23)/t12-/m1/s1",C16H18N3O4Cl,351,2.78,5.39,8.67,6.72,-170,3.95964310797482,1
OC(=O)Cc1cc(NC(=O)N)cc(c1)[C@@H](NC)F	No_3_469,4/000000145,"InChI=1S/C11H14FN3O3/c1-14-10(12)7-2-6(4-9(16)17)3-8(5-7)15-11(13)18/h2-3,5,10,14H,4H2,1H3,(H,16,17)(H3,13,15,18)/t10-/m1/s1",C11H14N3O3F,255,-0.29,5.38,5.18,5.09,-170,3.1415002276805035,1
OC(=O)[C@@H](CC)c1cc(NC(=O)N)cc(c1)CF	No_4_101,4/000000255,"InChI=1S/C12H15FN2O3/c1-2-10(11(16)17)8-3-7(6-13)4-9(5-8)15-12(14)18/h3-5,10H,2,6H2,1H3,(H,16,17)(H3,14,15,18)/t10-/m0/s1",C12H15N2O3F,254,0.72,5.37,6.43,4.69,-170,2.9303867661420426,1
O=C(Nc1cc(cc(c1)CN)/C=C/CCOc1cccc(c1F)Cl)N	No_4_508,4/000000308,"InChI=1S/C18H19ClFN3O2/c19-15-5-3-6-16(17(15)20)25-7-2-1-4-12-8-13(11-21)10-14(9-12)23-18(22)24/h1,3-6,8-10H,2,7,11,21H2,(H3,22,23,24)/b4-1+",C18H19N3O2FCl,363,2.69,5.32,4.41,8.12,0,2.5506978295832354,1
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/CC(=O)CC	No_4_477,4/000000302,"InChI=1S/C15H18N2O4/c1-2-13(18)5-3-4-10-6-7-12(17-15(16)21)8-11(10)9-14(19)20/h3-4,6-8H,2,5,9H2,1H3,(H,19,20)(H3,16,17,21)/b4-3+",C15H18N2O4,290,0.37,5.28,4.78,5.09,-50,2.623549693306664,1
OC(=O)[C@@H](CC)c1cc(NC(=O)N)cc(c1)C=C	No_4_33,4/000000240,"InChI=1S/C13H16N2O3/c1-3-8-5-9(11(4-2)12(16)17)7-10(6-8)15-13(14)18/h3,5-7,11H,1,4H2,2H3,(H,16,17)(H3,14,15,18)/t11-/m0/s1",C13H16N2O3,248,0.91,5.2,6.99,4.69,-170,2.957686766142043,1
OC(=O)Cc1cc(NC(=O)N)cc(c1)COC(=O)CC=C	No_3_432,4/000000128,"InChI=1S/C14H16N2O5/c1-2-3-13(19)21-8-10-4-9(7-12(17)18)5-11(6-10)16-14(15)20/h2,4-6H,1,3,7-8H2,(H,17,18)(H3,15,16,20)",C14H16N2O5,292,0.19,5.16,4.68,20.0,-30,2.444195847152816,1
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/CCl	No_4_335,4/000000277,"InChI=1S/C12H13ClN2O3/c13-5-1-2-8-3-4-10(15-12(14)18)6-9(8)7-11(16)17/h1-4,6H,5,7H2,(H,16,17)(H3,14,15,18)/b2-1+",C12H13N2O3Cl,268,0.89,5.14,2.51,5.09,0,2.536600355348275,1
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/[C@@H]1OC(=O)C1	No_4_482,4/000000303,"InChI=1S/C14H14N2O5/c15-14(20)16-10-3-1-8(9(5-10)6-12(17)18)2-4-11-7-13(19)21-11/h1-5,11H,6-7H2,(H,17,18)(H3,15,16,20)/b4-2+/t11-/m0/s1",C14H14N2O5,290,0.08,5.12,2.56,5.09,-150,3.125737784468937,1
OC(=O)[C@@H](C)c1cc(NC(=O)N)cc(c1)CF	No_4_137,4/000000263,"InChI=1S/C11H13FN2O3/c1-6(10(15)16)8-2-7(5-12)3-9(4-8)14-11(13)17/h2-4,6H,5H2,1H3,(H,15,16)(H3,13,14,17)/t6-/m0/s1",C11H13N2O3F,240,0.37,5.11,5.33,4.69,-170,2.893148114298377,1
OC(=O)[C@H](c1cc(NC(=O)N)ccc1)C=C	No_3_32,4/000000100,"InChI=1S/C11H12N2O3/c1-2-9(10(14)15)7-4-3-5-8(6-7)13-11(12)16/h2-6,9H,1H2,(H,14,15)(H3,12,13,16)/t9-/m0/s1",C11H12N2O3,220,0.4,5.06,5.76,4.81,-150,2.901378558790052,1
OC(=O)Cc1cc(NC(=O)N)cc(c1)CC#CCCC	No_4_276,4/000000272,"InChI=1S/C15H18N2O3/c1-2-3-4-5-6-11-7-12(10-14(18)19)9-13(8-11)17-15(16)20/h7-9H,2-3,6,10H2,1H3,(H,18,19)(H3,16,17,20)",C15H18N2O3,274,1.14,5.05,4.45,3.58,-20,2.617161949237591,1
OC(=O)[C@H](c1cc(NC(=O)N)cc(c1)CF)Cl	No_4_326,4/000000274,"InChI=1S/C10H10ClFN2O3/c11-8(9(15)16)6-1-5(4-12)2-7(3-6)14-10(13)17/h1-3,8H,4H2,(H,15,16)(H3,13,14,17)/t8-/m0/s1",C10H10N2O3FCl,260,0.35,5.05,5.49,3.58,-150,3.1396065758368383,1
OC(=O)[C@@H](CCl)c1cc(NC(=O)N)ccc1	No_4_545,4/000000319,"InChI=1S/C10H11ClN2O3/c11-5-8(9(14)15)6-2-1-3-7(4-6)13-10(12)16/h1-4,8H,5H2,(H,14,15)(H3,12,13,16)/t8-/m0/s1",C10H11N2O3Cl,242,0.38,4.99,6.06,4.81,-150,2.6929842832981024,1
OC(=O)Cc1cc(NC(=O)N)cc(c1)[C@@H](C)F	No_3_447,4/000000143,"InChI=1S/C11H13FN2O3/c1-6(12)8-2-7(4-10(15)16)3-9(5-8)14-11(13)17/h2-3,5-6H,4H2,1H3,(H,15,16)(H3,13,14,17)/t6-/m1/s1",C11H13N2O3F,240,0.44,4.98,5.11,3.58,-170,2.867649652759914,1
NC(=O)Nc1ccc(cc1Cl)C(=O)/C(=C/C)/c1oc(cn1)c1cnccc1	No_3_426,2/000000007,"InChI=1S/C19H15ClN4O3/c1-2-13(18-23-10-16(27-18)12-4-3-7-22-9-12)17(25)11-5-6-15(14(20)8-11)24-19(21)26/h2-10H,1H3,(H3,21,24,26)/b13-2-",C19H15N4O3Cl,382,1.86,4.95,7.45,5.08,-140,2.7676917513117054,1
Oc1cccc(c1)[C@@](CO)(C#CCN)O	No_5_131,6/000000055,"InChI=1S/C11H13NO3/c12-6-2-5-11(15,8-13)9-3-1-4-10(14)7-9/h1,3-4,7,13-15H,6,8,12H2/t11-/m0/s1",C11H13NO3,207,-0.4,4.94,4.54,3.58,-150,3.63862530792215,1
OC(=O)[C@H](c1c(OCN)ccc(c1)NC(=O)N)C=C	No_4_500,4/000000306,"InChI=1S/C12H15N3O4/c1-2-8(11(16)17)9-5-7(15-12(14)18)3-4-10(9)19-6-13/h2-5,8H,1,6,13H2,(H,16,17)(H3,14,15,18)/t8-/m0/s1",C12H15N3O4,265,-0.33,4.94,4.97,6.2,-150,3.283980068742519,1
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/CO	No_4_435,4/000000296,"InChI=1S/C12H14N2O4/c13-12(18)14-10-4-3-8(2-1-5-15)9(6-10)7-11(16)17/h1-4,6,15H,5,7H2,(H,16,17)(H3,13,14,18)/b2-1+",C12H14N2O4,250,-0.38,4.93,2.11,5.09,0,2.4521077336842225,1
OC(=O)Cc1c(C=C)ccc(c1)NC(=O)N	No_4_30,4/000000238,"InChI=1S/C11H12N2O3/c1-2-7-3-4-9(13-11(12)16)5-8(7)6-10(14)15/h2-5H,1,6H2,(H,14,15)(H3,12,13,16)",C11H12N2O3,220,0.34,4.91,2.99,3.58,0,2.3168232517347374,1
OC(=O)[C@@H](CO)Oc1ccccc1C/C=C/CC	No_5_67,20/000000076,"InChI=1S/C14H18O4/c1-2-3-4-7-11-8-5-6-9-12(11)18-13(10-15)14(16)17/h3-6,8-9,13,15H,2,7,10H2,1H3,(H,16,17)/b4-3+/t13-/m1/s1",C14H18O4,250,1.94,4.9,7.74,3.58,-170,2.9291271122958893,1
