SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
NC(=[NH2])Nc1ccc(cc1C#Cc1cccc(c1)CC)COC	No_3_128;19/000000008;InChI=1S/C19H22N3O/c1-3-14-5-4-6-15(11-14)7-9-17-12-16(13-23-2)8-10-18(17)22-19(20)21/h4-6,8,10-12,22H,3,13,20-21H2,1-2H3;C19H21N3O;307;3.64;4.16;5.74;18.30;-80
OC(=O)CC#Cc1cccc(c1)[C@@H](c1n[nH]c(=O)[nH]1)Br	No_4_609;19/000000024;InChI=1S/C13H10BrN3O3/c14-11(12-15-13(20)17-16-12)9-5-1-3-8(7-9)4-2-6-10(18)19/h1,3,5,7,11H,6H2,(H,18,19)(H2,15,16,17,20)/t11-/m0/s1;C13H10N3O3Br;336;2.22;4.60;5.85;22.00;-150
Oc1cc(C#Cc2ccccc2)cc(c1)C(=O)NCC(=O)C	No_3_121;19/000000006;InChI=1S/C18H15NO3/c1-13(20)12-19-18(22)16-9-15(10-17(21)11-16)8-7-14-5-3-2-4-6-14/h2-6,9-11,21H,12H2,1H3,(H,19,22);C18H15NO3;293;3.27;4.71;1.55;3.58;-60
c1ccc(cc1)C#Cc1cc(C(=O)N)ccc1CNCN	No_4_192;19/000000016;InChI=1S/C17H17N3O/c18-12-20-11-16-9-8-15(17(19)21)10-14(16)7-6-13-4-2-1-3-5-13/h1-5,8-10,20H,11-12,18H2,(H2,19,21);C17H17N3O;279;2.38;4.06;5.46;17.40;0
Oc1cc(C#Cc2ccccc2)cc(c1)C(=O)NCC(=O)C	No_3_119;19/000000004;InChI=1S/C18H15NO3/c1-13(20)12-19-18(22)16-9-15(10-17(21)11-16)8-7-14-5-3-2-4-6-14/h2-6,9-11,21H,12H2,1H3,(H,19,22);C18H15NO3;293;3.27;4.85;1.72;3.58;-80
c1ccc(cc1)C#Cc1cc(C(=O)N)ccc1CNCN	No_4_191;19/000000015;InChI=1S/C17H17N3O/c18-12-20-11-16-9-8-15(17(19)21)10-14(16)7-6-13-4-2-1-3-5-13/h1-5,8-10,20H,11-12,18H2,(H2,19,21);C17H17N3O;279;2.38;4.04;5.60;17.40;0
OC(=O)CC#Cc1cccc(c1)[C@@H](CCO)Br	No_4_361;19/000000020;InChI=1S/C13H13BrO3/c14-12(7-8-15)11-5-1-3-10(9-11)4-2-6-13(16)17/h1,3,5,9,12,15H,6-8H2,(H,16,17)/t12-/m1/s1;C13H13O3Br;297;2.43;4.08;5.59;15.70;-150
OC(=O)CC#Cc1cccc(c1)[C@@H](c1n[nH]c(=O)[nH]1)Br	No_4_610;19/000000025;InChI=1S/C13H10BrN3O3/c14-11(12-15-13(20)17-16-12)9-5-1-3-8(7-9)4-2-6-10(18)19/h1,3,5,7,11H,6H2,(H,18,19)(H2,15,16,17,20)/t11-/m0/s1;C13H10N3O3Br;336;2.22;4.20;5.95;22.00;-150
OC(=O)CC#Cc1cccc(c1)[C@@H](c1n[nH]c(=O)[nH]1)Br	No_4_607;19/000000022;InChI=1S/C13H10BrN3O3/c14-11(12-15-13(20)17-16-12)9-5-1-3-8(7-9)4-2-6-10(18)19/h1,3,5,7,11H,6H2,(H,18,19)(H2,15,16,17,20)/t11-/m0/s1;C13H10N3O3Br;336;2.22;4.70;7.66;22.00;-150
OC[C@@H](CBr)C(=O)Nc1c(F)cc2c(c1)[nH]cc2	No_2_78;19/000000001;InChI=1S/C12H12BrFN2O2/c13-5-8(6-17)12(18)16-11-4-10-7(1-2-15-10)3-9(11)14/h1-4,8,15,17H,5-6H2,(H,16,18)/t8-/m1/s1;C12H12N2O2FBr;315;1.68;4.13;4.38;18.00;-190
