SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OCc1ccc(cc1F)C/C(=C/[C@H]1OC(=O)CC1)/c1ncn[nH]1,6/000000019,"InChI=1S/C16H16FN3O3/c17-14-6-10(1-2-11(14)8-21)5-12(16-18-9-19-20-16)7-13-3-4-15(22)23-13/h1-2,6-7,9,13,21H,3-5,8H2,(H,18,19,20)/b12-7-/t13-/m0/s1",C16H16N3O3F,317,1.58,4.56,8.06,5.09,-150,3.648661725012074,1
Oc1c(F)cccc1CC[C@H](n1nnc(c1)CN)C=C,23/000000015,"InChI=1S/C14H17FN4O/c1-2-12(19-9-11(8-16)17-18-19)7-6-10-4-3-5-13(15)14(10)20/h2-5,9,12,20H,1,6-8,16H2/t12-/m1/s1",C14H17N4OF,276,1.73,4.56,2.05,4.94,-190,3.526416119058049,1
OC/C=C(\c1cccc(c1Cl)Cl)/c1n[nH]nc1C[NH3+],29/000000034,"InChI=1S/C12H12Cl2N4O/c13-9-3-1-2-7(11(9)14)8(4-5-19)12-10(6-15)16-18-17-12/h1-4,19H,5-6,15H2,(H,16,17,18)/p+1/b8-4+",C12H13N4OCl2,299,3.01,4.54,3.82,3.58,0,3.621596693887361,1
O=C(Nc1cc(cc(c1)CN)/C=C/Cc1c[nH]c2c1N=CNC2)N,4/000000152,"InChI=1S/C17H20N6O/c18-7-12-4-11(5-14(6-12)23-17(19)24)2-1-3-13-8-21-15-9-20-10-22-16(13)15/h1-2,4-6,8,10,21H,3,7,9,18H2,(H,20,22)(H3,19,23,24)/b2-1+",C17H20N6O,324,-0.01,4.54,5.02,6.58,-40,3.526527787267611,1
OC/C=C(\c1oc(cc1)CCCCC)/c1n[nH]nc1,29/000000041,"InChI=1S/C14H19N3O2/c1-2-3-4-5-11-6-7-14(19-11)12(8-9-18)13-10-15-17-16-13/h6-8,10,18H,2-5,9H2,1H3,(H,15,16,17)/b12-8-",C14H19N3O2,261,2.99,4.52,5.54,21.6,-20,3.046887544923119,1
N[C@H](NCCCc1cc(oc(=O)c1)c1cnoc1/C=C\C)N,23/000000071,"InChI=1S/C15H20N4O3/c1-2-4-12-11(9-19-22-12)13-7-10(8-14(20)21-13)5-3-6-18-15(16)17/h2,4,7-9,15,18H,3,5-6,16-17H2,1H3/b4-2-",C15H18N4O3,302,1.14,4.5,9.67,4.94,-140,3.4243618187252185,1
OC(=O)Cc1cc(NC(=O)N)ccc1,4/000000016,"InChI=1S/C9H10N2O3/c10-9(14)11-7-3-1-2-6(4-7)5-8(12)13/h1-4H,5H2,(H,12,13)(H3,10,11,14)",C9H10N2O3,194,-0.17,4.5,2.74,2.22,0,1.7040826099836366,1
c1nc([nH]c1c1cc([nH]c1CN)/C=C/C)CCCCCOC(=O)C,4/000000202,"InChI=1S/C18H26N4O2/c1-3-7-14-10-15(16(11-19)21-14)17-12-20-18(22-17)8-5-4-6-9-24-13(2)23/h3,7,10,12,21H,4-6,8-9,11,19H2,1-2H3,(H,20,22)/b7-3+",C18H26N4O2,330,1.77,4.5,3.38,24.9,-200,3.211203618469657,1
OC(=O)[C@H](n1nnnc1)C#Cc1nnc[nH]1,20/000000117,"InChI=1S/C7H5N7O2/c15-7(16)5(14-4-10-12-13-14)1-2-6-8-3-9-11-6/h3-5H,(H,15,16)(H,8,9,11)/t5-/m1/s1",C7H5N7O2,219,-0.33,4.5,2.15,2.22,-150,4.554653218508493,0
OCc1c(c2cnc([nH]2)C(=O)/C=C\C)cc([nH]1)COC,4/000000336,"InChI=1S/C14H17N3O3/c1-3-4-13(19)14-15-6-11(17-14)10-5-9(8-20-2)16-12(10)7-18/h3-6,16,18H,7-8H2,1-2H3,(H,15,17)/b4-3-",C14H17N3O3,275,0.0,4.5,4.17,23.2,-200,3.4305221140727564,1
