SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
Sc1nnc([nH]1)/C=C/C1=C(C(=O)C1=O)/C=C/[C@H](C)Cl	No_1_540;1/000000001;InChI=1S/C12H10ClN3O2S/c1-6(13)2-3-7-8(11(18)10(7)17)4-5-9-14-12(19)16-15-9/h2-6H,1H3,(H2,14,15,16,19)/b3-2+,5-4+/t6-/m0/s1;C12H10N3O2SCl;295;2.33;4.02;3.36;3.58;-190
OC(=O)c1cc(O)cc(c1)CCC/C=C(/CN)\C#CCC	No_5_231;3/000000170;InChI=1S/C17H21NO3/c1-2-3-6-13(12-18)7-4-5-8-14-9-15(17(20)21)11-16(19)10-14/h7,9-11,19H,2,4-5,8,12,18H2,1H3,(H,20,21)/b13-7+;C17H21NO3;287;2.35;4.31;2.31;5.21;-50
OCc1nc(oc1CC/C=C\C1=NNC(=O)C1=C)C(=O)O	No_4_582;3/000000315;InChI=1S/C13H13N3O5/c1-7-8(15-16-11(7)18)4-2-3-5-10-9(6-17)14-12(21-10)13(19)20/h2,4,17H,1,3,5-6H2,(H,16,18)(H,19,20)/b4-2-;C13H13N3O5;291;-0.11;4.46;4.98;5.21;0
SC/C=C/Cc1cc(oc1N(=O)=O)C(=O)O	No_5_446;3/000000214;InChI=1S/C9H9NO5S/c11-9(12)7-5-6(3-1-2-4-16)8(15-7)10(13)14/h1-2,5,16H,3-4H2,(H,11,12)/b2-1+;C9H9NO5S;243;1.44;4.27;4.19;2.48;0
OC(=O)c1nc(c(o1)C/C=C/[C@@H](C1=CCC1)C=C)CN	No_3_247;3/000000062;InChI=1S/C15H18N2O3/c1-2-10(11-6-3-7-11)5-4-8-13-12(9-16)17-14(20-13)15(18)19/h2,4-6,10H,1,3,7-9,16H2,(H,18,19)/b5-4+/t10-/m0/s1;C15H18N2O3;274;0.53;4.23;6.03;3.85;-150
OC(=O)c1nc(c(o1)C/C=C/[C@@H](C1=CCOC1)C=C)CN	No_3_489;3/000000114;InChI=1S/C15H18N2O4/c1-2-10(11-6-7-20-9-11)4-3-5-13-12(8-16)17-14(21-13)15(18)19/h2-4,6,10H,1,5,7-9,16H2,(H,18,19)/b4-3+/t10-/m0/s1;C15H18N2O4;290;0.02;4.21;6.76;5.21;-150
OC(=O)c1nc(c(o1)C/C=C/[C@H](C=C)c1nncs1)CN	No_3_400;3/000000103;InChI=1S/C13H14N4O3S/c1-2-8(12-17-15-7-21-12)4-3-5-10-9(6-14)16-11(20-10)13(18)19/h2-4,7-8H,1,5-6,14H2,(H,18,19)/b4-3+/t8-/m0/s1;C13H14N4O3S;306;1.30;4.24;5.45;5.21;-150
OC(=O)c1nc(c(o1)C/C=C/[C@@H](C1=CCOC1)C=C)CN	No_3_499;3/000000124;InChI=1S/C15H18N2O4/c1-2-10(11-6-7-20-9-11)4-3-5-13-12(8-16)17-14(21-13)15(18)19/h2-4,6,10H,1,5,7-9,16H2,(H,18,19)/b4-3+/t10-/m0/s1;C15H18N2O4;290;0.02;4.32;6.20;5.21;-150
OC(=O)c1nc(c(o1)C/C=C/C[C@@H](c1snnc1)/C=C\N)CN	No_3_584;3/000000136;InChI=1S/C14H17N5O3S/c15-6-5-9(12-8-17-19-23-12)3-1-2-4-11-10(7-16)18-13(22-11)14(20)21/h1-2,5-6,8-9H,3-4,7,15-16H2,(H,20,21)/b2-1+,6-5-/t9-/m1/s1;C14H17N5O3S;335;0.34;4.27;6.81;5.39;-150
OC(=O)c1cc(O)cc(c1)CCC/C=C(/CBr)\C#CCC	No_5_524;3/000000222;InChI=1S/C17H19BrO3/c1-2-3-6-13(12-18)7-4-5-8-14-9-15(17(20)21)11-16(19)10-14/h7,9-11,19H,2,4-5,8,12H2,1H3,(H,20,21)/b13-7+;C17H19O3Br;351;4.03;4.27;2.76;5.21;-50
OC(=O)c1oc(c(c1)C/C=C/CNOC)N(=O)=O	No_5_174;3/000000155;InChI=1S/C10H12N2O6/c1-17-11-5-3-2-4-7-6-8(10(13)14)18-9(7)12(15)16/h2-3,6,11H,4-5H2,1H3,(H,13,14)/b3-2+;C10H12N2O6;256;1.12;4.12;2.72;4.16;-80
O[C@H](C)c1nc(oc1CC(=O)/C=C\C1=CCC1)C(=O)O	No_4_61;3/000000233;InChI=1S/C14H15NO5/c1-8(16)12-11(20-13(15-12)14(18)19)7-10(17)6-5-9-3-2-4-9/h3,5-6,8,16H,2,4,7H2,1H3,(H,18,19)/b6-5-/t8-/m1/s1;C14H15NO5;277;-0.35;4.20;6.96;3.72;-170
OC(=O)c1cc(O)cc(c1)CCC/C=C(/CN)\C#CCC	No_5_223;3/000000162;InChI=1S/C17H21NO3/c1-2-3-6-13(12-18)7-4-5-8-14-9-15(17(20)21)11-16(19)10-14/h7,9-11,19H,2,4-5,8,12,18H2,1H3,(H,20,21)/b13-7+;C17H21NO3;287;2.35;4.49;2.52;5.21;-50
OC(=O)c1oc(c(c1)C/C=C/Cc1c(O)noc1)N(=O)=O	No_5_240;3/000000173;InChI=1S/C12H10N2O7/c15-10-8(6-20-13-10)4-2-1-3-7-5-9(12(16)17)21-11(7)14(18)19/h1-2,5-6H,3-4H2,(H,13,15)(H,16,17)/b2-1+;C12H10N2O7;294;1.38;4.69;5.17;4.16;0
OC(=O)c1oc(c(n1)CO)CC#C/C(=C\CO)/CCC	No_4_566;3/000000304;InChI=1S/C14H17NO5/c1-2-4-10(7-8-16)5-3-6-12-11(9-17)15-13(20-12)14(18)19/h7,16-17H,2,4,6,8-9H2,1H3,(H,18,19)/b10-7-;C14H17NO5;279;0.02;4.31;6.68;23.20;-170
O[C@@H](C)c1nc(oc1CC=C)C(=O)O	No_4_238;3/000000244;InChI=1S/C9H11NO4/c1-3-4-6-7(5(2)11)10-8(14-6)9(12)13/h3,5,11H,1,4H2,2H3,(H,12,13)/t5-/m0/s1;C9H11NO4;197;0.19;4.04;4.21;3.85;-170
OC(=O)c1oc(c(n1)CO)CC#C/C(=C\CNN)/CCC	No_4_307;3/000000252;InChI=1S/C14H19N3O4/c1-2-4-10(7-8-16-15)5-3-6-12-11(9-18)17-13(21-12)14(19)20/h7,16,18H,2,4,6,8-9,15H2,1H3,(H,19,20)/b10-7-;C14H19N3O4;293;-0.27;4.07;8.11;24.80;-200
OC(=O)c1oc(c(n1)CO)CC#C/C(=C\CNN)/CCC	No_4_309;3/000000254;InChI=1S/C14H19N3O4/c1-2-4-10(7-8-16-15)5-3-6-12-11(9-18)17-13(21-12)14(19)20/h7,16,18H,2,4,6,8-9,15H2,1H3,(H,19,20)/b10-7-;C14H19N3O4;293;-0.27;4.28;7.29;24.80;-200
OC(=O)c1cc(O)cc(c1)CCC/C=C(/CN)\C#CCC	No_5_345;3/000000197;InChI=1S/C17H21NO3/c1-2-3-6-13(12-18)7-4-5-8-14-9-15(17(20)21)11-16(19)10-14/h7,9-11,19H,2,4-5,8,12,18H2,1H3,(H,20,21)/b13-7+;C17H21NO3;287;2.35;4.59;2.28;5.21;-50
OC(=O)c1nc(c(o1)C/C=C/[C@@H](N1N=CCC1=O)C=C)CN	No_3_517;3/000000131;InChI=1S/C14H16N4O4/c1-2-9(18-12(19)6-7-16-18)4-3-5-11-10(8-15)17-13(22-11)14(20)21/h2-4,7,9H,1,5-6,8,15H2,(H,20,21)/b4-3+/t9-/m0/s1;C14H16N4O4;304;-0.08;4.62;6.97;6.72;-150
OC(=O)c1coc(c1)C(=S)COC[C@H](c1c[nH]c(c1)CO)S	No_5_279;3/000000180;InChI=1S/C14H15NO5S2/c16-4-10-1-8(3-15-10)12(21)6-19-7-13(22)11-2-9(5-20-11)14(17)18/h1-3,5,12,15-16,21H,4,6-7H2,(H,17,18)/t12-/m1/s1;C14H15NO5S2;341;-0.21;4.08;7.72;5.39;-150
OC(=O)c1oc(c(n1)CO)CC#C/C(=C\CCN)/CCC	No_4_436;3/000000276;InChI=1S/C15H20N2O4/c1-2-5-11(7-4-9-16)6-3-8-13-12(10-18)17-14(21-13)15(19)20/h7,18H,2,4-5,8-10,16H2,1H3,(H,19,20)/b11-7-;C15H20N2O4;292;0.12;4.60;7.16;24.00;-200
