SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical
OC(=O)c1cc(ON)c(c(c1)C/C=C/CN)Br,12/000001113,"InChI=1S/C11H13BrN2O3/c12-10-7(3-1-2-4-13)5-8(11(15)16)6-9(10)17-14/h1-2,5-6H,3-4,13-14H2,(H,15,16)/b2-1+",C11H13N2O3Br,301.0,0.84,4.65,6.29,2.48,0.0
OC(=O)C1=CC(=O)C=C(C1=O)c1ccc(c(c1Cl)CN)F,10/000000131,"InChI=1S/C14H9ClFNO4/c15-12-7(1-2-11(16)10(12)5-17)8-3-6(18)4-9(13(8)19)14(20)21/h1-4H,5,17H2,(H,20,21)",C14H9NO4FCl,309.0,1.07,4.65,5.01,2.47,-160.0
OCC(=O)n1nc(nc1/C=C/[C@H](c1nnc([nH]1)/C=C\C)S)CCl,8/000000025,"InChI=1S/C13H15ClN6O2S/c1-2-3-9-16-13(18-17-9)8(23)4-5-11-15-10(6-14)19-20(11)12(22)7-21/h2-5,8,21,23H,6-7H2,1H3,(H,16,17,18)/b3-2-,5-4+/t8-/m1/s1",C13H15N6O2SCl,354.0,1.61,4.65,3.35,6.45,-170.0
OC(=O)c1cc(c(c(c1)ON)Br)CC[NH2+]CC,12/000001274,"InChI=1S/C11H15BrN2O3/c1-2-14-4-3-7-5-8(11(15)16)6-9(17-13)10(7)12/h5-6,14H,2-4,13H2,1H3,(H,15,16)/p+1",C11H16N2O3Br,304.0,1.06,4.65,6.68,2.48,-20.0
O=Nc1cc(cc(c1Br)CC(=O)O)C(=O)C(=C)CCO,12/000000091,"InChI=1S/C13H12BrNO5/c1-7(2-3-16)13(19)9-4-8(6-11(17)18)12(14)10(5-9)15-20/h4-5,16H,1-3,6H2,(H,17,18)",C13H12NO5Br,342.0,1.18,4.65,3.36,3.58,-40.0
O=NC(=O)c1cc(c(c(c1)CO)Br)C[C@H](c1[nH]c(=[NH2])[nH]c1)Cl,12/000000812,"InChI=1S/C13H13BrClN4O3/c14-11-6(3-9(15)10-4-17-13(16)18-10)1-7(12(21)19-22)2-8(11)5-20/h1-2,4,9,17-18,20H,3,5,16H2/t9-/m1/s1",C13H12N4O3ClBr,387.0,1.47,4.65,5.89,23.9,-150.0
OC(=O)c1cc(OC/C=C/C=S)c(c(c1)ON)Br,12/000001405,"InChI=1S/C11H10BrNO4S/c12-10-8(16-3-1-2-4-18)5-7(11(14)15)6-9(10)17-13/h1-2,4-6H,3,13H2,(H,14,15)/b2-1+",C11H10NO4SBr,332.0,1.2,4.65,5.98,19.0,0.0
OC(=O)c1oc(c(n1)CO)CC#C/C(=C\C)/CCC,3/000000096,"InChI=1S/C14H17NO4/c1-3-6-10(4-2)7-5-8-12-11(9-16)15-13(19-12)14(17)18/h4,16H,3,6,8-9H2,1-2H3,(H,17,18)/b10-4-",C14H17NO4,263.0,1.06,4.64,5.44,22.0,-170.0
Sc1cc(F)c(c(c1)Br)c1oc(c(c1)CN)CC(=O)O,20/000000021,"InChI=1S/C13H11BrFNO3S/c14-8-2-7(20)3-9(15)13(8)11-1-6(5-16)10(19-11)4-12(17)18/h1-3,20H,4-5,16H2,(H,17,18)",C13H11NO3SFBr,360.0,2.48,4.64,5.25,2.35,-120.0
Oc1cc(/C=C/c2cncc(c2)c2occ(c2)CCl)c(cc1I)CO,7/000000013,"InChI=1S/C19H15ClINO3/c20-7-13-4-19(25-11-13)15-3-12(8-22-9-15)1-2-14-6-18(24)17(21)5-16(14)10-23/h1-6,8-9,11,23-24H,7,10H2/b2-1+",C19H15NO3ClI,467.0,3.85,4.64,4.51,21.0,-140.0
