scaffold;frequency;mean_zscore;shrunk_zscore
C(#Cc1cccc(-c2cn[nH]c2)c1)c1ccccc1;5;1.1632;0.6784
c1ccc2occc2c1;5;-0.7167;-0.418
O=C1CNc2c(cccc2C(=O)Nc2ccccc2)N1;5;0.8504;0.496
c1c[nH]c(-c2nnn[nH]2)c1;5;-0.5631;-0.3284
O=C(Nc1ccccc1)c1ccccc1;5;0.6833;0.3985
c1c[nH]cn1;5;-0.6098;-0.3556
O=C1C=C(C#Cc2ccccc2)CCO1;5;0.866;0.5051
c1ccc([SH+]c2ccc3c(c2)CNC3)cc1;5;1.2209;0.7121
O=C(c1ccccc1)c1ncn[nH]1;5;0.299;0.1744
C(=Cc1ncc[nH]1)c1cccnc1;5;-0.0302;-0.0176
c1cc(-c2cnon2)ncn1;5;-0.409;-0.2386
O=C(Oc1cccnc1)c1ccccc1;5;0.0869;0.0507
c1cc(Cc2cc[nH]n2)ncn1;5;-0.4323;-0.2521
c1ccn(CCc2ccno2)c1;5;2.1108;1.2311
O=C1CNc2c(cccc2C(=O)Nc2ccccn2)N1;5;0.7632;0.4451
O=C(C#Cc1cccnc1)OCc1ccc[nH]1;5;-0.0972;-0.0567
C(#Cc1cn[nH]c1)Cc1ccccc1;5;-0.0704;-0.0411
N=c1sccn1CCc1ccccc1;5;-0.3272;-0.1908
c1ccc(-n2cnnc2)cc1;5;0.2645;0.1542
c1ccc2c(c1)NCN2;5;-0.6666;-0.3888
O=C(C#Cc1cnc[nH]1)c1cnco1;5;-0.0443;-0.0258
N=c1[nH]cc(CCC#Cc2ccccn2)s1;5;0.2213;0.1291
O=C(C=CC1=CCON1)CCc1ccccn1;5;0.0256;0.0149
C1=Cc2ccccc2C1=Cc1ccon1;5;0.5474;0.3193
O=C(C=Cc1ccccc1)C1CCCNN1;5;-0.4655;-0.2715
O=C(CC#Cc1cnon1)c1ccccc1;5;0.3611;0.2106
C1=NOCN1c1ccccc1;5;-0.3332;-0.1944
c1ccc(Nc2cccnc2)cc1;5;-0.2982;-0.1739
C1=COC(CCCc2cccnc2)=CC1;5;1.0269;0.5989
c1ccc(CCc2cc[nH]c2)cc1;5;0.5447;0.3177
C(=Cc1cnc[nH]1)CCCc1ccccc1;4;0.5179;0.2736
O=c1ccc(-c2cnc(C=Cc3ccccc3)o2)n[nH]1;4;0.8445;0.4461
O=C(c1ncc(C=Cc2ccccc2)cn1)c1ccc[nH]1;4;1.2629;0.6671
C(#Cc1ccccc1)c1ccccc1;4;0.3256;0.172
c1cnc2[nH]ccc2n1;4;-0.6527;-0.3448
c1cncc(-c2nncs2)c1;4;-0.8626;-0.4556
c1cncc(Cc2ncco2)c1;4;-0.034;-0.018
O=c1[nH]nc(CC#Cc2ccccc2)[nH]1;4;0.5601;0.2958
O=C1C=C(Cc2ccncn2)CO1;4;-0.3753;-0.1982
C(=Cc1ccccc1)Cc1nnco1;4;-0.2542;-0.1343
c1c[nH]c(-c2cnco2)c1;4;-0.6834;-0.361
C(#Cc1ccccc1)CCC1=CCC=CO1;4;0.459;0.2424
C(=Cc1ccccc1)Cc1nnc[nH]1;4;0.3575;0.1888
O=c1[nH][nH]c2ccccc12;4;-0.3102;-0.1639
O=C1NCCN1c1cccc(C#CCCC2=CCCS2)c1;4;1.755;0.927
c1ccc(Nc2ccccc2)cc1;4;0.2295;0.1212
O=C1CCC(C=C(Cc2ccccc2)c2ncn[nH]2)O1;4;0.3038;0.1605
C(#Cc1cccnc1)c1ccccc1;4;0.6958;0.3675
C(=Cc1cncnc1)c1ccccc1;4;-0.0027;-0.0014
O=C(OCc1ccncc1)c1cnc[nH]1;4;-0.0579;-0.0306
O=C(c1cc[nH]c1)c1cscn1;4;-0.677;-0.3576
N=c1[nH]cc(-c2ccccc2)s1;4;-0.388;-0.205
C(=CC1=CCCO1)Cc1ccccc1;4;-0.4247;-0.2243
C=C1Cc2ccccc2N1;4;0.0138;0.0073
O=C(Cc1cccc(C2=CN=CCN2)c1)c1ccccc1;4;1.5853;0.8374
N=c1[nH]cc(CCC#Cc2ccc[nH]2)s1;4;-0.5385;-0.2844
C(=Cc1nn[nH]n1)c1ccccc1;4;-0.2771;-0.1464
