scaffold;frequency;mean_zscore;shrunk_zscore
C(=CCc1cnco1)CC1=CCC1;1;-0.092;-0.0201
c1cc2c(cc1CCNCCc1cnn[nH]1)NCO2;1;0.1359;0.0297
C(=CCc1cn[nH]n1)Cc1ccccn1;1;-0.5119;-0.1119
C(=CCc1cn[nH]c1)CCC=Cc1nnco1;1;-0.7824;-0.1711
C(=CCc1ccc2c(c1)OCN2)CNCc1ncc[nH]1;1;0.1974;0.0432
c1cc(CCn2ccnc2)ccn1;1;-0.4548;-0.0995
C(=CCC1CN=CO1)Cc1ccoc1;1;0.141;0.0308
C(=CCC1CCNC1)Cc1ccoc1;1;0.4549;0.0995
c1ccc(-c2ccc(Cc3cnon3)cc2)cc1;1;0.3854;0.0843
C(=CCC1CCNC1)Cc1ccccc1;1;-0.6215;-0.1359
C(=CCC1=CCCC1)CCc1ccccc1;1;0.6493;0.142
C(=CC1NNc2ccccc21)COc1ccccc1;1;3.4406;0.7524
C(=CC1NCNCN1)c1ccc[nH]1;1;0.1515;0.0331
c1ccc(-c2cccnc2)nc1;1;-0.4054;-0.0887
C(=CC1Cc2ccccc2C1)c1ccccc1;1;2.1486;0.4699
c1ccc(-c2cccs2)cc1;1;-0.3197;-0.0699
C(=CC1CNNC1)c1ccccc1;1;-0.8231;-0.18
c1cc(CNCCc2cnco2)[nH]n1;1;-0.2826;-0.0618
c1cc(CCn2cccn2)cc(-c2c[nH]cn2)c1;1;2.9407;0.6431
c1cc(-c2nnc[nH]2)[nH]n1;1;0.0973;0.0213
C(=CCc1csnn1)CNC=CCc1ccncn1;1;-0.4241;-0.0928
C(=CCc1ncc2cn[nH]c2n1)Cc1ccccc1;1;0.264;0.0577
C(=CCc1nc2ncccc2[nH]1)Cc1nc[nH]n1;1;0.5629;0.1231
c1cc(C2CCO2)c[nH]1;1;-0.4592;-0.1004
c1cc(CC2CCCC2)ncn1;1;-0.5154;-0.1127
C(=Cc1ccc2ccncc2c1)c1ccccc1;1;0.5739;0.1255
c1cc(CCC2=NCCC2)cc(-c2c[nH]cn2)c1;1;2.336;0.5109
c1cc(CCC2=Nc3[nH]ncc3CN2)n[nH]1;1;0.5155;0.1127
c1cc(CCC2CN2)ncn1;1;-0.9306;-0.2035
c1cc(CCCC2CCNCCO2)ncn1;1;-0.8844;-0.1934
c1cc(CCCCc2cc[nH]n2)cc(-c2nnco2)c1;1;0.2158;0.0472
c1cc(CCCCc2ncnc3[nH]ncc23)cc(-c2nnco2)c1;1;1.3714;0.2999
c1cc(CCCc2ccon2)co1;1;-0.6961;-0.1522
c1cc(CCc2nnco2)n[nH]1;1;-0.5399;-0.1181
c1cc(CCCc2cnc[nH]2)ncn1;1;0.3195;0.0699
c1cc(CCCc2nnco2)ncn1;1;0.0129;0.0028
c1cc(CCNCCc2ccc3c(c2)NCO3)no1;1;-0.0645;-0.0141
c1cc(CCc2cc3cn[nH]c3s2)n[nH]1;1;0.3093;0.0676
C(=CCc1cnoc1)Cc1ccoc1;1;1.1104;0.2428
c1cc(CCc2ccc3c(c2)CNNC3)no1;1;-0.1506;-0.0329
c1cc(CCc2ccc3nc[nH]c3c2)n[nH]1;1;1.5242;0.3333
c1cc(CCc2ccc[nH]2)cc(-c2c[nH]cn2)c1;1;2.5717;0.5624
c1cc(CCc2ccco2)cc(-c2c[nH]cn2)c1;1;2.4519;0.5362
C(=CCc1cnco1)Cc1cnn[nH]1;1;-0.2473;-0.0541
c1cc(CCc2cnoc2)cc(-c2c[nH]cn2)c1;1;2.2348;0.4887
C(=Cc1ccc2c(c1)[nH]c1cnccc12)CC1=CCNC1;1;0.9477;0.2073
O=c1cc[nH]n1CC=CCc1ccccn1;1;0.703;0.1537
O=c1ccc(CNCc2cnon2)co1;1;0.0286;0.0062
O=c1[nH][nH]cc1C=Cc1cncc(-c2cc[nH]n2)c1;1;0.8947;0.1957
C(=Cc1ccccc1)CCc1ccccc1;1;1.2964;0.2835
O=C1NCCN1c1cccc(C#CCCC2=CNC=NC2)c1;1;1.4309;0.3129
C(=Cc1ccccc1)CCCc1ncn[nH]1;1;0.2242;0.049
O=C1NCCN1c1cccc(C#CCCN2C=NCNC2)c1;1;1.8099;0.3958
O=C1NCCN1c1cccc(C#CCCc2ccccc2)c1;1;2.4695;0.5401
O=C1NCCN1c1cccc(C=CC2=CNC=NC2)c1;1;0.4878;0.1067
O=C1NCCN1c1cccc(C=CC2=NCCOC2)c1;1;0.6991;0.1529
O=C1NCCN1c1cccc(C=Cc2cnsc2)c1;1;0.6129;0.134
O=C1NCCN1c1cccc(C=Cc2cnsn2)c1;1;0.295;0.0645
O=C1NCCN1c1cccc(CCC2=NOCN2)c1;1;0.0257;0.0056
O=C1NCCN1c1cccc(CCc2n[nH]c3cnccc23)c1;1;1.3289;0.2906
O=C1NCCN1c1cccc(CCn2cncn2)c1;1;1.0981;0.2402
O=C1NCCN1c1cccc(CCn2nc[nH]c2=O)c1;1;0.1129;0.0247
O=C1NCCN1c1cccc(CSCc2cnon2)c1;1;0.1548;0.0339
C(=Cc1ccccc1)CCCc1cocn1;1;-0.3922;-0.0858
O=C1NCc2cccc(Cc3ccccc3)c21;1;-1.3295;-0.2908
O=C1NS(=O)(=O)c2ccc(Cc3ccoc(=O)c3)cc21;1;-0.0665;-0.0146
O=C1OCC(C=Cc2ccccc2)=C1c1nn[nH]n1;1;0.4369;0.0956
O=C1OCC1C=Cc1ccccc1;1;-0.6174;-0.135
O=C1OCC1NNCc1cccnc1;1;-0.7672;-0.1678
O=C1OCC=C1c1cn[nH]n1;1;-0.8975;-0.1963
O=C1OCCN1CC=Cc1ccccc1;1;-0.4052;-0.0886
O=C1OCc2cc([SH+]c3ccccc3)ccc21;1;1.625;0.3554
O=c1[nH][nH]cc1-c1ccccc1;1;-0.673;-0.1472
O=c1[nH][nH]cc1-c1nnc[nH]1;1;-0.0882;-0.0193
O=C1NCCN1CCCCOc1ccccn1;1;-0.0588;-0.0129
O=C1NCCC1C(=O)c1ccccc1;1;-0.5319;-0.1163
C(=Cc1ccccc1)CCc1ccncc1;1;0.3922;0.0858
O=C1CSc2cc(C=C3N=CNC3=O)ccc2N1;1;-0.0552;-0.0121
O=C1CN=CN1CC=Cc1ccc(-c2cccnc2)cc1;1;1.8905;0.4134
O=C1CN=CN1c1ccc(C=Cc2cnon2)cc1;1;0.6286;0.1375
C(=Cc1ccccc1)Cc1c[nH]c2c1N=CNC2;1;0.8626;0.1886
C(=Cc1ccccc1)COC1CCOC1;1;0.703;0.1537
O=C1CNc2c(cccc2Nc2ccccc2)N1;1;1.327;0.2902
C(=Cc1ccccc1)CNCc1ncno1;1;0.4029;0.0881
O=C1COC(=O)N1C(=O)c1ccc[nH]1;1;-0.1652;-0.0361
O=C1COC=C1C=CCc1ccccc1;1;-0.3556;-0.0778
O=C1COC=C1c1ccccc1;1;0.5118;0.1119
C(=Cc1ccccc1)CNCc1cn[nH]n1;1;0.1571;0.0344
O=C1COc2ccc(COC(=O)c3cnco3)cc2N1;1;0.375;0.082
C(=Cc1ccccc1)CNCCC1=COC=CC1;1;0.9063;0.1982
O=C1NCC=C1C#CCc1cnon1;1;-0.0484;-0.0106
O=C1N=CSC1NCNc1cccnc1;1;-1.0246;-0.2241
C(=Cc1ccccc1)CNCC1CCOC1;1;-0.0624;-0.0137
O=C1NC(=O)c2cc(COc3ccccc3)ccc21;1;0.5935;0.1298
O=C1NC(=O)c2cc(COc3ccccn3)ccc21;1;0.502;0.1098
C(=Cc1ccccc1)CNCC1CCCNC1;1;0.3448;0.0754
C(=Cc1ccccc1)CNC1CC=CC1;1;0.1286;0.0281
C(=Cc1ccccc1)CCc1cnon1;1;-0.1303;-0.0285
C(=Cc1ccccc1)CCc1cnccn1;1;-0.3263;-0.0714
O=C1NCC(CCc2ccccc2)N1;1;-0.0436;-0.0095
O=C1NCC=C(C=CCC=Cc2ccccc2)N1;1;0.2478;0.0542
C(=Cc1ccccc1)CCc1cncc(N2C=NOC2)c1;1;1.7088;0.3737
O=c1[nH][nH]cc1C=Cc1cncc(-c2c[nH]cn2)c1;1;1.3377;0.2925
C(=Cc1ccccc1)CCC1=CCCOC1;1;-0.0753;-0.0165
O=c1ccc(C=Cc2ccc3c(=O)cc[nH]c3c2)c[nH]1;1;1.1126;0.2433
O=c1[nH]c(CC#Cc2ccccc2)no1;1;-0.1008;-0.022
O=c1cc(-c2ccccc2)[nH][nH]1;1;-0.7927;-0.1734
O=c1cc(-c2cccnc2)cc[nH]1;1;-0.9651;-0.2111
O=c1cc(-c2ncn[nH]2)cco1;1;-0.5657;-0.1237
O=c1cc(C2=CNNC2)cco1;1;-0.9537;-0.2086
O=c1cc(C=Cc2ccccc2)nc[nH]1;1;0.3518;0.0769
O=c1cc(C=Cc2nnc[nH]2)c1=O;1;-0.3751;-0.082
O=c1cc(CC#Cc2nnc[nH]2)c1=O;1;-0.6871;-0.1503
O=c1cc(CCCCc2cnon2)[nH]cn1;1;-0.7343;-0.1606
O=c1cc(CCc2ccno2)[nH]cn1;1;0.1813;0.0397
O=c1cc(CNc2ccccc2)nc[nH]1;1;-0.0214;-0.0047
O=c1cc(Cc2ccccc2)c1=O;1;-0.6367;-0.1392
O=c1cc[nH]c(-c2ccc(CC3=NCCN3)cc2)c1;1;0.7657;0.1675
O=c1cc[nH]c(-c2ccc(CCc3ccoc3)cc2)c1;1;1.267;0.2771
O=c1cc[nH]c(-c2ccc(CCc3ncc[nH]3)cc2)c1;1;0.7183;0.1571
C(=Cc1cccc2nn[nH]c12)COc1ccccc1;1;1.0514;0.2299
C(=Cc1cccc2ncoc12)Cc1cocn1;1;-0.3966;-0.0867
O=c1cc[nH]c(-c2ccccc2)n1;1;-0.3358;-0.0734
C(=Cc1cccc2ncoc12)Cc1cnon1;1;-0.219;-0.0479
C(=Cc1cccc2ccccc12)NCc1ncn[nH]1;1;0.2179;0.0476
O=c1cc[nH]c2cc(C=Cc3ccc4nc[nH]c4n3)ccc12;1;1.1674;0.2553
O=c1cc[nH]c2cc(Nc3cccc4ncoc34)ccc12;1;1.6685;0.3649
c1ccc(-c2ccncc2)cc1;1;2.1821;0.4772
C(=Cc1cccc(-c2ncn[nH]2)n1)c1ccccc1;1;2.4355;0.5326
O=c1ccc(-c2cnc(CCc3ccccc3)o2)n[nH]1;1;1.119;0.2447
C(=Cc1cccc(-c2cc[nH]n2)c1)c1ccccc1;1;0.695;0.152
O=c1[nH]ncn1CCC1CCCN1;1;-0.8411;-0.184
C(=Cc1ccccc1)C1=CC(c2nnn[nH]2)C1;1;0.1024;0.0224
C(=Cc1ccccc1)C1=NOCC1;1;-0.5505;-0.1204
C(=Cc1ccccc1)CC=Cc1cc[nH]n1;1;-0.4644;-0.1016
O=c1[nH]c(CC=CCc2cnco2)cs1;1;0.252;0.0551
C(=Cc1ccccc1)CC=Cc1cn[nH]c1;1;-0.6693;-0.1464
O=c1[nH]c(CCc2cc[nH]n2)cs1;1;-0.2077;-0.0454
O=c1[nH]c(COCc2ccc(-c3c[nH]cn3)cc2)no1;1;0.0304;0.0066
O=c1[nH]c2ccc([SH+]c3ccccc3)cc2[nH]c1=O;1;0.9355;0.2046
O=c1[nH]cc(C#CCCC2CN2)c2cc[nH]c12;1;-0.0556;-0.0122
O=c1[nH]cc(C=Cc2ccncn2)c2cc[nH]c12;1;0.4828;0.1056
O=c1[nH]cc(CC#Cc2cc3ccccc3o2)[nH]1;1;1.6183;0.3539
O=c1[nH]cc(CCC2=CNC=CC2)c2cc[nH]c12;1;0.712;0.1557
O=c1[nH]cc(CCC2COC=CO2)c2cc[nH]c12;1;0.2699;0.059
O=c1[nH]cc(Cc2ccccc2)[nH]1;1;0.3881;0.0849
O=c1[nH]cnc2cc(CCc3ccccc3)ncc12;1;0.7062;0.1544
O=c1[nH]nc(Cc2ccccc2)[nH]1;1;1.0688;0.2337
C(=Cc1ccccc1)CC1=CNCC=N1;1;0.2563;0.056
O=c1[nH]nc(-c2ccccc2)o1;1;-0.4202;-0.0919
C(=Cc1ccccc1)CC1=CCOC1;1;-0.3808;-0.0833
O=c1[nH]nc(C2=CC=CC2)o1;1;-0.0978;-0.0214
O=c1[nH]nc(C=CCN2CCNC2=S)c(=O)[nH]1;1;-0.8833;-0.1932
O=c1[nH]nc(C=Cc2cnon2)[nH]1;1;-0.7897;-0.1727
C(=Cc1ccccc1)CC1=CCNN1;1;-0.0472;-0.0103
O=c1[nH]nc(CC=Cc2ccccc2)[nH]1;1;0.2137;0.0467
C(=Cc1ccccc1)CC1=CCNC1;1;-0.1877;-0.0411
O=c1[nH]nc(CCc2cc[nH]n2)o1;1;-0.2883;-0.063
O=c1[nH]nc(Cc2ccc[nH]2)o1;1;0.0185;0.004
C(=CC1CNCN1)CCc1cccc(Nc2ccccc2)c1;1;0.7249;0.1585
C(=CC1CCN=CN1)c1ccccc1;1;-0.7329;-0.1603
c1ccc(-c2ccncc2)nc1;1;-0.0739;-0.0162
c1ccc(OCCc2ncc[nH]2)nc1;1;-0.2173;-0.0475
C(#Cc1ccccn1)Cc1nncs1;1;-0.4324;-0.0946
c1ccc2c(c1)NC(NCc1cc[nH]n1)N2;1;-0.4818;-0.1054
C(#Cc1ccccn1)Cc1cn[nH]n1;1;-0.4603;-0.1007
c1ccc2c(c1)ccn2Cc1c[nH]cn1;1;-0.8232;-0.18
C(#Cc1ccccc1)Cc1nnn[nH]1;1;-0.6165;-0.1348
c1ccc2ncccc2c1;1;0.7367;0.1611
C(#Cc1ccccc1)Cc1nnco1;1;-0.2002;-0.0438
c1ccc2ocnc2c1;1;-0.6128;-0.134
C(#Cc1ccccc1)Cc1cnn[nH]1;1;-0.2482;-0.0543
C(#Cc1ccccc1)Cc1ccccn1;1;0.5471;0.1197
c1ccn(C2COC2)c1;1;-1.1939;-0.2611
c1ccn(CCCN2CCCC2)c1;1;0.4532;0.0991
c1ccn(CCCOc2ccn[nH]2)c1;1;-0.3917;-0.0857
c1ccn(CCCc2ncno2)c1;1;-0.6466;-0.1414
C(#Cc1ccccc1)Cc1ccccc1;1;0.5346;0.1169
C(#Cc1ccccc1)CCn1cnnc1;1;-0.4729;-0.1034
c1ccn2cnnc2c1;1;-0.4542;-0.0993
C(#Cc1ccccc1)CCn1ccnn1;1;0.0825;0.0181
C(#Cc1ccccc1)CCc1ccc[nH]1;1;-0.0558;-0.0122
c1ccsc1;1;-0.9668;-0.2114
c1cn(CCc2ccc3sncc3c2)cn1;1;1.2522;0.2738
c1cn(CCc2nnco2)cn1;1;-0.5753;-0.1258
C(#Cc1ccccc1)CCNCc1cnon1;1;-0.3322;-0.0726
C(#Cc1ccccc1)CCCn1cccn1;1;-0.1947;-0.0426
c1cnc(CNC2CCCCC2)cn1;1;-0.1412;-0.0309
c1ccc2c(c1)CNN2;1;-0.6032;-0.1319
C(#Cc1cccnc1)CC1=CC=CC1;1;0.2408;0.0527
c1ccc2c(COc3cccc4nc[nH]c34)cccc2c1;1;0.7985;0.1746
C(#Cc1ccn[nH]1)Cc1cnccn1;1;-0.4623;-0.1011
c1ccc(OCc2ccc3c(c2)SNC3)cc1;1;0.6596;0.1442
c1ccc(OCc2ccc3nc[nH]c3c2)cc1;1;1.3292;0.2907
c1ccc(OCc2cnc[nH]2)cc1;1;-0.676;-0.1478
C(#Cc1ccnc2[nH]ccc12)CNCCC1=CNC=NC1;1;0.0312;0.0068
c1ccc(Oc2ccn[nH]2)cc1;1;-0.6318;-0.1382
c1ccc([SH+]c2ccc(-c3ncon3)cc2)cc1;1;-0.1975;-0.0432
C(#Cc1ccnc(C2=COCC=C2)c1)c1ccccc1;1;1.985;0.4341
C(#Cc1ccn[nH]1)c1cccnc1;1;-0.3604;-0.0788
c1ccc([SH+]c2ccc3c(c2)NCCCN3)cc1;1;0.4189;0.0916
c1ccc([SH+]c2ccc3c(c2)NNC3)cc1;1;0.7405;0.1619
c1ccc([SH+]c2ccc3ncccc3c2)cc1;1;1.8248;0.3991
c1ccc([SH+]c2cccc(-c3ccccn3)c2)cc1;1;2.3256;0.5086
C(#Cc1cccnc1)CC1=CNC=NC1;1;0.0117;0.0026
c1ccc([SH+]c2cccc(-c3cnsn3)c2)cc1;1;1.2646;0.2765
C(#Cc1cccnc1)Cc1nncs1;1;-0.2177;-0.0476
c1ccc([SH+]c2cccc(-c3nnco3)c2)cc1;1;1.7962;0.3928
c1ccc([SH+]c2cccc(-n3cnnn3)c2)cc1;1;1.3766;0.301
c1ccc([SH+]c2cccc(C3=NOCN3)c2)cc1;1;1.0744;0.235
C(#Cc1cccnc1)Cc1cscn1;1;-0.7668;-0.1677
C(#Cc1cccnc1)Cc1cnsc1;1;0.0577;0.0126
c1ccc2[nH]c(CCc3cc[nH]n3)cc2c1;1;1.5329;0.3352
c1ccc2[nH]c(SCc3csnn3)nc2c1;1;-0.7163;-0.1566
C(#Cc1cccnc1)CN1CNc2cccnc21;1;0.4935;0.1079
C(#Cc1cccnc1)CC1=NN=CCN1;1;-0.084;-0.0184
c1cnc(CNCCCCc2ccn[nH]2)cn1;1;-0.3016;-0.066
c1cnc(Nc2cccc(-c3c[nH]cn3)c2)nc1;1;1.14;0.2493
C(#Cc1ccccc1)CCCC=C1NCCN1;1;1.4004;0.3062
C(#CCC1=CCCCC1)COc1ccccc1;1;1.2057;0.2637
c1coc(C2=NOCN2)n1;1;-0.811;-0.1774
c1coc(Cc2cc3ccccc3[nH]2)c1;1;-0.3081;-0.0674
c1coc(Cc2cncnc2)c1;1;-0.6564;-0.1435
C(#CCc1ccncn1)CCC1C=COCC1;1;1.2523;0.2739
C(#CCc1ccc[nH]1)Cc1ccncn1;1;0.1112;0.0243
c1n[nH]c(-c2cnc[nH]2)n1;1;-0.5121;-0.112
c1nc2c([nH]1)CNC2;1;-1.2662;-0.2769
C(#CCN1CCCC1)Cc1ccccc1;1;0.3598;0.0787
C(#CCN1C=CSC1)Cc1ccccc1;1;-0.2315;-0.0506
c1ncc(CCCCc2ccoc2)[nH]1;1;-0.2563;-0.056
c1ncc(Cc2cnon2)[nH]1;1;-1.0421;-0.2279
c1ncc2nc[nH]c2n1;1;-0.795;-0.1739
c1coc(-c2ccno2)c1;1;-0.4202;-0.0919
c1nn[nH]n1;1;-1.5182;-0.332
c1nnc(-c2cnco2)[nH]1;1;-0.8923;-0.1951
C(#CC1CN=CNC1)CCc1ccccc1;1;1.7825;0.3898
c1nnc(-c2cnns2)o1;1;-1.3629;-0.2981
C(#CC1CCON1)c1ccccc1;1;-0.5478;-0.1198
c1nnc(-c2nn[nH]n2)[nH]1;1;-0.1585;-0.0347
c1nnc(Cc2ccc3ocnc3c2)[nH]1;1;0.0277;0.0061
c1nnc(Cc2cocn2)[nH]1;1;-0.5022;-0.1098
c1nnc(NCCc2csnn2)s1;1;-0.8141;-0.178
c1nnc(Nc2ccc(-c3cn[nH]c3)cc2)s1;1;0.0871;0.0191
C(#CC1CCCCC1)c1ccno1;1;0.0193;0.0042
c1coc(-c2nnc[nH]2)c1;1;-0.0823;-0.018
c1coc(-c2ccc(CCC3=NCON3)cc2)c1;1;-0.3434;-0.0751
C(#Cc1ccccc1)CCC1=COC=CC1;1;0.0851;0.0186
C(#Cc1cc[nH]c1)c1cccnc1;1;-0.7829;-0.1712
C(#Cc1ccccc1)CC1=NOCN1;1;-0.6134;-0.1341
c1cnc2ccc(CCCc3ccncn3)cc2c1;1;1.9772;0.4324
c1cnc2ncoc2c1;1;-0.6711;-0.1468
C(#Cc1ccc[nH]1)CC1=CCC=C1;1;0.3148;0.0688
c1cncc(-c2cccc(CCC3=NCON3)c2)c1;1;0.1846;0.0404
C(#Cc1ccc2c(c1)NCO2)CCCc1cnccn1;1;0.0459;0.01
c1cncc(-c2cccs2)c1;1;-1.309;-0.2863
c1cncc(-c2ccncn2)c1;1;-0.0644;-0.0141
c1cncc(-c2ccon2)c1;1;-0.3454;-0.0755
c1cncc(-c2ccsc2)c1;1;-0.9315;-0.2037
c1cncc(-c2cn[nH]c2)c1;1;-1.1863;-0.2594
C(#Cc1cc[nH]c1)Cc1nnco1;1;-0.7207;-0.1576
C(#CCc1n[nH]c2ccccc12)Cc1ccncn1;1;0.2437;0.0533
c1cncc(-c2nccs2)c1;1;-1.2256;-0.268
c1cncc(-c2ncno2)c1;1;-1.1051;-0.2417
c1cncc(-c2nnc(CCc3ccc4c(c3)CCC4)s2)c1;1;1.8624;0.4073
C(#Cc1cc[nH]c1)Cc1cccnc1;1;0.2883;0.0631
C(#Cc1cc[nH]c1)Cc1ccccc1;1;0.0212;0.0046
C(#Cc1cc[nH]c1)Cc1c[nH]nn1;1;-0.2058;-0.045
c1cncc(CCCc2nnco2)c1;1;-0.8879;-0.1942
c1cncc(CNc2cccnc2)c1;1;-0.1068;-0.0234
C(#CCn1cccc1)Cc1cnn[nH]1;1;0.0888;0.0194
C(#CCc1nnco1)CCc1ccccc1;1;1.9349;0.4231
C(#CCc1ncc2nc[nH]c2n1)CCc1cccc2ncoc12;1;1.354;0.2961
C(#Cc1ccno1)CCc1ccccc1;1;0.561;0.1227
c1ccc(OCCOc2ccccc2)cc1;1;1.1096;0.2426
C(=CC1CN=CN1)COc1ccccc1;1;1.2049;0.2635
c1ccc(OCC2NCCCO2)cc1;1;-0.3468;-0.0759
C(=CC1=NOCN1)CCc1nnc[nH]1;1;-0.5815;-0.1272
C(=CC1=NCNC=C1)Cc1cccc2nc[nH]c12;1;0.0709;0.0155
C(=CC1=NC=CCN1)CNCc1cn[nH]n1;1;-0.1619;-0.0354
C(=CC1=COCCO1)COc1ccccc1;1;1.0038;0.2195
c1ccc(-n2cnnn2)cc1;1;-0.3625;-0.0793
c1ccc(C2=NCON2)cc1;1;0.0905;0.0198
c1ccc(C2=NNCO2)cc1;1;-0.7098;-0.1552
c1ccc(CC2CN2)cc1;1;-0.0789;-0.0172
c1ccc(CCC2=NCON2)cc1;1;-0.5114;-0.1118
c1ccc(CCC2=NOCN2)cc1;1;-0.2033;-0.0445
c1ccc(CCC2CCNCN2)cc1;1;-0.6214;-0.1359
c1ccc(CCCCCc2nnco2)cc1;1;0.4447;0.0973
c1ccc(CCCCSCn2cnnc2)cc1;1;-0.5654;-0.1236
c1ccc(CCCCc2ccccn2)cc1;1;-0.1136;-0.0248
c1ccc(CCCCc2ccon2)cc1;1;-0.3572;-0.0781
c1ccc(CCCCc2cnccn2)cc1;1;0.6972;0.1525
c1ccc(CCCCc2ncc(-c3cc[nH]c3)[nH]2)cc1;1;0.7177;0.1569
c1ccc(CCCCc2ncno2)cc1;1;0.857;0.1874
c1ccc(CCCc2ccncn2)cc1;1;1.0705;0.2341
c1ccc(CCCc2ccno2)cc1;1;-0.858;-0.1876
C(=CC1=COCCO1)CCc1cccc(-c2cn[nH]n2)c1;1;0.9293;0.2032
c1ccc(CCCc2cnon2)nc1;1;-0.6081;-0.133
C(=CC1=CNCS1)CCc1cnco1;1;-0.6168;-0.1349
C(=CC1=CCCO1)Cc1ccncn1;1;0.6098;0.1334
c1ccc(CCNCCc2ccccn2)cc1;1;0.7527;0.1646
C(=CC1C=CC1)CCc1cnco1;1;-0.0964;-0.0211
c1ccc(-c2nnc[nH]2)nc1;1;0.5796;0.1267
C(=CC1C=CC1)Cc1ccncn1;1;0.4077;0.0892
C(=CC1CCCN1)Cc1ccc2[nH]ncc2c1;1;0.1452;0.0318
C(=CC1CCNCC1)c1ccccc1;1;-0.2469;-0.054
C(=CC1CCNC1)Cc1ccccn1;1;-0.5372;-0.1175
c1ccc(-c2ccon2)cc1;1;-0.3495;-0.0764
c1ccc(-c2ccon2)nc1;1;-0.6562;-0.1435
C(=CC1CCNC1)CCNCCc1ccccc1;1;0.9122;0.1995
O=C1CCC=C1CC=Cc1cccnc1;1;0.4613;0.1009
C(=CC1CCCS1)c1cccnc1;1;-0.8838;-0.1933
C(=CC1CCCO1)NCc1ccc2[nH]ccc2c1;1;-0.3107;-0.0679
C(=CC1CCCO1)Cc1ccccc1;1;0.0225;0.0049
C(=CC1CCCN1)c1cccnc1;1;-0.5263;-0.1151
c1ccc(-c2cnns2)cc1;1;0.2338;0.0511
C(=CC1CCCCS1)c1ccccc1;1;-0.7405;-0.1619
C(=CC1C=CNC=C1)Cc1ccc2[nH]ncc2c1;1;1.1591;0.2535
c1ccc(-c2coc(CNCc3ccccn3)c2)cc1;1;1.2146;0.2656
c1ccc(-c2coc(CNCc3ccncc3)c2)cc1;1;0.4946;0.1082
C(=CC1CCCC1)c1ccccn1;1;0.4065;0.0889
C(=CC1CCCC1)Cc1ccc2[nH]ncc2c1;1;0.5074;0.111
c1ccc(-c2csnn2)cc1;1;0.5234;0.1145
C(=CC1CCCC1)CCn1ccnc1;1;-0.0714;-0.0156
c1ccc(-c2ncc[nH]2)cc1;1;-0.0995;-0.0218
c1ccc(-c2ncco2)nc1;1;-0.3673;-0.0803
c1ccc(-c2nccs2)cc1;1;-0.3133;-0.0685
C(=CC1CC=NO1)Cc1ccc2[nH]ncc2c1;1;0.2351;0.0514
C(=CC1C=NN=CN1)c1ccccc1;1;0.1086;0.0238
c1ccc(CCNCCn2cnnn2)cc1;1;0.6173;0.135
c1ccc(CCNCc2cn[nH]c2)cc1;1;2.0184;0.4414
c1ccc(CCNCc2cnoc2)cc1;1;0.876;0.1916
c1ccc(Cc2ncc[nH]2)nc1;1;-0.2152;-0.0471
c1ccc(Cc2cc[nH]n2)cc1;1;-0.1841;-0.0403
C(#Cc1cnccn1)CCC1=CCNCN1;1;-0.0348;-0.0076
C(#Cc1cncc(C2=CCC=CN2)c1)c1ccccc1;1;1.657;0.3624
c1ccc(Cc2ccco2)nc1;1;-0.0838;-0.0183
c1ccc(Cc2ccn[nH]2)cc1;1;-0.2169;-0.0474
c1ccc(Cc2ccno2)cc1;1;-0.2326;-0.0509
C(#Cc1cnc[nH]1)c1ccccc1;1;-0.3834;-0.0838
c1ccc(Cc2cnco2)cc1;1;-0.5645;-0.1235
c1ccc(Cc2cnco2)nc1;1;-0.329;-0.0719
c1ccc(Cc2cocn2)cc1;1;-1.3459;-0.2943
c1ccc(Cc2ncc(-c3cnc[nH]3)[nH]2)cc1;1;-0.6674;-0.1459
c1ccc(Cc2ncco2)nc1;1;-0.2297;-0.0502
c1ccc(COc2ccccn2)cc1;1;0.131;0.0286
c1ccc(Cc2nnc[nH]2)cc1;1;-0.5304;-0.116
c1ccc(NC2=NCCO2)cc1;1;-0.7282;-0.1593
c1ccc(NCCc2cc[nH]c2)cc1;1;-0.6171;-0.135
c1ccc(NCCc2nnco2)cc1;1;-0.68;-0.1487
c1ccc(NCCn2cnc3ncncc32)cc1;1;0.4956;0.1084
c1ccc(NNCc2cscn2)cc1;1;-0.5069;-0.1109
C(#Cc1ccno1)Cc1ccccc1;1;0.2126;0.0465
C(#Cc1ccno1)CCc1cnon1;1;-0.4786;-0.1047
c1ccc(Nc2ccn[nH]2)cc1;1;-0.3869;-0.0846
c1ccc(Nc2cncc(-n3cccn3)c2)cc1;1;0.2732;0.0597
c1ccc(Nc2cncc(OC3CCOC3)c2)cc1;1;-0.2464;-0.0539
c1ccc(Cc2cc[nH]c2)cc1;1;-0.0515;-0.0113
C(#Cc1cnccn1)CCC1CCCN1;1;0.2041;0.0446
c1ccc(CCOCc2cccc3ncncc23)cc1;1;0.3827;0.0837
c1ccc(CCc2cnoc2)cc1;1;1.5442;0.3377
c1ccc(CCOCc2ccccc2)cc1;1;0.5205;0.1138
C(#Cc1nnc[nH]1)Cn1cnnn1;1;0.1255;0.0275
c1ccc(CCc2ccc[nH]2)cc1;1;0.7481;0.1636
C(#Cc1nc2ccccc2[nH]1)Cc1cnon1;1;2.4601;0.538
C(#Cc1csnn1)c1ccccn1;1;-0.3753;-0.0821
