SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Dataset,Database,HBA,HBD,TPSA,RotBonds,NumCarbons,NumOxygens,NumNitrogens,FractionCarbons,FractionOxygens,FractionNitrogens,CSP3,ChiralCarbonFraction,HeavyAtoms,NumRings,AliphaticRings,AromaticRings,Heterocycles,AliphaticHeterocycles,AromaticHeterocycles,SpiroAtoms,BridgeheadAtoms
CC/C=C/[C@H](N)CC1=C(Br)C(ON)=CC(C(=O)O)=C1,12/000000631,"InChI=1S/C13H17BrN2O3/c1-2-3-4-10(15)6-8-5-9(13(17)18)7-11(19-16)12(8)14/h3-5,7,10H,2,6,15-16H2,1H3,(H,17,18)/b4-3+/t10-/m0/s1",C13H17N2O3Br,328.04225450399997,2.2358000000000002,5.37,5.24,2.48,-170.0,3.582769209014012,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,4,3,98.57000000000001,6,13,3,2,0.6842105263157895,0.15789473684210525,0.10526315789473684,0.3076923076923077,0.07692307692307693,19,1,0,1,0,0,0,0,0
NN[C@@H](C#CCC[N+](=O)[O-])C1=CC(CO)=C(I)C=C1,5/000000022,"InChI=1S/C12H14IN3O3/c13-11-5-4-9(7-10(11)8-17)12(15-14)3-1-2-6-16(18)19/h4-5,7,12,15,17H,2,6,8,14H2/t12-/m0/s1",C12H14N3O3I,375.007989308,0.9581000000000004,5.37,2.19,19.7,-190.0,4.075314440479378,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,5,3,101.42,5,12,3,3,0.631578947368421,0.15789473684210525,0.15789473684210525,0.3333333333333333,0.08333333333333333,19,1,0,1,0,0,0,0,0
CC(C)=CCCCCC#CC1=CC(C(=O)O)=CC(ON)=C1Br,12/000001211,"InChI=1S/C17H20BrNO3/c1-12(2)8-6-4-3-5-7-9-13-10-14(17(20)21)11-15(22-19)16(13)18/h8,10-11H,3-6,19H2,1-2H3,(H,20,21)",C17H20NO3Br,365.06265559999997,4.2779000000000025,5.37,8.15,20.5,-140.0,3.0635495110329103,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,3,2,72.55,6,17,3,1,0.7727272727272727,0.13636363636363635,0.045454545454545456,0.35294117647058826,0.0,22,1,0,1,0,0,0,0,0
CCC[C@@H](CBr)COC1=C(Br)C(ON)=CC(C(=O)O)=C1,12/000001389,"InChI=1S/C13H17Br2NO4/c1-2-3-8(6-14)7-19-10-4-9(13(17)18)5-11(20-16)12(10)15/h4-5,8H,2-3,6-7,16H2,1H3,(H,17,18)/t8-/m0/s1",C13H17NO4Br2,408.95243222399995,3.589800000000001,5.36,6.84,17.2,-170.0,3.254375276567206,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,4,2,81.78,8,13,4,1,0.65,0.2,0.05,0.46153846153846156,0.07692307692307693,20,1,0,1,0,0,0,0,0
O=NC1=C(Br)C(C2=CN=C(C(=O)O)C=C2)=CC(C(=O)CO)=C1,12/000000376,"InChI=1S/C14H9BrN2O5/c15-13-9(7-1-2-10(14(20)21)16-5-7)3-8(12(19)6-18)4-11(13)17-22/h1-5,18H,6H2,(H,20,21)",C14H9N2O5Br,363.969483488,2.7822000000000005,5.34,4.57,20.3,-160.0,2.877777972571373,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,6,2,116.92,5,14,5,2,0.6363636363636364,0.22727272727272727,0.09090909090909091,0.07142857142857142,0.0,22,2,0,2,1,0,1,0,0
C=C[C@H](N)NCCCC1=C(Br)C(CO)=CC(C(=O)N=O)=C1,12/000000856,"InChI=1S/C14H18BrN3O3/c1-2-12(16)17-5-3-4-9-6-10(14(20)18-21)7-11(8-19)13(9)15/h2,6-7,12,17,19H,1,3-5,8,16H2/t12-/m1/s1",C14H18N3O3Br,355.05315353599997,1.841,5.33,6.36,20.3,-180.0,3.743968553699707,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,5,3,104.78,8,14,3,3,0.6666666666666666,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.07142857142857142,21,1,0,1,0,0,0,0,0
CC[C@H](C#CC1=CC(C(=O)O)=CC(ON)=C1Br)N=O,12/000001433,"InChI=1S/C12H11BrN2O4/c1-2-9(15-18)4-3-7-5-8(12(16)17)6-10(19-14)11(7)13/h5-6,9H,2,14H2,1H3,(H,16,17)/t9-/m1/s1",C12H11N2O4Br,325.990218932,2.2963,5.31,5.57,20.7,-170.0,4.080628032543423,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,5,2,101.97999999999999,4,12,4,2,0.631578947368421,0.21052631578947367,0.10526315789473684,0.25,0.08333333333333333,19,1,0,1,0,0,0,0,0
CCCONC/C=C/[C@@H](C#CC1=CC(O)=CC=C1)CCO,23/000000182,"InChI=1S/C17H23NO3/c1-2-13-21-18-11-4-6-15(10-12-19)8-9-16-5-3-7-17(20)14-16/h3-7,14-15,18-20H,2,10-13H2,1H3/b6-4+/t15-/m0/s1",C17H23NO3,289.167793596,2.2297000000000007,5.3,2.8,17.8,-200.0,3.8673459221207582,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,4,3,61.72,8,17,3,1,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.4117647058823529,0.058823529411764705,21,1,0,1,0,0,0,0,0
O=C1NCCN1C1=CC(O)=C(I)C(C#CCCC2=CCCS2)=C1,28/000000522,"InChI=1S/C17H17IN2O2S/c18-16-12(4-1-2-5-14-6-3-9-23-14)10-13(11-15(16)21)20-8-7-19-17(20)22/h6,10-11,21H,2-3,5,7-9H2,(H,19,22)",C17H17N2O2SI,440.005546784,3.678900000000003,5.3,4.88,24.0,-120.0,3.623298514232575,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,3,2,52.57000000000001,3,17,2,2,0.7391304347826086,0.08695652173913043,0.08695652173913043,0.35294117647058826,0.0,23,3,2,1,2,2,0,0,0
NOC1=CC(C(=O)O)=CC(C[C@@H](N)C2=NN=C(S)S2)=C1Br,12/000001299,"InChI=1S/C11H11BrN4O3S2/c12-8-4(1-5(10(17)18)3-7(8)19-14)2-6(13)9-15-16-11(20)21-9/h1,3,6H,2,13-14H2,(H,16,20)(H,17,18)/p+1/t6-/m1/s1",C11H12N4O3S2Br,389.9455943120001,1.7825000000000002,5.29,6.71,2.64,-150.0,4.368068148841407,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,8,4,124.35,5,11,3,4,0.5238095238095238,0.14285714285714285,0.19047619047619047,0.18181818181818182,0.09090909090909091,21,2,0,2,1,0,1,0,0
C=C[C@H](O)C1=C(Br)C(N=O)=CC(C(=O)CCNN)=C1,12/000000923,"InChI=1S/C12H14BrN3O3/c1-2-10(17)8-5-7(11(18)3-4-15-14)6-9(16-19)12(8)13/h2,5-6,10,15,17H,1,3-4,14H2/t10-/m0/s1",C12H14N3O3Br,327.021853408,2.1025,5.29,3.34,5.24,-170.0,3.978712195439352,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,6,3,104.78,7,12,3,3,0.631578947368421,0.15789473684210525,0.15789473684210525,0.25,0.08333333333333333,19,1,0,1,0,0,0,0,0
NCCCC(=O)C1=CC(=O)C(CCl)=C(C2=NC=CC(Br)=C2O)C1=O,10/000000140,"InChI=1S/C16H14BrClN2O4/c17-10-3-5-20-14(16(10)24)13-9(7-18)12(22)6-8(15(13)23)11(21)2-1-4-19/h3,5-6,24H,1-2,4,7,19H2/p+1",C16H15N2O4ClBr,411.9825467079999,1.9283000000000006,5.28,5.91,24.6,-180.0,3.9341461767710832,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,6,2,110.35000000000002,6,16,4,2,0.6666666666666666,0.16666666666666666,0.08333333333333333,0.25,0.0,24,2,1,1,1,0,1,0,0
O=C(O)CC1=NNC(C2=NC(/C=C/C3=CC=CC=C3)=CC=C2I)=N1,4/000000123,"InChI=1S/C17H13IN4O2/c18-13-9-8-12(7-6-11-4-2-1-3-5-11)19-16(13)17-20-14(21-22-17)10-15(23)24/h1-9H,10H2,(H,23,24)(H,20,21,22)/b7-6+",C17H13N4O2I,432.008323656,3.2688000000000015,5.27,4.57,22.4,-160.0,2.852655546464936,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,4,2,91.75999999999999,5,17,2,4,0.7083333333333334,0.08333333333333333,0.16666666666666666,0.058823529411764705,0.0,24,3,0,3,2,0,2,0,0
N[C@@H](C#CCCC1=C(Br)C(O)=CC(C(=O)N=O)=C1)C1=NN=CO1,12/000000801,"InChI=1S/C14H11BrN4O4/c15-12-8(5-9(6-11(12)20)13(21)19-22)3-1-2-4-10(16)14-18-17-7-23-14/h5-7,10,20H,1,3,16H2/p+1/t10-/m0/s1",C14H12N4O4Br,377.99636693200006,2.0803000000000003,5.24,4.34,7.99,-150.0,4.473546209277808,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,7,2,131.67000000000002,4,14,4,4,0.6086956521739131,0.17391304347826086,0.17391304347826086,0.21428571428571427,0.07142857142857142,23,2,0,2,1,0,1,0,0
O=C(O)CC1=NNC(C2=NC(/C=C/C3=CN=CC=C3)=C(Cl)C=C2I)=N1,4/000000242,"InChI=1S/C16H11ClIN5O2/c17-10-6-11(18)15(16-21-13(22-23-16)7-14(24)25)20-12(10)4-3-9-2-1-5-19-8-9/h1-6,8H,7H2,(H,24,25)(H,21,22,23)/b4-3+",C16H11N5O2ClI,466.96460027200004,3.3172000000000015,5.23,5.28,24.7,-180.0,3.220888505949124,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,5,2,104.64999999999999,5,16,2,5,0.64,0.08,0.2,0.0625,0.0,25,3,0,3,3,0,3,0,0
C=CC1=C(O)C=C(N2CCNC2=O)C=C1C#CCCC1=CCCS1,28/000000503,"InChI=1S/C19H20N2O2S/c1-2-17-14(6-3-4-7-16-8-5-11-24-16)12-15(13-18(17)22)21-10-9-20-19(21)23/h2,8,12-13,22H,1,4-5,7,9-11H2,(H,20,23)",C19H20N2O2S,340.12454888,3.7173000000000025,5.22,5.01,24.5,-120.0,3.6374234394415232,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,3,2,52.57,4,19,2,2,0.7916666666666666,0.08333333333333333,0.08333333333333333,0.3157894736842105,0.0,24,3,2,1,2,2,0,0,0
O=NC(=O)C1=CC(O)=C(Br)C(CCC#C[C@]2(NCCO)CCN=CS2)=C1,12/000000835,"InChI=1S/C17H18BrN3O4S/c18-15-12(9-13(10-14(15)23)16(24)21-25)3-1-2-4-17(20-7-8-22)5-6-19-11-26-17/h9-11,20,22-23H,1,3,5-8H2/p+1/t17-/m1/s1",C17H19N3O4SBr,439.02013915599997,2.4407000000000005,5.22,8.21,5.65,-150.0,5.0352636457360225,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,7,3,111.35000000000001,6,17,4,3,0.6538461538461539,0.15384615384615385,0.11538461538461539,0.4117647058823529,0.058823529411764705,26,2,1,1,1,1,0,0,0
