SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical
OCC1=C[C@@H](CC=C1)C(=O)c1cccc(c1/C=C\C)O,19/000000034,"InChI=1S/C17H18O3/c1-2-5-14-15(8-4-9-16(14)19)17(20)13-7-3-6-12(10-13)11-18/h2-6,8-10,13,18-19H,7,11H2,1H3/b5-2-/t13-/m1/s1",C17H18O3,270,1.82,4.16,7.12,3.58,-170
C(=C\c1cc2oc(=O)ccc2c(c1)CN)/c1nc(c[nH]1)CCC,6/000000017,"InChI=1S/C18H19N3O2/c1-2-3-14-11-20-17(21-14)6-4-12-8-13(10-19)15-5-7-18(22)23-16(15)9-12/h4-9,11H,2-3,10,19H2,1H3,(H,20,21)/b6-4+",C18H19N3O2,309,2.22,4.16,4.34,3.58,-100
Oc1cc(ccc1C/C=C(/C[NH3+])\C1=CC[C@H](O1)CO)CN,4/000000080,"InChI=1S/C16H22N2O3/c17-8-11-1-2-12(15(20)7-11)3-4-13(9-18)16-6-5-14(10-19)21-16/h1-2,4,6-7,14,19-20H,3,5,8-10,17-18H2/p+1/b13-4-/t14-/m0/s1",C16H23N2O3,291,0.21,4.15,8.97,4.94,-150
OCc1occ(c1c1n[nH]c(=O)cc1)COCCl,15/000000285,"InChI=1S/C11H11ClN2O4/c12-6-17-4-7-5-18-9(3-15)11(7)8-1-2-10(16)14-13-8/h1-2,5,15H,3-4,6H2,(H,14,16)",C11H11N2O4Cl,270,-0.0,4.15,4.83,21.9,-120
OC/C(=C/c1nnnn1CCl)/c1nnc(o1)C(=O)NCCC,29/000000005,"InChI=1S/C11H14ClN7O3/c1-2-3-13-9(21)11-16-15-10(22-11)7(5-20)4-8-14-17-18-19(8)6-12/h4,20H,2-3,5-6H2,1H3,(H,13,21)/b7-4-",C11H14N7O3Cl,327,-0.12,4.15,3.8,3.87,-20
O[C@H](c1ccc(cc1)Nc1cccc(c1)CCl)C#CCCOC,13/000000013,"InChI=1S/C19H20ClNO2/c1-23-12-3-2-7-19(22)16-8-10-17(11-9-16)21-18-6-4-5-15(13-18)14-20/h4-6,8-11,13,19,21-22H,3,12,14H2,1H3/t19-/m0/s1",C19H20NO2Cl,329,3.05,4.15,5.01,17.7,-170
OC(=O)[C@H]1OC(=CC1)/C(=C\Cc1onc(c1CC(=O)N)O)/CF,4/000000019,"InChI=1S/C14H15FN2O6/c15-6-7(9-3-4-11(22-9)14(20)21)1-2-10-8(5-12(16)18)13(19)17-23-10/h1,3,11H,2,4-6H2,(H2,16,18)(H,17,19)(H,20,21)/b7-1-/t11-/m0/s1",C14H15N2O6F,326,0.12,4.15,8.92,5.35,-150
OC(=O)[C@@H](C1=C(C(=O)CO1)CN)c1nnc(o1)/C=C/CCCC,1/000000038,"InChI=1S/C15H19N3O5/c1-2-3-4-5-6-11-17-18-14(23-11)12(15(20)21)13-9(7-16)10(19)8-22-13/h5-6,12H,2-4,7-8,16H2,1H3,(H,20,21)/b6-5+/t12-/m0/s1",C15H19N3O5,321,0.76,4.15,7.06,5.09,-170
OC(=O)[C@@H](C1=C(C(=O)CO1)CN)c1nnc(o1)/C=C/CCC,1/000000013,"InChI=1S/C14H17N3O5/c1-2-3-4-5-10-16-17-13(22-10)11(14(19)20)12-8(6-15)9(18)7-21-12/h4-5,11H,2-3,6-7,15H2,1H3,(H,19,20)/b5-4+/t11-/m0/s1",C14H17N3O5,307,0.41,4.14,6.32,5.09,-170
OC(=O)C1=CCC=C(N1)CCCOc1cc(Cl)cc(c1)Cl,10/000000013,"InChI=1S/C15H15Cl2NO3/c16-10-7-11(17)9-13(8-10)21-6-2-4-12-3-1-5-14(18-12)15(19)20/h3,5,7-9,18H,1-2,4,6H2,(H,19,20)",C15H15NO3Cl2,327,4.32,4.14,2.53,2.35,-72
