SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
c1ccc(cc1/C=C/c1cnc(nc1C)C(=O)c1n[nH]c(=[NH2])[nH]1)Cl	No_2_24,12/000000026,"InChI=1S/C16H14ClN6O/c1-9-11(6-5-10-3-2-4-12(17)7-10)8-19-14(20-9)13(24)15-21-16(18)23-22-15/h2-8,23H,18H2,1H3,(H,21,22)/b6-5+",C16H13N6OCl,340,2.19,4.38,5.3,3.58,-20,,0
c1nc(ncc1/C=C/c1ccc(c(c1)Cl)C)C(=O)c1n[nH]c(=[NH2])[nH]1	No_1_423,12/000000008,"InChI=1S/C16H14ClN6O/c1-9-2-3-10(6-12(9)17)4-5-11-7-19-14(20-8-11)13(24)15-21-16(18)23-22-15/h2-8,23H,18H2,1H3,(H,21,22)/b5-4+",C16H13N6OCl,340,2.1,4.38,4.86,3.58,-20,,0
OC(=O)[C@@H](C1=CC(=O)CO1)c1nnc(o1)/C=C/CCCN	No_4_494,1/000000010,"InChI=1S/C13H15N3O5/c14-5-3-1-2-4-10-15-16-12(21-10)11(13(18)19)9-6-8(17)7-20-9/h2,4,6,11H,1,3,5,7,14H2,(H,18,19)/b4-2+/t11-/m0/s1",C13H15N3O5,293,0.17,4.38,5.87,5.09,-150,4.14738997687956,0
Oc1noc(c1CCl)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_7_23,4/000000056,"InChI=1S/C13H14ClNO6/c14-5-9-11(21-15-12(9)17)4-2-8(13(18)19)10-3-1-7(6-16)20-10/h2-3,7,16H,1,4-6H2,(H,15,17)(H,18,19)/b8-2+/t7-/m0/s1",C13H13NO6Cl,314,0.58,4.37,8.66,3.84,-150,4.381562871722881,0
NCc1nc(oc1c1n[nH]c(=O)c(c1)C)/C=C/CCCC	No_5_282,15/000000124,"InChI=1S/C15H20N4O2/c1-3-4-5-6-7-13-17-12(9-16)14(21-13)11-8-10(2)15(20)19-18-11/h6-8H,3-5,9,16H2,1-2H3,(H,19,20)/b7-6+",C15H20N4O2,288,1.41,4.37,3.57,24.6,-200,3.2358936856212184,1
Oc1noc(c1CCC)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_7_319,4/000000082,"InChI=1S/C15H19NO6/c1-2-3-10-13(22-16-14(10)18)7-5-11(15(19)20)12-6-4-9(8-17)21-12/h5-6,9,17H,2-4,7-8H2,1H3,(H,16,18)(H,19,20)/b11-5+/t9-/m0/s1",C15H18NO6,308,0.95,4.37,9.19,5.21,-170,4.220665015747983,0
OCc1occ(c1c1n[nH]c(=O)cc1)C=C	No_3_274,15/000000159,"InChI=1S/C11H10N2O3/c1-2-7-6-16-9(5-14)11(7)8-3-4-10(15)13-12-8/h2-4,6,14H,1,5H2,(H,13,15)",C11H10N2O3,218,0.4,4.35,4.05,20.0,-120,3.2751084753483326,1
OCC[C@@H](NCc1cccc(c1)Cl)/C=C/CN	No_4_529,16/000000002,"InChI=1S/C13H19ClN2O/c14-12-4-1-3-11(9-12)10-16-13(6-8-17)5-2-7-15/h1-5,9,13,16-17H,6-8,10,15H2/b5-2+/t13-/m0/s1",C13H19N2OCl,254,1.73,4.35,4.2,2.22,-150,3.18056676814453,1
Oc1c(Nc2ccc(cc2)[C@H](C#CC)O)cc(cc1)CCl	No_5_507,13/000000018,"InChI=1S/C17H16ClNO2/c1-2-3-16(20)13-5-7-14(8-6-13)19-15-10-12(11-18)4-9-17(15)21/h4-10,16,19-21H,11H2,1H3/t16-/m0/s1",C17H16NO2Cl,301,3.0,4.35,5.1,16.5,-170,3.02532583085609,1
Oc1noc(c1C)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_5_569,4/000000017,"InChI=1S/C13H15NO6/c1-7-10(20-14-12(7)16)5-3-9(13(17)18)11-4-2-8(6-15)19-11/h3-4,8,15H,2,5-6H2,1H3,(H,14,16)(H,17,18)/b9-3+/t8-/m0/s1",C13H14NO6,280,0.34,4.34,8.12,3.72,-170,4.304349775401706,0
