SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
N(CC[C@@H](N)C#Cc1cc(Cl)ccc1Cl)CCN	No_3_200;1/000000041;InChI=1S/C13H17Cl2N3/c14-11-2-4-13(15)10(9-11)1-3-12(17)5-7-18-8-6-16/h2,4,9,12,18H,5-8,16-17H2/t12-/m0/s1;C13H17N3Cl2;285;2.35;4.48;7.28;17.00;-150
Oc1cccc(c1Cl)C#C[C@@H](CC(=O)O)C1=CC(=O)CO1	No_2_170;1/000000002;InChI=1S/C15H11ClO5/c16-15-9(2-1-3-12(15)18)4-5-10(6-14(19)20)13-7-11(17)8-21-13/h1-3,7,10,18H,6,8H2,(H,19,20)/t10-/m0/s1;C15H10O5Cl;305;1.45;4.52;6.77;21.70;-150
c1c(Cl)cc(c(c1)Cl)C#C[C@@H](CCn1cc[nH]c1=[NH2])N	No_3_120;1/000000040;InChI=1S/C14H15Cl2N4/c15-11-2-4-13(16)10(9-11)1-3-12(17)5-7-20-8-6-19-14(20)18/h2,4,6,8-9,12,19H,5,7,17-18H2/t12-/m0/s1;C14H14N4Cl2;308;3.00;4.06;6.45;5.08;-150
OC(=O)[C@@H](C1=C(/C=C/CN)C(=O)CO1)c1nnc(o1)CCCCl	No_5_490;1/000000030;InChI=1S/C14H16ClN3O5/c15-5-1-4-10-17-18-13(23-10)11(14(20)21)12-8(3-2-6-16)9(19)7-22-12/h2-3,11H,1,4-7,16H2,(H,20,21)/b3-2+/t11-/m0/s1;C14H16N3O5Cl;341;0.75;4.43;7.49;3.84;-150
OC(=O)[C@@H](C1=CC(=O)CO1)c1nnc(o1)/C=C/CCCN	No_5_65;1/000000021;InChI=1S/C13H15N3O5/c14-5-3-1-2-4-10-15-16-12(21-10)11(13(18)19)9-6-8(17)7-20-9/h2,4,6,11H,1,3,5,7,14H2,(H,18,19)/b4-2+/t11-/m0/s1;C13H15N3O5;293;0.17;4.38;5.87;5.09;-150
OCC1=C(/C=C/[C@@](c2ccccc2)(N)O)C(=O)CO1	No_5_12;1/000000018;InChI=1S/C14H15NO4/c15-14(18,10-4-2-1-3-5-10)7-6-11-12(17)9-19-13(11)8-16/h1-7,16,18H,8-9,15H2/b7-6+/t14-/m1/s1;C14H15NO4;261;-0.18;4.30;4.30;3.58;-150
Oc1cccc(c1)[C@H](N)C#Cc1cc(Cl)ccc1Cl	No_2_197;1/000000017;InChI=1S/C15H11Cl2NO/c16-12-5-6-14(17)10(8-12)4-7-15(18)11-2-1-3-13(19)9-11/h1-3,5-6,8-9,15,19H,18H2/t15-/m1/s1;C15H11NOCl2;291;4.22;4.40;7.45;15.80;-168
OC(=O)[C@@H](C1=CC(=O)CO1)c1nnc(o1)/C=C/CCCN	No_4_493;1/000000009;InChI=1S/C13H15N3O5/c14-5-3-1-2-4-10-15-16-12(21-10)11(13(18)19)9-6-8(17)7-20-9/h2,4,6,11H,1,3,5,7,14H2,(H,18,19)/b4-2+/t11-/m0/s1;C13H15N3O5;293;0.17;4.18;4.22;5.09;-150
OC(=O)[C@@H](C1=C(C(=O)CO1)CN)c1nnc(o1)/C=C/CCC	No_4_622;1/000000013;InChI=1S/C14H17N3O5/c1-2-3-4-5-10-16-17-13(22-10)11(14(19)20)12-8(6-15)9(18)7-21-12/h4-5,11H,2-3,6-7,15H2,1H3,(H,19,20)/b5-4+/t11-/m0/s1;C14H17N3O5;307;0.41;4.14;6.32;5.09;-170
OC(=O)[C@@H](C1=CC(=O)CO1)c1nnc(o1)/C=C/CCCN	No_4_494;1/000000010;InChI=1S/C13H15N3O5/c14-5-3-1-2-4-10-15-16-12(21-10)11(13(18)19)9-6-8(17)7-20-9/h2,4,6,11H,1,3,5,7,14H2,(H,18,19)/b4-2+/t11-/m0/s1;C13H15N3O5;293;0.17;4.38;5.87;5.09;-150
OC(=O)c1c(ncn1CC/C=C/C1CCCC1)C(=O)N	No_2_543;1/000000046;InChI=1S/C14H19N3O3/c15-13(18)11-12(14(19)20)17(9-16-11)8-4-3-7-10-5-1-2-6-10/h3,7,9-10H,1-2,4-6,8H2,(H2,15,18)(H,19,20)/b7-3+;C14H19N3O3;277;1.11;4.08;1.90;2.35;-150
c1c(Cl)cc(c(c1)Cl)C#C[C@@H](CCn1cc[nH]c1=[NH2])N	No_3_119;1/000000039;InChI=1S/C14H15Cl2N4/c15-11-2-4-13(16)10(9-11)1-3-12(17)5-7-20-8-6-19-14(20)18/h2,4,6,8-9,12,19H,5,7,17-18H2/t12-/m0/s1;C14H14N4Cl2;308;3.00;4.27;6.52;5.08;-150
