SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC(=O)c1cc(c(cc1)C(=O)N)CC(=O)N([C@@H]1C=CCC1)C	No_4_534,5/000000047,"InChI=1S/C16H18N2O4/c1-18(12-4-2-3-5-12)14(19)9-11-8-10(16(21)22)6-7-13(11)15(17)20/h2,4,6-8,12H,3,5,9H2,1H3,(H2,17,20)(H,21,22)/t12-/m1/s1",C16H18N2O4,302,0.89,4.68,7.13,3.58,-170,3.1541818127215002,1
c1ccc(cc1)c1[nH]c(cc(=O)c1CC)CN	No_4_702,15/000000228,"InChI=1S/C14H16N2O/c1-2-12-13(17)8-11(9-15)16-14(12)10-6-4-3-5-7-10/h3-8H,2,9,15H2,1H3,(H,16,17)",C14H16N2O,228,1.92,4.68,6.64,3.58,-180,2.4051550433790165,1
OCc1cccnc1CC(=O)Cc1ccc(c(c1)I)c1n[nH]cc1	No_5_472,15/000000099,"InChI=1S/C18H16IN3O2/c19-16-9-12(3-4-15(16)17-5-7-21-22-17)8-14(24)10-18-13(11-23)2-1-6-20-18/h1-7,9,23H,8,10-11H2,(H,21,22)",C18H16N3O2I,433,2.96,4.68,8.27,20.9,-120,3.0864147437893497,1
Oc1c(ccc(c1)c1cc(=O)cc([nH]1)CCF)NC1=NCCO1	No_4_194,15/000000141,"InChI=1S/C16H16FN3O3/c17-4-3-11-8-12(21)9-14(19-11)10-1-2-13(15(22)7-10)20-16-18-5-6-23-16/h1-2,7-9,22H,3-6H2,(H,18,20)(H,19,21)",C16H16N3O3F,317,2.36,4.67,5.25,23.4,-160,3.2582719408060026,1
OCc1c(C(=O)O)[nH]c(cc1=O)c1ccc(cc1)Br	No_4_672,15/000000210,"InChI=1S/C13H10BrNO4/c14-8-3-1-7(2-4-8)10-5-11(17)9(6-16)12(15-10)13(18)19/h1-5,16H,6H2,(H,15,17)(H,18,19)",C13H10NO4Br,324,1.92,4.67,2.79,3.85,-160,2.4799882926369428,1
Oc1cc(C#CC(=O)O[C@H]2CN=C(C2)CO)cc(c1)CC(=O)O	No_4_420,1/000000172,"InChI=1S/C16H15NO6/c18-9-12-7-14(8-17-12)23-16(22)2-1-10-3-11(6-15(20)21)5-13(19)4-10/h3-5,14,18-19H,6-9H2,(H,20,21)/t14-/m1/s1",C16H15NO6,317,0.44,4.67,5.3,3.87,-150,3.874306305431654,1
OC/C(=C\CC1=CCNC1)/c1ccc2c(c1)[nH]c1c2ccnc1	No_4_192,13/000000001,"InChI=1S/C19H19N3O/c23-12-15(2-1-13-5-7-20-10-13)14-3-4-16-17-6-8-21-11-19(17)22-18(16)9-14/h2-6,8-9,11,20,22-23H,1,7,10,12H2/b15-2+",C19H19N3O,305,1.56,4.66,3.42,17.4,-200,3.285869410982883,1
OC(=O)Cc1cccc(c1)c1cc(=O)c(c([nH]1)CO)CC=C	No_4_670,15/000000208,"InChI=1S/C17H17NO4/c1-2-4-13-15(10-19)18-14(9-16(13)20)12-6-3-5-11(7-12)8-17(21)22/h2-3,5-7,9,19H,1,4,8,10H2,(H,18,20)(H,21,22)",C17H17NO4,299,1.59,4.65,5.21,5.09,-160,2.7484958666445127,1
OC(=O)c1c(ccc(c1)CCI)c1[nH]cc(c(=O)c1)C=C	No_4_264,15/000000154,"InChI=1S/C16H14INO3/c1-2-11-9-18-14(8-15(11)19)12-4-3-10(5-6-17)7-13(12)16(20)21/h2-4,7-9H,1,5-6H2,(H,18,19)(H,20,21)",C16H14NO3I,395,3.79,4.64,6.93,3.58,-160,2.992090835286282,1
N(c1ccc(cc1)c1[nH]c(cc(=O)c1CBr)CCF)C1=NCCO1	No_4_697,15/000000227,"InChI=1S/C17H17BrFN3O2/c18-10-14-15(23)9-13(5-6-19)21-16(14)11-1-3-12(4-2-11)22-17-20-7-8-24-17/h1-4,9H,5-8,10H2,(H,20,22)(H,21,23)",C17H17N3O2FBr,394,3.48,4.64,7.73,24.5,-160,3.2317291250602516,1
Oc1cc(cc(c1)C#CC(=O)O[C@H]1CN=C(C1)CO)NC(=O)C	No_4_552,1/000000180,"InChI=1S/C16H16N2O5/c1-10(20)18-12-4-11(5-14(21)6-12)2-3-16(22)23-15-7-13(9-19)17-8-15/h4-6,15,19,21H,7-9H2,1H3,(H,18,20)/t15-/m1/s1",C16H16N2O5,316,0.27,4.64,4.83,24.0,-170,3.818077940047039,1
C(=C)c1cccc(c1)c1cc(=O)cc([nH]1)CN	No_4_732,15/000000234,"InChI=1S/C14H14N2O/c1-2-10-4-3-5-11(6-10)14-8-13(17)7-12(9-15)16-14/h2-8H,1,9,15H2,(H,16,17)",C14H14N2O,226,2.03,4.63,3.64,2.22,-160,2.6984858126097873,1
OC(=O)c1c(O)cccc1C#CC(=O)OCCc1ccc(c(c1)F)F	No_3_507,1/000000085,"InChI=1S/C18H12F2O5/c19-13-6-4-11(10-14(13)20)8-9-25-16(22)7-5-12-2-1-3-15(21)17(12)18(23)24/h1-4,6,10,21H,8-9H2,(H,23,24)",C18H12O5F2,346,4.02,4.63,5.95,3.58,0,2.6446913699559076,1
c1c(=O)cc([nH]c1c1cccc(c1)CN)CN	No_4_184,15/000000140,"InChI=1S/C13H15N3O/c14-7-9-2-1-3-10(4-9)13-6-12(17)5-11(8-15)16-13/h1-6H,7-8,14-15H2,(H,16,17)",C13H15N3O,229,0.64,4.62,4.13,2.22,-160,2.525261774148248,1
c1ccc(cc1)c1[nH]c(cc(=O)c1CF)CN	No_4_472,15/000000168,"InChI=1S/C13H13FN2O/c14-7-11-12(17)6-10(8-15)16-13(11)9-4-2-1-3-5-9/h1-6H,7-8,15H2,(H,16,17)",C13H13N2OF,232,1.76,4.6,6.06,3.58,-160,2.60250023568671,1
OC(=O)CCNC(=O)c1cccc(c1)[C@H](CO)C=C	No_4_43,27/000000070,"InChI=1S/C14H17NO4/c1-2-10(9-16)11-4-3-5-12(8-11)14(19)15-7-6-13(17)18/h2-5,8,10,16H,1,6-7,9H2,(H,15,19)(H,17,18)/t10-/m0/s1",C14H17NO4,263,0.71,4.59,7.15,3.58,-150,2.7894727245030477,1
Oc1cc(c2coc(c2)CNCc2ccccc2)cc(c1)CO	No_4_119,1/000000135,"InChI=1S/C19H19NO3/c21-12-15-6-16(8-18(22)7-15)17-9-19(23-13-17)11-20-10-14-4-2-1-3-5-14/h1-9,13,20-22H,10-12H2",C19H19NO3,309,2.58,4.58,3.28,3.58,-120,2.348415777566256,1
Oc1cccc(c1)/C(=C\CO)/C(=O)O	No_4_647,5/000000049,"InChI=1S/C10H10O4/c11-5-4-9(10(13)14)7-2-1-3-8(12)6-7/h1-4,6,11-12H,5H2,(H,13,14)/b9-4+",C10H10O4,194,0.94,4.58,3.38,3.85,0,2.4686162132225036,1
OC(=O)CCNC(=O)c1cccc(c1)C[C@H](/C=C/C)O	No_3_590,27/000000033,"InChI=1S/C15H19NO4/c1-2-4-13(17)10-11-5-3-6-12(9-11)15(20)16-8-7-14(18)19/h2-6,9,13,17H,7-8,10H2,1H3,(H,16,20)(H,18,19)/b4-2+/t13-/m0/s1",C15H19NO4,277,1.35,4.57,3.55,3.58,-170,2.62679509008702,1
OC(=O)c1cc([nH]c1CC=C)[C@@H](c1cnc[nH]1)C(=O)O	No_3_68,19/000000002,"InChI=1S/C13H13N3O4/c1-2-3-8-7(12(17)18)4-9(16-8)11(13(19)20)10-5-14-6-15-10/h2,4-6,11,16H,1,3H2,(H,14,15)(H,17,18)(H,19,20)/t11-/m0/s1",C13H13N3O4,275,0.08,4.57,5.95,3.58,-150,3.8743108942828233,1
Oc1cc(C#CC(=O)OCCN2C=CCC2)cc(c1)CO	No_2_153,1/000000009,"InChI=1S/C16H17NO4/c18-12-14-9-13(10-15(19)11-14)3-4-16(20)21-8-7-17-5-1-2-6-17/h1,5,9-11,18-19H,2,6-8,12H2",C16H17NO4,287,2.24,4.56,4.45,19.8,0,3.2471674665860153,1
OCc1cc(ccc1CCF)c1cc(=O)cc([nH]1)COC	No_4_374,15/000000164,"InChI=1S/C16H18FNO3/c1-21-10-14-7-15(20)8-16(18-14)12-3-2-11(4-5-17)13(6-12)9-19/h2-3,6-8,19H,4-5,9-10H2,1H3,(H,18,20)",C16H18NO3F,291,1.98,4.56,4.42,3.72,-180,2.8588277143043985,1
Oc1cc(C#CC(=O)OCCN2C=CCC2)cc(c1)C(=O)NC	No_3_66,1/000000054,"InChI=1S/C17H18N2O4/c1-18-17(22)14-10-13(11-15(20)12-14)4-5-16(21)23-9-8-19-6-2-3-7-19/h2,6,10-12,20H,3,7-9H2,1H3,(H,18,22)",C17H18N2O4,314,2.46,4.56,3.47,3.58,-40,3.1606422581809337,1
Oc1ncc(cc1NC(=O)c1cccc(c1)Br)C(=O)NCC(=O)C	No_4_512,27/000000089,"InChI=1S/C16H14BrN3O4/c1-9(21)7-18-14(22)11-6-13(16(24)19-8-11)20-15(23)10-3-2-4-12(17)5-10/h2-6,8H,7H2,1H3,(H,18,22)(H,19,24)(H,20,23)",C16H14N3O4Br,392,1.91,4.56,3.91,3.58,-20,2.343544692101906,1
c1cc(c(cc1CC(=O)C/C=C\CN)I)c1n[nH]cc1	No_4_186,15/000000019,"InChI=1S/C15H16IN3O/c16-14-10-11(9-12(20)3-1-2-7-17)4-5-13(14)15-6-8-18-19-15/h1-2,4-6,8,10H,3,7,9,17H2,(H,18,19)/b2-1-",C15H16N3OI,381,3.05,4.55,7.5,19.9,-120,3.3928939330432595,1
OC(=O)c1cc(cc(c1)CC(=O)N([C@@H]1C=CCC1)C)CN	No_4_665,5/000000050,"InChI=1S/C16H20N2O3/c1-18(14-4-2-3-5-14)15(19)9-11-6-12(10-17)8-13(7-11)16(20)21/h2,4,6-8,14H,3,5,9-10,17H2,1H3,(H,20,21)/t14-/m1/s1",C16H20N2O3,288,1.13,4.55,6.19,3.58,-170,3.2200257364443665,1
