SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OC(=O)C[C@H](c1ncc(cc1F)Br)OCN	No_1_374;21/000000001;InChI=1S/C9H10BrFN2O3/c10-5-1-6(11)9(13-3-5)7(16-4-12)2-8(14)15/h1,3,7H,2,4,12H2,(H,14,15)/t7-/m1/s1;C9H10N2O3FBr;293;0.53;4.12;3.74;3.72;-150
c1nc([nH]n1)c1ccc(c(c1)CN)OC/C=C\C	No_3_17;21/000000007;InChI=1S/C13H16N4O/c1-2-3-6-18-12-5-4-10(7-11(12)8-14)13-15-9-16-17-13/h2-5,7,9H,6,8,14H2,1H3,(H,15,16,17)/b3-2-;C13H16N4O;244;1.85;4.37;6.44;17.10;-140
c1nc([nH]n1)c1ccc(c(c1)CN)OCC(=O)C	No_2_381;21/000000003;InChI=1S/C12H14N4O2/c1-8(17)6-18-11-3-2-9(4-10(11)5-13)12-14-7-15-16-12/h2-4,7H,5-6,13H2,1H3,(H,14,15,16);C12H14N4O2;246;0.57;4.03;5.36;17.70;-140
c1nc([nH]n1)c1ccc(c(c1)CN)OCC(=O)CC	No_3_75;21/000000012;InChI=1S/C13H16N4O2/c1-2-11(18)7-19-12-4-3-9(5-10(12)6-14)13-15-8-16-17-13/h3-5,8H,2,6-7,14H2,1H3,(H,15,16,17);C13H16N4O2;260;0.83;4.09;5.11;18.30;-140
C#CCOc1ccc(cc1CN)c1ncn[nH]1	No_2_256;21/000000002;InChI=1S/C12H12N4O/c1-2-5-17-11-4-3-9(6-10(11)7-13)12-14-8-15-16-12/h1,3-4,6,8H,5,7,13H2,(H,14,15,16);C12H12N4O;228;1.19;4.05;4.62;18.30;-120
C#CCOc1ccc(cc1CN)c1ncn[nH]1	No_3_56;21/000000009;InChI=1S/C12H12N4O/c1-2-5-17-11-4-3-9(6-10(11)7-13)12-14-8-15-16-12/h1,3-4,6,8H,5,7,13H2,(H,14,15,16);C12H12N4O;228;1.19;4.05;4.62;18.30;-120
OC(=O)COc1ccc(cc1CN)c1ncn[nH]1	No_3_626;21/000000018;InChI=1S/C11H12N4O3/c12-4-8-3-7(11-13-6-14-15-11)1-2-9(8)18-5-10(16)17/h1-3,6H,4-5,12H2,(H,16,17)(H,13,14,15);C11H12N4O3;248;0.31;4.06;5.38;18.30;-120
OCC(=O)c1ccc(c(c1)C[NH3+])OCC	No_3_156;21/000000013;InChI=1S/C11H15NO3/c1-2-15-11-4-3-8(10(14)7-13)5-9(11)6-12/h3-5,13H,2,6-7,12H2,1H3/p+1;C11H16NO3;210;0.29;4.07;4.72;3.58;-20
c1nc([nH]n1)c1ccc(c(c1)CN)Oc1ccccc1F	No_3_558;21/000000017;InChI=1S/C15H13FN4O/c16-12-3-1-2-4-14(12)21-13-6-5-10(7-11(13)8-17)15-18-9-19-20-15/h1-7,9H,8,17H2,(H,18,19,20);C15H13N4OF;284;2.65;4.35;6.60;19.20;-120
OCc1c(Oc2ccccc2)ccc(c1)c1ncn[nH]1	No_3_67;21/000000010;InChI=1S/C15H13N3O2/c19-9-12-8-11(15-16-10-17-18-15)6-7-14(12)20-13-4-2-1-3-5-13/h1-8,10,19H,9H2,(H,16,17,18);C15H13N3O2;267;2.56;4.04;6.48;16.30;-120
Oc1ccc(cc1C(=O)CC1=CC=C[C@@H]1CO)C=C	No_2_205;22/000000001;InChI=1S/C16H16O3/c1-2-11-6-7-15(18)14(8-11)16(19)9-12-4-3-5-13(12)10-17/h2-8,13,17-18H,1,9-10H2/t13-/m1/s1;C16H16O3;256;1.20;4.01;4.80;5.09;-150
Oc1c(Cl)cnc(c1)OC[C@@H](c1nc(c[nH]1)Cl)O	No_3_662;24/000000003;InChI=1S/C10H9Cl2N3O3/c11-5-2-13-9(1-6(5)16)18-4-7(17)10-14-3-8(12)15-10/h1-3,7,17H,4H2,(H,13,16)(H,14,15)/t7-/m0/s1;C10H9N3O3Cl2;289;1.63;4.15;4.39;3.58;-150
Oc1c(Cl)cnc(c1)OC[C@@H](c1nc(c[nH]1)Cl)O	No_3_660;24/000000001;InChI=1S/C10H9Cl2N3O3/c11-5-2-13-9(1-6(5)16)18-4-7(17)10-14-3-8(12)15-10/h1-3,7,17H,4H2,(H,13,16)(H,14,15)/t7-/m0/s1;C10H9N3O3Cl2;289;1.63;4.10;4.09;3.58;-150
Oc1c(Cl)cnc(c1)OC[C@@H](c1nc(c[nH]1)Cl)O	No_3_661;24/000000002;InChI=1S/C10H9Cl2N3O3/c11-5-2-13-9(1-6(5)16)18-4-7(17)10-14-3-8(12)15-10/h1-3,7,17H,4H2,(H,13,16)(H,14,15)/t7-/m0/s1;C10H9N3O3Cl2;289;1.63;4.05;5.23;3.58;-150
N/C=C/[C@@H](c1ccc(c(c1)F)Cl)c1n[nH]c(=O)o1	No_4_178;25/000000005;InChI=1S/C11H9ClFN3O2/c12-8-2-1-6(5-9(8)13)7(3-4-14)10-15-16-11(17)18-10/h1-5,7H,14H2,(H,16,17)/b4-3+/t7-/m0/s1;C11H9N3O2FCl;269;2.74;4.21;4.41;20.40;-150
OCC(=O)[C@@H](c1ccc(c(c1)F)Cl)c1n[nH]c(=O)o1	No_5_343;25/000000011;InChI=1S/C11H8ClFN2O4/c12-6-2-1-5(3-7(6)13)9(8(17)4-16)10-14-15-11(18)19-10/h1-3,9,16H,4H2,(H,15,18)/t9-/m1/s1;C11H8N2O4FCl;286;1.48;4.14;6.35;21.40;-150
N/C=C/[C@@H](c1ccc(c(c1)F)Cl)c1n[nH]c(=O)o1	No_4_177;25/000000004;InChI=1S/C11H9ClFN3O2/c12-8-2-1-6(5-9(8)13)7(3-4-14)10-15-16-11(17)18-10/h1-5,7H,14H2,(H,16,17)/b4-3+/t7-/m0/s1;C11H9N3O2FCl;269;2.74;4.30;4.60;20.40;-150
OCC(=O)[C@@H](c1ccc(c(c1)F)Cl)c1n[nH]c(=O)o1	No_5_340;25/000000008;InChI=1S/C11H8ClFN2O4/c12-6-2-1-5(3-7(6)13)9(8(17)4-16)10-14-15-11(18)19-10/h1-3,9,16H,4H2,(H,15,18)/t9-/m1/s1;C11H8N2O4FCl;286;1.48;4.09;6.12;21.40;-150
Oc1nocc1[C@@H](CO)c1ccc(c(c1)F)Cl	No_5_391;25/000000014;InChI=1S/C11H9ClFNO3/c12-9-2-1-6(3-10(9)13)7(4-15)8-5-17-14-11(8)16/h1-3,5,7,15H,4H2,(H,14,16)/t7-/m0/s1;C11H9NO3FCl;257;2.20;4.14;4.99;17.80;-150
Oc1nocc1[C@@H](CO)c1ccc(c(c1)F)Cl	No_5_394;25/000000015;InChI=1S/C11H9ClFNO3/c12-9-2-1-6(3-10(9)13)7(4-15)8-5-17-14-11(8)16/h1-3,5,7,15H,4H2,(H,14,16)/t7-/m0/s1;C11H9NO3FCl;257;2.20;4.07;3.97;17.80;-150
Oc1nocc1[C@H](c1ccc(c(c1)F)Cl)/C=C\N	No_5_297;25/000000006;InChI=1S/C12H10ClFN2O2/c13-10-2-1-7(5-11(10)14)8(3-4-15)9-6-18-16-12(9)17/h1-6,8H,15H2,(H,16,17)/b4-3-/t8-/m0/s1;C12H10N2O2FCl;268;2.94;4.35;5.79;19.60;-150
OC[C@@H](CCc1cc(=O)nc([nH]1)CN)Cc1nonc1	No_3_255;25/000000016;InChI=1S/C12H17N5O3/c13-5-11-15-9(4-12(19)16-11)2-1-8(7-18)3-10-6-14-20-17-10/h4,6,8,18H,1-3,5,7,13H2,(H,15,16,19)/t8-/m0/s1;C12H17N5O3;279;-0.07;4.03;4.37;3.72;-150
O[C@@H](Cc1onc(c1)C(=C)C)c1cc(=O)nc([nH]1)CO	No_3_598;25/000000020;InChI=1S/C13H15N3O4/c1-7(2)9-3-8(20-16-9)4-11(18)10-5-13(19)15-12(6-17)14-10/h3,5,11,17-18H,1,4,6H2,2H3,(H,14,15,19)/t11-/m0/s1;C13H15N3O4;277;-0.34;4.19;2.87;3.85;-170
O[C@@H](Cc1onc(c1)C(=C)C)c1cc(=O)nc([nH]1)CO	No_3_597;25/000000019;InChI=1S/C13H15N3O4/c1-7(2)9-3-8(20-16-9)4-11(18)10-5-13(19)15-12(6-17)14-10/h3,5,11,17-18H,1,4,6H2,2H3,(H,14,15,19)/t11-/m0/s1;C13H15N3O4;277;-0.34;4.24;3.10;3.85;-170
O[C@@H](Cc1onc(c1)C(=C)C)c1cc(=O)nc([nH]1)CO	No_3_601;25/000000022;InChI=1S/C13H15N3O4/c1-7(2)9-3-8(20-16-9)4-11(18)10-5-13(19)15-12(6-17)14-10/h3,5,11,17-18H,1,4,6H2,2H3,(H,14,15,19)/t11-/m0/s1;C13H15N3O4;277;-0.34;4.16;3.06;3.85;-170
Oc1nocc1[C@H](c1ccc(c(c1)F)Cl)/C=C\N	No_5_298;25/000000007;InChI=1S/C12H10ClFN2O2/c13-10-2-1-7(5-11(10)14)8(3-4-15)9-6-18-16-12(9)17/h1-6,8H,15H2,(H,16,17)/b4-3-/t8-/m0/s1;C12H10N2O2FCl;268;2.94;4.26;5.69;19.60;-150
Oc1[nH]nc(c1)[C@H](C(=O)Cc1ccc(c(c1)F)Cl)c1cnn[nH]1	No_2_119;25/000000001;InChI=1S/C14H11ClFN5O2/c15-8-2-1-7(3-9(8)16)4-12(22)14(11-6-17-21-19-11)10-5-13(23)20-18-10/h1-3,5-6,14H,4H2,(H,17,19,21)(H2,18,20,23)/t14-/m0/s1;C14H11N5O2FCl;335;2.24;4.44;2.94;4.94;-150
Oc1cc(ccc1CC#CCO)[C@@H](CCC)N	No_1_358;25/000000023;InChI=1S/C14H19NO2/c1-2-5-13(15)12-8-7-11(14(17)10-12)6-3-4-9-16/h7-8,10,13,16-17H,2,5-6,9,15H2,1H3/t13-/m1/s1;C14H19NO2;233;1.64;4.06;-0.09;3.58;-170
OCC(=O)[C@@H](c1ccc(c(c1)F)Cl)c1n[nH]c(=O)o1	No_5_344;25/000000012;InChI=1S/C11H8ClFN2O4/c12-6-2-1-5(3-7(6)13)9(8(17)4-16)10-14-15-11(18)19-10/h1-3,9,16H,4H2,(H,15,18)/t9-/m1/s1;C11H8N2O4FCl;286;1.48;4.09;6.12;21.40;-150
O[C@@H](Cc1onc(c1)C(=C)C)c1cc(=O)nc([nH]1)CO	No_3_600;25/000000021;InChI=1S/C13H15N3O4/c1-7(2)9-3-8(20-16-9)4-11(18)10-5-13(19)15-12(6-17)14-10/h3,5,11,17-18H,1,4,6H2,2H3,(H,14,15,19)/t11-/m0/s1;C13H15N3O4;277;-0.34;4.09;3.07;3.85;-170
N/C=C/[C@@H](c1ccc(c(c1)F)Cl)c1n[nH]c(=O)o1	No_4_176;25/000000003;InChI=1S/C11H9ClFN3O2/c12-8-2-1-6(5-9(8)13)7(3-4-14)10-15-16-11(17)18-10/h1-5,7H,14H2,(H,16,17)/b4-3+/t7-/m0/s1;C11H9N3O2FCl;269;2.74;4.26;4.76;20.40;-150
N/C=C/[C@@H](c1ccc(c(c1)F)Cl)c1n[nH]c(=O)o1	No_4_175;25/000000002;InChI=1S/C11H9ClFN3O2/c12-8-2-1-6(5-9(8)13)7(3-4-14)10-15-16-11(17)18-10/h1-5,7H,14H2,(H,16,17)/b4-3+/t7-/m0/s1;C11H9N3O2FCl;269;2.74;4.32;5.27;20.40;-150
OCC(=O)[C@@H](c1ccc(c(c1)F)Cl)c1n[nH]c(=O)o1	No_5_341;25/000000009;InChI=1S/C11H8ClFN2O4/c12-6-2-1-5(3-7(6)13)9(8(17)4-16)10-14-15-11(18)19-10/h1-3,9,16H,4H2,(H,15,18)/t9-/m1/s1;C11H8N2O4FCl;286;1.48;4.13;6.36;21.40;-150
O[C@@H](Cc1onc(c1)C(=C)C)c1cc(=O)nc([nH]1)CO	No_3_595;25/000000018;InChI=1S/C13H15N3O4/c1-7(2)9-3-8(20-16-9)4-11(18)10-5-13(19)15-12(6-17)14-10/h3,5,11,17-18H,1,4,6H2,2H3,(H,14,15,19)/t11-/m0/s1;C13H15N3O4;277;-0.34;4.16;3.23;3.85;-170
OCC(=O)[C@@H](c1ccc(c(c1)F)Cl)c1n[nH]c(=O)o1	No_5_345;25/000000013;InChI=1S/C11H8ClFN2O4/c12-6-2-1-5(3-7(6)13)9(8(17)4-16)10-14-15-11(18)19-10/h1-3,9,16H,4H2,(H,15,18)/t9-/m1/s1;C11H8N2O4FCl;286;1.48;4.13;6.28;21.40;-150
O[C@@H](Cc1onc(c1)C(=C)C)c1cc(=O)nc([nH]1)CO	No_3_594;25/000000017;InChI=1S/C13H15N3O4/c1-7(2)9-3-8(20-16-9)4-11(18)10-5-13(19)15-12(6-17)14-10/h3,5,11,17-18H,1,4,6H2,2H3,(H,14,15,19)/t11-/m0/s1;C13H15N3O4;277;-0.34;4.26;2.46;3.85;-170
OCC(=O)[C@@H](c1ccc(c(c1)F)Cl)c1n[nH]c(=O)o1	No_5_342;25/000000010;InChI=1S/C11H8ClFN2O4/c12-6-2-1-5(3-7(6)13)9(8(17)4-16)10-14-15-11(18)19-10/h1-3,9,16H,4H2,(H,15,18)/t9-/m1/s1;C11H8N2O4FCl;286;1.48;4.10;6.13;21.40;-150
O=C(/C=C/c1n[nH]cc1Cl)OC[C@H]1NC(=O)C=C1	No_5_62;26/000000001;InChI=1S/C11H10ClN3O3/c12-8-5-13-15-9(8)2-4-11(17)18-6-7-1-3-10(16)14-7/h1-5,7H,6H2,(H,13,15)(H,14,16)/b4-2+/t7-/m0/s1;C11H10N3O3Cl;267;1.13;4.01;3.46;3.58;-150
OC(=O)CCNC(=O)c1ccc(cc1O)O	No_4_357;27/000000081;InChI=1S/C10H11NO5/c12-6-1-2-7(8(13)5-6)10(16)11-4-3-9(14)15/h1-2,5,12-13H,3-4H2,(H,11,16)(H,14,15);C10H11NO5;225;0.16;4.02;5.34;3.58;0
OC(=O)CCNC(=O)c1cccc(c1)[C@H](CO)C=C	No_3_646;27/000000043;InChI=1S/C14H17NO4/c1-2-10(9-16)11-4-3-5-12(8-11)14(19)15-7-6-13(17)18/h2-5,8,10,16H,1,6-7,9H2,(H,15,19)(H,17,18)/t10-/m0/s1;C14H17NO4;263;0.71;4.59;7.15;3.58;-150
OC(=O)CCNC(=O)c1cccc(c1)CC=C	No_2_8;27/000000005;InChI=1S/C13H15NO3/c1-2-4-10-5-3-6-11(9-10)13(17)14-8-7-12(15)16/h2-3,5-6,9H,1,4,7-8H2,(H,14,17)(H,15,16);C13H15NO3;233;1.63;4.01;6.27;3.58;0
