ID,library,SMILES,Name,Formula,MW,LogP,pKd,score,z_pkd,z_vina,consensus_z,SA_Score,Structure,Synthesize,Chemical,Dataset
Druglike_1830,Druglike,CC(=O)NC1=C(C#CC(=O)OCC(F)F)C=CC=C1O,1/000000004,C13H11NO4F2,283.0,2.24,4.36,-8.276,-0.09381628215682498,-0.0021629912751413376,-0.047989636715983164,2.961667077442719,5.94,23.0,-170.0,DRUGLIKE_MAYBRIDGE
HighDiv_705,HighDiv,C/C=C/CCCC1=CC(O)=CC(N2CCNC2=O)=C1,28/000000030,C15H20N2O2,260.0,1.94,4.3,-8.435,-0.2699796674520907,0.17320406552058343,-0.048387800965753625,2.6774643281399015,1.39,15.4,-160.0,HIGHDIVERSITY_CONCAT
Druglike_1502,Druglike,O=C1NCC=C1C#C[C@H](C(=O)O)C1=NON=C1,20/000000112,C10H7N3O4,233.0,0.45,4.3,-8.435,-0.2699796674520907,0.17320406552058343,-0.048387800965753625,4.650734075836837,3.1,3.58,-150.0,DRUGLIKE_LANAPDB
Druglike_1196,Druglike,C/C(=C\C1=NN=C([C@@H](C(=O)O)C2=CC(=O)CO2)O1)CCCN,1/000000033,C14H17N3O5,307.0,0.02,4.41,-8.142,0.052986538922561374,-0.14995661146776446,-0.04848503627260154,4.190600703011538,6.56,6.77,-170.0,DRUGLIKE_CRAFT
Druglike_368,Druglike,NCC1=C[C@@H](/C=C/C2=CN=CC(Br)=C2)NC(CO)=C1,13/000000048,C14H17N3OBr,323.0,0.56,4.38,-8.221,-0.03509515372507148,-0.0628245518019638,-0.048959852763517636,4.6724161170079785,5.92,2.35,-150.0,DRUGLIKE_CONCAT
Druglike_656,Druglike,CCNC1=CC(OC(=O)C2=CC=C(OCC)C(O)=C2)=C(Cl)N=C1,3/000000255,C16H17N2O4Cl,336.0,2.98,4.18,-8.752,-0.6223064380426195,0.5228352416479076,-0.04973559819735596,2.3478842441276804,6.79,17.7,-80.0,DRUGLIKE_CONCAT
HighDiv_2009,HighDiv,OC1=CN=C(I)C(/C=C/[C@@H](Cl)C2=CN=CN2)=C1S,30/000000183,C11H9N3OSClI,393.0,2.4,4.7,-7.367,0.9044429011830054,-1.0047331461639029,-0.050145122490448724,4.47784434306512,7.47,3.58,-150.0,HIGHDIVERSITY_MAYBRIDGE
Druglike_901,Druglike,CCNC(=O)CC#CCC1=C(Cl)C2=C(C=C1)CNNC2,15/000000023,C15H18N3OCl,291.0,2.72,4.06,-9.07,-0.9746332086331483,0.8735693552393552,-0.050531926696896545,3.510141706322612,0.87,3.7,-120.0,DRUGLIKE_CONCAT
Druglike_704,Druglike,O=C(C#CC1=CC=CC=C1)C1=CCC(CO)=CN1,23/000000292,C15H13NO2,239.0,2.34,4.16,-8.803,-0.681027566474373,0.5790850523182343,-0.050971257078069376,3.2167589171161755,2.43,3.58,-40.0,DRUGLIKE_CONCAT
Druglike_179,Druglike,OCCCCC1=CC(O)=CC(C2=NNN=C2)=C1,28/000000231,C12H15N3O2,233.0,2.67,4.61,-7.605,0.6401978232401094,-0.7422340297023784,-0.05101810323113448,2.571476314964576,1.7,16.2,-120.0,DRUGLIKE_CONCAT
Druglike_1794,Druglike,C=CC1=C([C@H](N)C2=CC=CC=C2)C=C(C(=O)O)N1,5/000000029,C14H15N2O2,243.0,1.59,4.45,-8.03,0.17042879578607098,-0.2734856074496582,-0.05152840583179362,3.7114292661420425,5.82,16.8,-150.0,DRUGLIKE_MAYBRIDGE
Druglike_213,Druglike,C=C(CCC)[C@H](O)C1=NC(O)=NC=C1C(=O)O,29/000000223,C11H14N2O4,238.0,-0.11,4.55,-7.763,0.46403443794484367,-0.567969910370779,-0.051967736212967686,3.78335426814453,6.9,3.72,-170.0,DRUGLIKE_CONCAT
