series_id;core_smiles;count;mean_activity;x_mean;y_mean;mol_ids
AS-61;c1ccc([SH+]c2ccc3sccc3c2)cc1;8;2.597922022342522;-73.217545;-18.934454;HighDiv_1581, HighDiv_1580, HighDiv_1586, HighDiv_1582, HighDiv_1583, HighDiv_1584, HighDiv_1589, HighDiv_1613
AS-62;c1ccc(-c2ccccn2)cc1;8;-0.05340389722398184;-10.661003;-25.199215;HighDiv_1198, HighDiv_1201, HighDiv_1357, HighDiv_1376, Druglike_829, HighDiv_1542, HighDiv_1381, HighDiv_1432
AS-63;C1=COC(CCc2ccccn2)=CC1;8;0.07436189956876335;-51.118584;-15.03451;Druglike_150, Druglike_742, Druglike_459, Druglike_311, Druglike_500, Druglike_560, Druglike_959, Druglike_639
AS-64;c1ccc2c(c1)CNNC2;8;-0.04333018708117842;16.140438;29.839685;Druglike_95, Druglike_227, Druglike_601, Druglike_185, Druglike_901, Druglike_745, Druglike_648, Druglike_677
AS-65;c1ccc(Cc2ccoc2)nc1;8;0.6035997663006724;-35.141975;18.015863;Druglike_3, Druglike_40, Druglike_61, Druglike_31, Druglike_115, Druglike_219, Druglike_215, Druglike_551
AS-66;C=C(c1cnccn1)c1cn[nH]n1;7;-0.42059928458508694;-30.278744;-10.988129;Druglike_1430, Druglike_1483, Druglike_1460, Druglike_1569, Druglike_1601, Druglike_1592, Druglike_1618
AS-67;c1ccc(-c2cc[nH]n2)cc1;7;-0.18624028179147292;0.60300815;-20.28955;HighDiv_1269, Druglike_1770, HighDiv_1398, HighDiv_1546, HighDiv_1495, HighDiv_1908, HighDiv_1485
AS-68;c1ccc(-c2nnco2)cc1;7;-0.8070129880947788;-15.022357;-9.77999;HighDiv_1798, HighDiv_1279, HighDiv_2303, HighDiv_1910, HighDiv_1884, HighDiv_961, HighDiv_1132
AS-69;c1ccc(-c2nnco2)nc1;7;-0.2306421833919848;-24.419577;-39.607456;Druglike_177, Druglike_327, Druglike_719, Druglike_860, Druglike_811, Druglike_1026, Druglike_973
AS-70;O=C(Oc1ccccc1)c1ccccc1;7;-0.13967549511170124;2.988651;-4.674721;Druglike_1819, HighDiv_1734, Druglike_720, Druglike_664, Druglike_1923, Druglike_1903, Druglike_1844
AS-71;C(#Cc1ccccc1)Cn1cccn1;7;0.5903016056093006;2.420903;35.71363;HighDiv_1253, HighDiv_1329, HighDiv_1265, HighDiv_1260, HighDiv_1335, HighDiv_1385, HighDiv_1393
AS-72;c1cc(-c2cnn[nH]2)[nH]n1;7;-0.6715108653657275;-18.871561;-13.573689;Druglike_154, Druglike_807, Druglike_440, Druglike_622, Druglike_611, Druglike_750, Druglike_939
AS-73;c1ccc(-c2ccn[nH]2)nc1;7;-0.29350160896484934;32.57671;-42.424564;Druglike_160, Druglike_697, Druglike_438, Druglike_714, Druglike_934, Druglike_764, Druglike_1022
AS-74;O=c1cccc(-c2cnoc2)o1;6;-0.1620277392208267;-23.827738;37.973602;Druglike_1453, Druglike_1466, Druglike_1531, Druglike_1561, Druglike_1597, Druglike_1652
AS-75;c1cc(CCc2cncnc2)cc(-c2cn[nH]n2)c1;6;0.7168264005943658;-17.358234;28.776876;Druglike_136, Druglike_111, Druglike_121, Druglike_166, Druglike_328, Druglike_376
AS-76;c1ccc(-c2cnco2)nc1;6;-0.6870446618690229;17.017927;-53.979305;Druglike_579, Druglike_462, Druglike_665, Druglike_304, Druglike_746, Druglike_555
AS-77;O=C(Nc1cccnc1)c1ccccc1;6;0.768024867901898;40.24676;20.82731;Druglike_1769, Druglike_1788, Druglike_1858, Druglike_1829, Druglike_1849, Druglike_1841
AS-78;c1ccc(-c2nc[nH]n2)cc1;6;0.022990020385982413;-11.374752;-6.200935;Druglike_341, Druglike_353, Druglike_598, Druglike_342, Druglike_749, Druglike_2018
AS-79;O=C1NCC(C=Cc2ccccc2)N1;6;-0.19447248295714295;30.617975;28.854334;HighDiv_946, Druglike_412, Druglike_274, Druglike_652, Druglike_597, Druglike_545
AS-80;c1cc2c(cc1CCNCCc1cnon1)NCO2;6;-0.11276130581606551;-7.4294124;71.20407;Druglike_343, Druglike_620, Druglike_752, Druglike_814, Druglike_709, Druglike_995
AS-81;c1cc(OCc2nnc[nH]2)ccn1;6;0.44319416933301015;-24.123789;-6.832638;Druglike_162, Druglike_76, Druglike_172, Druglike_144, Druglike_408, Druglike_688
AS-82;C(=Cc1ncn[nH]1)Cc1nnc[nH]1;6;-0.09226883795553463;-45.942856;4.3455014;HighDiv_322, HighDiv_616, HighDiv_514, HighDiv_607, HighDiv_774, HighDiv_1112
AS-83;O=C1CC(C=C2C=Cc3ccccc32)=NN1;6;0.3104983975635593;6.4305477;-29.89498;Druglike_1099, Druglike_1238, Druglike_1303, Druglike_1290, Druglike_1249, Druglike_1255
AS-84;C1=Nc2ccc(Nc3ccccc3)cc2C1;6;0.36638150908278816;43.66696;11.284442;HighDiv_798, HighDiv_762, HighDiv_628, HighDiv_716, HighDiv_1069, HighDiv_1005
AS-85;c1cncc(-c2cc[nH]c2)c1;6;-0.845681940451645;-44.844563;-2.9431646;HighDiv_2098, HighDiv_1034, HighDiv_2257, HighDiv_2191, HighDiv_2230, HighDiv_1522
AS-86;c1ccc(CCCn2ccnn2)cc1;6;-0.2356045744789106;-9.148974;-14.228313;Druglike_1449, Druglike_1491, Druglike_1586, Druglike_1537, Druglike_1552, Druglike_1606
AS-87;c1ccn(CCc2cnon2)c1;6;1.0841359194061517;-41.296524;16.866053;Druglike_1377, Druglike_1380, Druglike_1393, Druglike_1399, Druglike_1401, Druglike_1408
AS-88;C1=CC(c2ccccc2)=CC1;6;0.042697988450220735;17.290442;13.92765;HighDiv_1271, HighDiv_1323, HighDiv_1312, HighDiv_1392, HighDiv_1389, HighDiv_1812
AS-89;c1ccc2[nH]ncc2c1;6;-0.9612579336205588;-9.589714;-8.553678;HighDiv_1406, HighDiv_1516, HighDiv_1530, HighDiv_1489, HighDiv_1557, HighDiv_1498
AS-90;C(=Cc1cccc(-c2ncn[nH]2)n1)c1cccnc1;6;1.449890873009468;0.6673873;-77.46409;HighDiv_94, HighDiv_121, HighDiv_170, HighDiv_25, HighDiv_46, HighDiv_65
AS-91;C(#Cc1cccc(-c2cn[nH]c2)c1)c1ccccc1;5;1.1631867313658513;-20.019861;-5.020108;Druglike_118, Druglike_326, Druglike_287, Druglike_495, Druglike_589
AS-92;c1ccc2occc2c1;5;-0.7166583190786592;-3.2473412;3.1736934;Druglike_1713, HighDiv_1465, Druglike_1661, HighDiv_626, HighDiv_1015
AS-93;O=C1CNc2c(cccc2C(=O)Nc2ccccc2)N1;5;0.8503865693183219;22.394236;35.517933;HighDiv_1278, HighDiv_1332, HighDiv_1324, HighDiv_1373, HighDiv_1454
AS-94;c1c[nH]c(-c2nnn[nH]2)c1;5;-0.5630905299498521;-20.544537;-19.48544;Druglike_711, Druglike_602, Druglike_1019, Druglike_845, Druglike_976
AS-95;O=C(Nc1ccccc1)c1ccccc1;5;0.6833176603826574;31.985275;10.007485;HighDiv_1625, HighDiv_1661, HighDiv_411, HighDiv_279, HighDiv_729
AS-96;c1c[nH]cn1;5;-0.6097717563698065;-5.2415123;11.432318;HighDiv_1993, HighDiv_2039, HighDiv_923, HighDiv_1113, Druglike_1677
AS-97;O=C1C=C(C#Cc2ccccc2)CCO1;5;0.8660276982431817;41.275448;41.529194;HighDiv_2022, HighDiv_2024, HighDiv_2182, HighDiv_2001, HighDiv_2180
AS-98;c1ccc([SH+]c2ccc3c(c2)CNC3)cc1;5;1.2208646807178778;-67.685074;-20.716328;HighDiv_1608, HighDiv_1658, HighDiv_1654, HighDiv_1652, HighDiv_1706
AS-99;O=C(c1ccccc1)c1ncn[nH]1;5;0.29903182021166097;30.400646;2.779958;HighDiv_87, HighDiv_244, Druglike_1161, Druglike_1140, HighDiv_1073
AS-100;C(=Cc1ncc[nH]1)c1cccnc1;5;-0.030211051877741292;-63.997498;-0.56291467;HighDiv_1997, HighDiv_2031, HighDiv_2033, HighDiv_2137, HighDiv_2319
AS-101;c1cc(-c2cnon2)ncn1;5;-0.40903713789922946;-33.710705;-2.7394497;Druglike_187, Druglike_204, Druglike_526, Druglike_958, Druglike_855
AS-102;O=C(Oc1cccnc1)c1ccccc1;5;0.08694262588226716;19.189882;16.137655;Druglike_103, Druglike_248, Druglike_656, Druglike_1009, Druglike_925
AS-103;c1cc(Cc2cc[nH]n2)ncn1;5;-0.43229336053982886;-39.67849;1.5106595;Druglike_619, Druglike_847, Druglike_982, Druglike_998, Druglike_816
AS-104;c1ccn(CCc2ccno2)c1;5;2.110836269342383;-42.61405;16.425833;Druglike_1369, Druglike_1370, Druglike_1372, Druglike_1371, Druglike_1373
AS-105;O=C1CNc2c(cccc2C(=O)Nc2ccccn2)N1;5;0.7631677795806195;22.898266;37.569653;HighDiv_1328, HighDiv_1247, HighDiv_1447, HighDiv_1362, HighDiv_1523
AS-106;O=C(C#Cc1cccnc1)OCc1ccc[nH]1;5;-0.09715069531960116;-22.636404;47.428528;HighDiv_2106, HighDiv_2111, HighDiv_2187, HighDiv_2325, HighDiv_2298
AS-107;C(#Cc1cn[nH]c1)Cc1ccccc1;5;-0.07042412257805718;-13.846701;18.810274;HighDiv_1343, HighDiv_1293, HighDiv_1382, HighDiv_1399, HighDiv_1506
AS-108;N=c1sccn1CCc1ccccc1;5;-0.3271973334567487;-4.534816;-17.855255;HighDiv_213, HighDiv_726, HighDiv_575, HighDiv_691, HighDiv_801
AS-109;c1ccc(-n2cnnc2)cc1;5;0.2644586336224176;24.941471;14.1297865;HighDiv_3, HighDiv_1209, HighDiv_701, HighDiv_2270, HighDiv_1099
AS-110;c1ccc2c(c1)NCN2;5;-0.6665961720425162;6.060863;-4.5505533;HighDiv_2086, HighDiv_2320, HighDiv_2238, HighDiv_2277, Druglike_981
AS-111;O=C(C#Cc1cnc[nH]1)c1cnco1;5;-0.044262785608282895;-46.04313;34.405663;Druglike_384, Druglike_549, Druglike_633, Druglike_902, Druglike_924
AS-112;N=c1[nH]cc(CCC#Cc2ccccn2)s1;5;0.22127359298658314;3.9388664;50.587425;HighDiv_2045, HighDiv_1970, HighDiv_1996, HighDiv_2059, HighDiv_2068
AS-113;O=C(C=CC1=CCON1)CCc1ccccn1;5;0.025624555494442626;-50.722878;-23.401299;HighDiv_1697, HighDiv_1721, HighDiv_1787, HighDiv_1875, HighDiv_1933
AS-114;C1=Cc2ccccc2C1=Cc1ccon1;5;0.5474451340331873;4.6367054;-28.472467;Druglike_1129, Druglike_1134, Druglike_1143, Druglike_1233, Druglike_1194
